county,contest,candidate,party,votes,registered,ballots_cast
Appling,President of the United States (Vote For 1),Donald J. Trump,REP,6570,11399,8414
Appling,President of the United States (Vote For 1),Joseph R. Biden,DEM,1784,11399,8414
Appling,President of the United States (Vote For 1),Jo Jorgensen,OTH,36,11399,8414
Atkinson,President of the United States (Vote For 1),Donald J. Trump,REP,2300,4799,3172
Atkinson,President of the United States (Vote For 1),Joseph R. Biden,DEM,825,4799,3172
Atkinson,President of the United States (Vote For 1),Jo Jorgensen,OTH,30,4799,3172
Bacon,President of the United States (Vote For 1),Donald J. Trump,REP,4017,6720,4680
Bacon,President of the United States (Vote For 1),Joseph R. Biden,DEM,625,6720,4680
Bacon,President of the United States (Vote For 1),Jo Jorgensen,OTH,25,6720,4680
Baker,President of the United States (Vote For 1),Donald J. Trump,REP,897,2258,1559
Baker,President of the United States (Vote For 1),Joseph R. Biden,DEM,652,2258,1559
Baker,President of the United States (Vote For 1),Jo Jorgensen,OTH,6,2258,1559
Baldwin,President of the United States (Vote For 1),Donald J. Trump,REP,8903,26721,18353
Baldwin,President of the United States (Vote For 1),Joseph R. Biden,DEM,9140,26721,18353
Baldwin,President of the United States (Vote For 1),Jo Jorgensen,OTH,208,26721,18353
Banks,President of the United States (Vote For 1),Donald J. Trump,REP,7795,12898,8830
Banks,President of the United States (Vote For 1),Joseph R. Biden,DEM,932,12898,8830
Banks,President of the United States (Vote For 1),Jo Jorgensen,OTH,74,12898,8830
Barrow,President of the United States (Vote For 1),Donald J. Trump,REP,26804,55605,38071
Barrow,President of the United States (Vote For 1),Joseph R. Biden,DEM,10453,55605,38071
Barrow,President of the United States (Vote For 1),Jo Jorgensen,OTH,664,55605,38071
Bartow,President of the United States (Vote For 1),Donald J. Trump,REP,37672,74409,50675
Bartow,President of the United States (Vote For 1),Joseph R. Biden,DEM,12091,74409,50675
Bartow,President of the United States (Vote For 1),Jo Jorgensen,OTH,701,74409,50675
Ben Hill,President of the United States (Vote For 1),Donald J. Trump,REP,4111,9854,6594
Ben Hill,President of the United States (Vote For 1),Joseph R. Biden,DEM,2393,9854,6594
Ben Hill,President of the United States (Vote For 1),Jo Jorgensen,OTH,60,9854,6594
Berrien,President of the United States (Vote For 1),Donald J. Trump,REP,6419,11275,7766
Berrien,President of the United States (Vote For 1),Joseph R. Biden,DEM,1269,11275,7766
Berrien,President of the United States (Vote For 1),Jo Jorgensen,OTH,55,11275,7766
Bibb,President of the United States (Vote For 1),Donald J. Trump,REP,26559,107979,71088
Bibb,President of the United States (Vote For 1),Joseph R. Biden,DEM,43408,107979,71088
Bibb,President of the United States (Vote For 1),Jo Jorgensen,OTH,747,107979,71088
Bleckley,President of the United States (Vote For 1),Donald J. Trump,REP,4329,7516,5732
Bleckley,President of the United States (Vote For 1),Joseph R. Biden,DEM,1312,7516,5732
Bleckley,President of the United States (Vote For 1),Jo Jorgensen,OTH,67,7516,5732
Brantley,President of the United States (Vote For 1),Donald J. Trump,REP,6993,11888,7768
Brantley,President of the United States (Vote For 1),Joseph R. Biden,DEM,700,11888,7768
Brantley,President of the United States (Vote For 1),Jo Jorgensen,OTH,56,11888,7768
Brooks,President of the United States (Vote For 1),Donald J. Trump,REP,4261,11154,7129
Brooks,President of the United States (Vote For 1),Joseph R. Biden,DEM,2791,11154,7129
Brooks,President of the United States (Vote For 1),Jo Jorgensen,OTH,49,11154,7129
Bryan,President of the United States (Vote For 1),Donald J. Trump,REP,14240,30608,21407
Bryan,President of the United States (Vote For 1),Joseph R. Biden,DEM,6738,30608,21407
Bryan,President of the United States (Vote For 1),Jo Jorgensen,OTH,357,30608,21407
Bulloch,President of the United States (Vote For 1),Donald J. Trump,REP,18387,44738,30235
Bulloch,President of the United States (Vote For 1),Joseph R. Biden,DEM,11248,44738,30235
Bulloch,President of the United States (Vote For 1),Jo Jorgensen,OTH,455,44738,30235
Burke,President of the United States (Vote For 1),Donald J. Trump,REP,5400,16556,10756
Burke,President of the United States (Vote For 1),Joseph R. Biden,DEM,5208,16556,10756
Burke,President of the United States (Vote For 1),Jo Jorgensen,OTH,75,16556,10756
Butts,President of the United States (Vote For 1),Donald J. Trump,REP,8406,17154,11830
Butts,President of the United States (Vote For 1),Joseph R. Biden,DEM,3274,17154,11830
Butts,President of the United States (Vote For 1),Jo Jorgensen,OTH,91,17154,11830
Calhoun,President of the United States (Vote For 1),Donald J. Trump,REP,923,3184,2208
Calhoun,President of the United States (Vote For 1),Joseph R. Biden,DEM,1263,3184,2208
Calhoun,President of the United States (Vote For 1),Jo Jorgensen,OTH,12,3184,2208
Camden,President of the United States (Vote For 1),Donald J. Trump,REP,15249,34950,23780
Camden,President of the United States (Vote For 1),Joseph R. Biden,DEM,7967,34950,23780
Camden,President of the United States (Vote For 1),Jo Jorgensen,OTH,470,34950,23780
Candler,President of the United States (Vote For 1),Donald J. Trump,REP,3133,6300,4444
Candler,President of the United States (Vote For 1),Joseph R. Biden,DEM,1269,6300,4444
Candler,President of the United States (Vote For 1),Jo Jorgensen,OTH,29,6300,4444
Carroll,President of the United States (Vote For 1),Donald J. Trump,REP,37476,83847,54689
Carroll,President of the United States (Vote For 1),Joseph R. Biden,DEM,16236,83847,54689
Carroll,President of the United States (Vote For 1),Jo Jorgensen,OTH,760,83847,54689
