county,precinct,registered,ballots_cast,Donald J. Trump,Kamala D. Harris,Chase Oliver,Jill Stein,Claudia De la Cruz,Cornel West,total,dem_two_party_pct
Appling,1B,,,921,108,2,0,0,0,1031,10.5
Appling,1C,,,724,67,0,0,0,0,791,8.47
Appling,2,,,541,782,1,3,0,0,1327,59.11
Appling,3A1,,,617,31,0,0,0,0,648,4.78
Appling,3C,,,934,246,3,0,0,0,1183,20.85
Appling,4B,,,720,25,0,0,0,0,745,3.36
Appling,4D,,,950,117,2,0,0,0,1069,10.97
Appling,5A,,,711,102,0,0,0,0,813,12.55
Appling,5B,,,643,82,0,2,0,0,727,11.31
Atkinson,Axson,,,460,40,2,0,0,0,502,8.0
Atkinson,Pearson City,,,183,233,1,0,0,0,417,56.01
Atkinson,Pearson County,,,1127,144,1,0,0,0,1272,11.33
Atkinson,Willacoochee,,,580,283,2,1,0,0,866,32.79
Bacon,Douglas,,,4186,645,6,2,0,0,4839,13.35
Baker,Anna,,,165,169,0,0,0,0,334,50.6
Baker,Elmodel,,,216,76,1,1,0,0,294,26.03
Baker,Hoggards Mill,,,131,164,0,0,0,0,295,55.59
Baker,Milford,,,225,87,0,1,0,0,313,27.88
Baker,Newton,,,146,94,0,0,0,0,240,39.17
Baldwin,City Hall Annex,,,144,323,2,2,0,0,471,69.16
Baldwin,Coopers,,,889,318,3,2,0,0,1212,26.35
Baldwin,Courthouse,,,118,161,0,5,0,0,284,57.71
Baldwin,East Baldwin,,,1672,1242,11,1,0,0,2926,42.62
Baldwin,East Hardwick,,,141,477,2,2,0,0,622,77.18
Baldwin,East Milledgeville,,,161,503,1,0,0,0,665,75.75
Baldwin,Meriwether,,,1554,900,7,3,0,0,2464,36.67
Baldwin,North Baldwin,,,2020,862,7,8,0,0,2897,29.91
Baldwin,North Milledgeville,,,777,859,5,3,0,0,1644,52.51
Baldwin,Scottsboro,,,453,264,1,1,0,0,719,36.82
Baldwin,South Milledgeville,,,163,534,3,1,0,0,701,76.61
Baldwin,West Baldwin,,,813,629,5,1,0,0,1448,43.62
Baldwin,West Hardwick,,,450,1398,10,1,0,0,1859,75.65
Baldwin,West Thomas,,,219,689,2,3,0,0,913,75.88
Banks,Anderson,,,1058,114,3,5,0,0,1180,9.73
Banks,Baldwin,,,587,103,1,2,0,0,693,14.93
Banks,Berlin,,,533,77,0,1,0,0,611,12.62
Banks,Bushville,,,658,91,0,0,0,0,749,12.15
Banks,Columbia,,,274,33,0,0,0,0,307,10.75
Banks,Davids,,,1282,174,5,0,0,0,1461,11.95
Banks,Golden Hill,,,604,70,0,0,0,0,674,10.39
Banks,Grove River,,,470,39,1,0,0,0,510,7.66
Banks,Hollingsworth,,,490,45,1,1,0,0,537,8.41
Banks,Homer,,,1091,120,2,1,0,0,1214,9.91
Banks,Poplar Springs,,,1285,149,1,0,0,0,1435,10.39
Banks,Washington,,,541,82,0,0,0,0,623,13.16
Banks,Wilmonts,,,485,39,1,0,0,0,525,7.44
