"county","candidate","original","recount","change","pct_change"
"Fulton","Joseph R. Biden",381144,380212,-932,-0.245
"Floyd","Donald J. Trump",29123,28906,-217,-0.745
"Gwinnett","Joseph R. Biden",241827,241994,167,0.069
"Henry","Joseph R. Biden",73276,73443,167,0.228
"Floyd","Joseph R. Biden",12008,11917,-91,-0.758
"Muscogee","Joseph R. Biden",49529,49446,-83,-0.168
"Henry","Donald J. Trump",48187,48259,72,0.149
"DeKalb","Joseph R. Biden",308227,308162,-65,-0.021
"Bibb","Joseph R. Biden",43468,43408,-60,-0.138
"Muscogee","Donald J. Trump",30049,30107,58,0.193
"Spalding","Donald J. Trump",18057,18104,47,0.26
"Appling","Donald J. Trump",6526,6570,44,0.674
"Spalding","Joseph R. Biden",11784,11828,44,0.373
"Ware","Joseph R. Biden",4211,4169,-42,-0.997
"Ware","Donald J. Trump",9865,9903,38,0.385
"Pickens","Donald J. Trump",14075,14110,35,0.249
"Bibb","Donald J. Trump",26585,26559,-26,-0.098
"Jones","Donald J. Trump",9965,9940,-25,-0.251
"Cobb","Donald J. Trump",165459,165436,-23,-0.014
"Pickens","Joseph R. Biden",2808,2824,16,0.57
"Cherokee","Joseph R. Biden",42794,42779,-15,-0.035
"Thomas","Donald J. Trump",12954,12969,15,0.116
"Dougherty","Donald J. Trump",10454,10441,-13,-0.124
"Early","Joseph R. Biden",2437,2450,13,0.533
"Gwinnett","Donald J. Trump",166413,166400,-13,-0.008
"Hall","Donald J. Trump",64170,64183,13,0.02
"Pulaski","Joseph R. Biden",1217,1230,13,1.068
"Washington","Joseph R. Biden",4730,4743,13,0.275
"Early","Donald J. Trump",2722,2710,-12,-0.441
"Clayton","Joseph R. Biden",95476,95466,-10,-0.01
"Pulaski","Donald J. Trump",2805,2815,10,0.357
"Whitfield","Joseph R. Biden",10670,10680,10,0.094
"Dougherty","Joseph R. Biden",24577,24568,-9,-0.037
"Hancock","Joseph R. Biden",2985,2976,-9,-0.302
"Paulding","Joseph R. Biden",29704,29695,-9,-0.03
"Paulding","Donald J. Trump",54525,54517,-8,-0.015
"Whitfield","Donald J. Trump",25636,25644,8,0.031
"Chatham","Joseph R. Biden",78254,78247,-7,-0.009
"Clarke","Joseph R. Biden",36048,36055,7,0.019
"Fulton","Donald J. Trump",137240,137247,7,0.005
"Houston","Joseph R. Biden",32232,32239,7,0.022
"Rockdale","Joseph R. Biden",31244,31237,-7,-0.022
"Houston","Donald J. Trump",41534,41540,6,0.014
"Jones","Joseph R. Biden",4888,4882,-6,-0.123
"Lincoln","Donald J. Trump",3179,3173,-6,-0.189
"Appling","Joseph R. Biden",1779,1784,5,0.281
"Bulloch","Joseph R. Biden",11243,11248,5,0.044
"Chatham","Donald J. Trump",53237,53232,-5,-0.009
"Douglas","Joseph R. Biden",42809,42814,5,0.012
"Forsyth","Joseph R. Biden",42203,42208,5,0.012
"Hancock","Donald J. Trump",1159,1154,-5,-0.431
"Jackson","Donald J. Trump",29497,29502,5,0.017
"Lamar","Joseph R. Biden",2615,2620,5,0.191
"Liberty","Joseph R. Biden",13099,13104,5,0.038
"Newton","Joseph R. Biden",29794,29789,-5,-0.017
"Richmond","Joseph R. Biden",59124,59119,-5,-0.008
"Washington","Donald J. Trump",4663,4668,5,0.107
"Bryan","Donald J. Trump",14244,14240,-4,-0.028
"Clarke","Donald J. Trump",14446,14450,4,0.028
"Columbia","Joseph R. Biden",29236,29232,-4,-0.014
"Crisp","Joseph R. Biden",2986,2982,-4,-0.134
"DeKalb","Donald J. Trump",58373,58377,4,0.007
"Fayette","Donald J. Trump",37952,37956,4,0.011
"Peach","Donald J. Trump",6502,6506,4,0.062
"Sumter","Joseph R. Biden",6318,6314,-4,-0.063
"Tift","Joseph R. Biden",5322,5318,-4,-0.075
"Calhoun","Joseph R. Biden",1260,1263,3,0.238
"Clinch","Joseph R. Biden",747,744,-3,-0.402
"Colquitt","Joseph R. Biden",4187,4190,3,0.072
"Decatur","Donald J. Trump",6758,6755,-3,-0.044
"Douglas","Donald J. Trump",25451,25454,3,0.012
"Effingham","Donald J. Trump",23358,23361,3,0.013
"Fayette","Joseph R. Biden",33065,33062,-3,-0.009
"Glynn","Joseph R. Biden",15879,15882,3,0.019
"Heard","Donald J. Trump",4516,4519,3,0.066
"Jefferson","Joseph R. Biden",4061,4058,-3,-0.074
