"tactic","unit","contacts_per_vote","cost_per_vote","reliability","effective","effect_pp","ci_low","ci_high","n_studies","cost_per_contact","contacts_per_vote_pooled"
"Door-to-door canvassing","conversation",17,57,"Yes, large number of studies",TRUE,4,2.8,5.2,59,3.35,25
"Leaflets left on doors","leaflet dropped",189,NA,"Not significantly greater than zero",FALSE,NA,NA,NA,NA,NA,NA
"Direct mail, from a campaign","mailer sent",NA,NA,"Yes, large number of studies (no detectable effect)",FALSE,0.085,-0.065,0.235,NA,NA,1176
"Direct mail, nonpartisan","mailer sent",260,130,"Yes, large number of studies",TRUE,0.384,0.117,0.65,65,0.5,260
"Phone calls, volunteer","conversation",36,45,"Yes, large number of studies",TRUE,2.78,1.74,3.83,32,1.25,36
"Phone calls, commercial telemarketer","conversation",106,106,"Yes, large number of studies",TRUE,0.94,0.52,1.36,22,1,106
"Robocalls","number targeted",425,64,"Yes, large number of studies",TRUE,0.235,0.037,0.433,9,0.15,426
"Robocalls, excluding social-pressure studies","number targeted",699,105,"Interval contains zero (not printed in Table 12-1)",FALSE,0.143,-0.037,0.323,7,0.15,699
"Email","message sent",NA,NA,"Average effect cannot be large",FALSE,NA,NA,NA,NA,NA,NA
"Text messages","number targeted",381,133,"Yes, several large studies",TRUE,0.26,NA,NA,NA,0.35,385
"Election festivals","precinct",NA,85,"Results vary widely across seven studies",FALSE,1,NA,NA,7,NA,100
"Television GOTV","media market",NA,NA,"Not significantly greater than zero",FALSE,0.5,NA,NA,NA,NA,200
"Radio GOTV","media market",NA,NA,"Not significantly greater than zero",FALSE,1,NA,NA,NA,NA,100
