"year","candidate","party","ec_votes","ec_total","pop_votes","pop_per"
1864,"Abraham Lincoln","Republican",212,314,2213665,55
1864,"George B. McClellan","Democratic",21,314,1805237,45
1868,"Ulysses S. Grant","Republican",214,317,3012833,52.7
1868,"Horatio Seymour","Democratic",80,317,2703249,47.3
1872,"Ulysses S. Grant","Republican",286,366,3597132,55.6
1872,"Horace Greeley","Democratic",NA,366,2834125,43.8
1876,"Samuel J. Tilden","Democratic",184,369,4300590,51
1876,"Rutherford B. Hayes","Republican",185,369,4036298,48
1880,"James A. Garfield","Republican",214,369,4454416,48.3
1880,"Winfield Scott Hancock","Democratic",155,369,4444952,48.2
1880,"James B. Weaver","Greenback",NA,369,305997,3.3
1884,"Grover Cleveland","Democratic",219,401,4874986,48.5
1884,"James G. Blaine","Republican",182,401,4851981,48.3
1888,"Grover Cleveland","Democratic",168,401,5540309,48.6
1888,"Benjamin Harrison","Republican",233,401,5439853,47.8
1888,"Clinton B. Fisk","Prohibition",NA,401,249819,2.2
1892,"Grover Cleveland","Democratic",277,444,5556918,46.1
1892,"Benjamin Harrison","Republican",145,444,5176108,43
1892,"James B. Weaver","People’s (Populist)",22,444,1027329,8.5
1892,"John Bidwell","Prohibition",NA,444,270770,2.2
1896,"William McKinley","Republican",271,447,7104779,51
1896,"William Jennings Bryan","Democratic",176,447,6502925,46.7
1900,"William McKinley","Republican",292,447,7207923,51.7
1900,"William Jennings Bryan","Democratic",155,447,6358133,45.5
1904,"Theodore Roosevelt","Republican",336,476,7623486,56.4
1904,"Alton B. Parker","Democratic",140,476,5077911,37.6
1904,"Eugene V. Debs","Socialist",NA,476,402489,3
1908,"William Howard Taft","Republican",321,483,7678908,51.6
1908,"William Jennings Bryan","Democratic",162,483,6409104,43
1908,"Eugene V. Debs","Socialist",NA,483,420380,2.8
1912,"Woodrow Wilson","Democratic",435,531,6293454,41.8
1912,"Theodore Roosevelt","Progressive (Bull Moose)",88,531,4119207,27.4
1912,"William Howard Taft","Republican",8,531,3483922,23.2
1912,"Eugene V. Debs","Socialist",NA,531,900369,6
1916,"Woodrow Wilson","Democratic",277,531,9129606,49.2
1916,"Charles Evans Hughes","Republican",254,531,8538221,46.1
1916,"Allan L. Benson","Socialist",NA,531,589924,3.2
1920,"Warren G. Harding","Republican",404,531,16147249,60.3
1920,"James M. Cox","Democratic",127,531,9140864,34.1
1920,"Eugene V. Debs","Socialist",NA,531,897704,3.4
1924,"Calvin Coolidge","Republican",382,531,15725016,54.1
1924,"John W. Davis","Democratic",136,531,8386503,28.8
1924,"Robert M. La Follette","Progressive",13,531,4822856,16.6
1928,"Herbert Hoover","Republican",444,531,21392190,58
1928,"Al Smith","Democratic",87,531,15016443,40.7
1932,"Franklin D. Roosevelt","Democratic",472,531,22821857,57.3
1932,"Herbert Hoover","Republican",59,531,15761841,39.6
1932,"Norman Thomas","Socialist",NA,531,884781,2.2
1936,"Franklin D. Roosevelt","Democratic",523,531,27476673,60.2
1936,"Alf Landon","Republican",8,531,16679583,36.5
1940,"Franklin D. Roosevelt","Democratic",449,531,27243466,54.7
1940,"Wendell Willkie","Republican",82,531,22304755,44.8
