year,state,state_num,district,stcd,dem_votes,rep_votes,n_dem,n_rep,dv,uncontested,top_two,la_primary,runoff_mixed
2004,Alabama,1,1,101,93938,161067,1,1,36.84,0,0,0,0
2004,Alabama,1,2,102,70562,177086,1,1,28.49,0,0,0,0
2004,Alabama,1,3,103,95240,150411,1,1,38.77,0,0,0,0
2004,Alabama,1,4,104,64278,191110,1,1,25.17,0,0,0,0
2004,Alabama,1,5,105,200999,74145,1,1,73.05,0,0,0,0
2004,Alabama,1,6,106,0,264819,0,1,,1,0,0,0
2004,Alabama,1,7,107,183408,61019,1,1,75.04,0,0,0,0
2004,Alaska,2,1,201,67074,213216,1,1,23.93,0,0,0,0
2004,Arizona,3,1,301,91776,148315,1,1,38.23,0,0,0,0
2004,Arizona,3,2,302,107406,165260,1,1,39.39,0,0,0,0
2004,Arizona,3,3,303,0,181012,0,1,,1,0,0,0
2004,Arizona,3,4,304,77150,28238,1,1,73.21,0,0,0,0
2004,Arizona,3,5,305,102363,159455,1,1,39.1,0,0,0,0
2004,Arizona,3,6,306,0,202882,0,1,,1,0,0,0
2004,Arizona,3,7,307,108868,59066,1,1,64.83,0,0,0,0
2004,Arizona,3,8,308,109963,183363,1,1,37.49,0,0,0,0
2004,Arkansas,4,1,401,162388,81556,1,1,66.57,0,0,0,0
2004,Arkansas,4,2,402,160834,115655,1,1,58.17,0,0,0,0
2004,Arkansas,4,3,403,103158,160629,1,1,39.11,0,0,0,0
2004,Arkansas,4,4,404,0,0,0,0,,1,0,0,0
2004,California,5,1,501,189366,79970,1,1,70.31,0,0,0,0
2004,California,5,2,502,90310,182119,1,1,33.15,0,0,0,0
2004,California,5,3,503,100025,177738,1,1,36.01,0,0,0,0
2004,California,5,4,504,117443,221926,1,1,34.61,0,0,0,0
2004,California,5,5,505,138004,45120,1,1,75.36,0,0,0,0
2004,California,5,6,506,226423,85244,1,1,72.65,0,0,0,0
2004,California,5,7,507,166831,52446,1,1,76.08,0,0,0,0
2004,California,5,8,508,224017,31074,1,1,87.82,0,0,0,0
2004,California,5,9,509,215630,31278,1,1,87.33,0,0,0,0
2004,California,5,10,510,182750,95349,1,1,65.71,0,0,0,0
2004,California,5,11,511,103587,163582,1,1,38.77,0,0,0,0
2004,California,5,12,512,171852,52593,1,1,76.57,0,0,0,0
2004,California,5,13,513,144605,48439,1,1,74.91,0,0,0,0
2004,California,5,14,514,182712,69564,1,1,72.43,0,0,0,0
2004,California,5,15,515,154385,59953,1,1,72.03,0,0,0,0
2004,California,5,16,516,129222,47992,1,1,72.92,0,0,0,0
2004,California,5,17,517,148958,65117,1,1,69.58,0,0,0,0
2004,California,5,18,518,103732,49973,1,1,67.49,0,0,0,0
2004,California,5,19,519,64047,155354,1,1,29.19,0,0,0,0
2004,California,5,20,520,61005,53231,1,1,53.4,0,0,0,0
2004,California,5,21,521,51594,140721,1,1,26.83,0,0,0,0
2004,California,5,22,522,0,209384,0,1,,1,0,0,0
2004,California,5,23,523,153980,83926,1,1,64.72,0,0,0,0
2004,California,5,24,524,96397,178660,1,1,35.05,0,0,0,0
2004,California,5,25,525,80395,145575,1,1,35.58,0,0,0,0
2004,California,5,26,526,107522,134596,1,1,44.41,0,0,0,0
2004,California,5,27,527,125296,66946,1,1,65.18,0,0,0,0
2004,California,5,28,528,115303,37868,1,1,75.28,0,0,0,0
2004,California,5,29,529,133670,62871,1,1,68.01,0,0,0,0
2004,California,5,30,530,216682,87465,1,1,71.24,0,0,0,0
2004,California,5,31,531,89363,22048,1,1,80.21,0,0,0,0
2004,California,5,32,532,119144,0,1,0,,1,0,0,0
2004,California,5,33,533,166801,0,1,0,,1,0,0,0
2004,California,5,34,534,82282,28175,1,1,74.49,0,0,0,0
2004,California,5,35,535,125949,23591,1,1,84.22,0,0,0,0
2004,California,5,36,536,151208,81666,1,1,64.93,0,0,0,0
2004,California,5,37,537,118823,31960,1,1,78.8,0,0,0,0
2004,California,5,38,538,116851,0,1,0,,1,0,0,0
2004,California,5,39,539,100132,64832,1,1,60.7,0,0,0,0
2004,California,5,40,540,69684,147617,1,1,32.07,0,0,0,0
2004,California,5,41,541,0,181605,0,1,,1,0,0,0
2004,California,5,42,542,78393,167632,1,1,31.86,0,0,0,0
2004,California,5,43,543,86830,44004,1,1,66.37,0,0,0,0
2004,California,5,44,544,78796,138768,1,1,36.22,0,0,0,0
2004,California,5,45,545,76967,153523,1,1,33.39,0,0,0,0
2004,California,5,46,546,90129,171318,1,1,34.47,0,0,0,0
2004,California,5,47,547,65684,43099,1,1,60.38,0,0,0,0
2004,California,5,48,548,93525,189004,1,1,33.1,0,0,0,0
2004,California,5,49,549,79057,141658,1,1,35.82,0,0,0,0
