"fips","name","state","votes_dem","votes_gop","votes_tot","two","winner","margin","aland_km2","density","pop","cx","cy","gcol","grow","gx","gy","r","grid_shift_km"
"13101","Echols","Georgia",127,1307,1438,1434,"R",82.2873,1088.85,1.31699,3697,1723,969,170,102,1716,968,1.75175,11.2073
"18167","Vigo","Indiana",16338,23738,40877,40076,"R",18.4649,1045.4,38.3356,106153,1503,578,150,66,1496,572,9.26063,3.73577
"23031","York","Maine",72114,58194,132838,130308,"D",-10.6824,2567.18,50.7592,211972,2046,288,200,40,2046,286,16.6987,15.403
"27031","Cook","Minnesota",2416,1142,3641,3558,"D",-35.8066,3762.15,0.945735,5600,1368,189,138,31,1364,187,2.75931,8.99693
"38013","Burke","North Dakota",130,909,1051,1039,"R",74.9759,2858.36,0.363495,2201,987,144,103,27,979,143,1.4911,12.1628
"38077","Richland","North Dakota",2473,5576,8199,8049,"R",38.5514,3718.38,2.16465,16529,1162,269,119,38,1155,264,4.1502,3.73577
"08089","Otero","Colorado",3164,5520,8925,8684,"R",27.1304,3268.42,2.65694,18690,908,652,96,73,902,649,4.3108,6.02375
"05079","Lincoln","Arkansas",813,2502,3372,3315,"R",50.9502,1449.01,2.28777,12941,1358,846,137,90,1353,836,2.66342,10.6976
"13315","Wilcox","Georgia",847,2493,3347,3340,"R",49.2814,978.525,3.4133,8766,1691,911,167,96,1683,902,2.67345,10.1624
"17147","Piatt","Illinois",3204,6104,9496,9308,"R",31.156,1137.49,8.18291,16673,1457,555,146,64,1452,550,4.463,1.67069
"18041","Fayette","Indiana",2084,7625,9838,9709,"R",57.0708,556.902,17.434,23398,1582,560,157,64,1573,550,4.55812,13.4695
"19135","Monroe","Iowa",1002,3104,4146,4106,"R",51.1934,1123.3,3.6553,7577,1303,513,132,60,1298,506,2.9642,3.73577
"28057","Itawamba","Mississippi",1027,9523,10621,10550,"R",80.5308,1379.93,7.6453,23863,1488,827,149,89,1485,825,4.75143,10.1624
"19195","Worth","Iowa",1508,2715,4278,4223,"R",28.5816,1036.31,4.07502,7443,1286,403,130,50,1276,396,3.00614,11.2073
"36109","Tompkins","New York",34631,11354,45985,45985,"D",-50.6187,1229.32,37.4068,105740,1863,378,183,48,1859,374,9.91988,5.01206
"38103","Wells","North Dakota",405,1815,2242,2220,"R",63.5135,3290.66,0.674636,3982,1076,202,111,32,1067,198,2.17959,8.99693
"47177","Warren","Tennessee",3647,13192,17015,16839,"R",56.6839,1120.62,15.0265,40953,1580,749,157,82,1573,748,6.00283,11.2073
"48067","Cass","Texas",2406,11693,14140,14099,"R",65.8699,2426.68,5.80999,28454,1258,889,128,94,1254,880,5.49278,8.99693
"51690","Martinsville","Virginia",3435,2155,5658,5590,"D",-22.898,28.3746,197.007,13485,1794,670,177,74,1793,660,3.45863,15.0362
"51720","Norton","Virginia",458,1174,1643,1632,"R",43.8725,19.3666,84.269,3687,1690,674,167,75,1683,671,1.86878,6.88842
"48239","Jackson","Texas",907,5386,6329,6293,"R",71.1743,2148.25,2.92937,14988,1169,1084,120,112,1166,1078,3.66967,6.02375
"20077","Harper","Kansas",437,2072,2555,2509,"R",65.1654,2075.29,1.20899,5485,1115,699,115,77,1111,693,2.31712,3.73577
"01027","Clay","Alabama",993,5734,6757,6727,"R",70.4772,1564.26,4.30045,14236,1591,859,158,92,1584,858,3.7941,11.2073
"20147","Phillips","Kansas",331,2356,2747,2687,"R",75.3629,2294.4,1.17111,4981,1073,572,111,66,1067,572,2.39791,13.0485
"37165","Scotland","North Carolina",6754,7767,14613,14521,"R",6.9761,826.57,17.5678,34174,1824,753,179,82,1815,748,5.57438,8.35344
"48295","Lipscomb","Texas",123,1125,1259,1248,"R",80.2885,2414.42,0.516894,3059,1032,737,107,81,1023,737,1.6342,15.403
"13233","Polk","Georgia",3749,15352,19171,19101,"R",60.7455,803.776,23.7641,42853,1611,824,160,88,1606,814,6.39332,10.6976
"18053","Grant","Indiana",7083,17580,25133,24663,"R",42.5617,1072.48,22.9961,66674,1560,522,155,61,1551,517,7.26476,8.35344
"18113","Noble","Indiana",4462,14209,18962,18671,"R",52.204,1064.08,17.5467,47457,1564,479,156,57,1562,473,6.32095,8.35344
"19021","Buena Vista","Iowa",2462,4962,7516,7424,"R",33.6746,1488.98,4.98596,20823,1222,434,125,53,1221,429,3.98582,10.6976
"26025","Calhoun","Michigan",28988,38606,68490,67594,"R",14.2291,1829.2,36.9527,134310,1574,439,157,53,1573,429,12.0269,15.0362
"29159","Pettis","Missouri",4703,13907,18877,18610,"R",49.4573,1766.99,10.5321,42980,1292,620,131,70,1287,616,6.31061,3.73577
"31185","York","Nebraska",1648,5234,6984,6882,"R",52.1069,1482.81,4.64119,14125,1136,522,117,61,1133,517,3.83756,6.02375
"39149","Shelby","Ohio",4350,20740,25288,25090,"R",65.3248,1055.92,23.7612,48230,1612,522,160,61,1606,517,7.32738,1.67069
"45087","Union","South Carolina",4084,8102,12289,12186,"R",32.9723,1330.23,9.16083,27244,1744,775,172,84,1738,770,5.10656,1.67069
"31011","Boone","Nebraska",496,2499,3031,2995,"R",66.8781,1778.1,1.68438,5379,1121,486,115,58,1111,484,2.53161,13.4695
"50009","Essex","Vermont",1344,1890,3410,3234,"R",16.8831,1715.53,1.88513,5920,1997,240,195,35,1991,231,2.63068,8.35344
"55005","Barron","Wisconsin",8941,16726,26775,25667,"R",30.3308,2235.3,11.4826,46711,1330,303,134,41,1320,297,7.41115,10.6976
"48191","Hall","Texas",149,992,1149,1141,"R",73.8826,2288.23,0.498638,2825,1012,819,106,88,1012,814,1.56258,13.0485
"48211","Hemphill","Texas",190,1412,1612,1602,"R",76.2797,2347.27,0.682495,3382,1031,762,107,83,1023,759,1.85152,8.35344
"48263","Kent","Texas",50,390,445,440,"R",77.2727,2337.48,0.188237,753,1005,882,105,94,1001,880,0.970341,8.99693
"06037","Los Angeles","California",2417109,1189862,3728427,3606971,"D",-34.0243,10516,342.998,10014009,345,732,45,80,341,726,87.8556,3.73577
"20175","Seward","Kansas",1354,3133,4565,4487,"R",39.6479,1656.69,2.70841,21964,1012,693,106,77,1012,693,3.09868,18.3776
"26019","Benzie","Michigan",5780,6895,12845,12675,"R",8.79684,828.012,15.3078,17970,1526,327,152,43,1518,319,5.20801,8.35344
"37157","Rockingham","North Carolina",15676,33447,49492,49123,"R",36.1765,1465.01,33.5309,91096,1800,683,177,76,1793,682,10.2528,11.2073
"39039","Defiance","Ohio",5667,13302,19153,18969,"R",40.2499,1065.62,17.8009,38286,1595,477,159,57,1595,473,6.37119,13.4695
"48111","Dallam","Texas",152,1285,1447,1437,"R",78.8448,3893.67,0.369061,7115,944,732,99,80,935,726,1.75358,8.35344
"13005","Bacon","Georgia",645,4186,4839,4831,"R",73.2975,735.776,6.56586,11140,1734,925,171,98,1727,924,3.21526,11.2073
"18021","Clay","Indiana",2495,9354,12050,11849,"R",57.8867,926.181,12.7934,26466,1514,576,151,66,1507,572,5.03546,5.01206
"19099","Jasper","Iowa",7141,12701,20149,19842,"R",28.0214,1891.8,10.4884,37813,1296,480,131,57,1287,473,6.51615,8.99693
"21001","Adair","Kentucky",1257,7643,8971,8900,"R",71.7528,1049.7,8.47859,18903,1591,678,158,75,1584,671,4.36409,5.01206
"26123","Newaygo","Michigan",8131,20630,29197,28761,"R",43.4582,2172.71,13.2374,49978,1539,373,153,47,1529,363,7.84513,15.0362
"19177","Van Buren","Iowa",778,2785,3622,3563,"R",56.3289,1255.61,2.83767,7203,1336,527,135,61,1331,517,2.76125,10.6976
"29083","Henry","Missouri",2535,8286,10932,10821,"R",53.1467,1805.06,5.99483,21946,1274,644,129,72,1265,638,4.81207,8.35344
"20067","Grant","Kansas",395,1793,2220,2188,"R",63.894,1488.75,1.46969,7352,996,674,104,75,990,671,2.16382,6.02375
"39037","Darke","Ohio",4583,22234,27000,26817,"R",65.8202,1549.08,17.3116,51881,1599,535,159,62,1595,528,7.57536,5.01206
"46035","Davison","South Dakota",2743,6208,9177,8951,"R",38.7108,1128.29,7.93328,19956,1120,387,115,49,1111,385,4.37657,11.6948
"48019","Bandera","Texas",2532,10939,13592,13471,"R",62.4081,2048.66,6.57551,20851,1061,1047,110,109,1056,1045,5.36906,8.35344
"31075","Grant","Nebraska",15,351,366,366,"R",91.8033,2011.63,0.181942,611,992,469,104,56,990,462,0.884991,8.99693
"51540","Charlottesville","Virginia",19435,3428,23303,22863,"D",-70.0127,26.5352,861.609,46553,1834,598,180,68,1826,594,6.99463,6.88842
"38075","Renville","North Dakota",179,993,1203,1172,"R",69.4539,2272.05,0.515834,2282,1014,148,106,27,1012,143,1.58366,8.35344
"48109","Culberson","Texas",319,451,781,770,"R",17.1429,9873.44,0.077987,2188,853,953,91,100,847,946,1.28364,3.73577
"01003","Baldwin","Alabama",24934,95798,121808,120732,"R",58.6953,4117.78,29.3197,231767,1525,986,152,103,1518,979,16.0735,5.01206
"32003","Clark","Nevada",520187,493052,1031223,1013239,"D",-2.67805,20439.3,49.5731,2265461,470,684,56,76,462,682,46.5644,10.1624
"12033","Escambia","Florida",64601,96407,162754,161008,"R",19.7543,1701.62,94.6207,321905,1543,991,154,104,1540,990,18.5619,12.1628
"12091","Okaloosa","Florida",32074,80309,113634,112383,"R",42.9202,2408.24,46.6661,211668,1573,984,157,103,1573,979,15.5077,13.0485
"24011","Caroline","Maryland",4860,11053,16276,15913,"R",38.9179,827.35,19.2337,33293,1920,538,188,62,1914,528,5.83545,10.6976
"42001","Adams","Pennsylvania",19842,40248,60650,60090,"R",33.9591,1343.1,44.7396,103852,1862,503,183,59,1859,495,11.3396,8.35344
"46099","Minnehaha","South Dakota",39923,51842,93986,91765,"R",12.9886,2089.73,43.9125,197214,1166,390,120,49,1166,385,14.0132,13.0485
"13307","Webster","Georgia",544,790,1336,1334,"R",18.4408,543.01,2.45668,2348,1647,911,163,96,1639,902,1.68957,10.1624
"18049","Fulton","Indiana",2097,6633,8851,8730,"R",51.9588,954.133,9.14966,20480,1538,497,153,59,1529,495,4.3222,11.6948
"20145","Pawnee","Kansas",625,2003,2675,2628,"R",52.4353,1953.53,1.34526,6253,1074,649,111,73,1067,649,2.37143,13.4695
