"key","value"
"geo_url","https://www2.census.gov/geo/tiger/GENZ2024/shp/cb_2024_us_county_5m.zip"
"geo_bytes","2982952"
"geo_features","3235"
"dropped_features","126"
"frame_units","3109"
"returns_rows","3160"
"returns_votes_all","154863739"
"dc_naive_name","Ward 1"
"dc_naive_votes","40463"
"dc_wards","8"
"dc_true_votes","325869"
"dc_ward_error","285406"
"ak_rows","40"
"ak_votes","324097"
"hi_rows","4"
"hi_votes","516701"
"ct_units","9"
"join_missing","0"
"mapped_units","3109"
"mapped_votes","154022941"
"mapped_two","151470736"
"n_R","2661"
"n_D","448"
"pct_counties_R","85.5902"
"land_total_km2","7655495"
"land_R_km2","6560363"
"pct_land_R","85.6948"
"pct_votes_R_counties","51.1489"
"pct_votes_D_counties","48.8511"
"votes_R_counties","77475680"
"votes_D_counties","73995056"
"gop_votes","76916731"
"dem_votes","74554005"
"gop_share_two","50.7799"
"dem_share_two","49.2201"
"national_margin","1.55986"
"km2_per_vote_R","0.0846764"
"km2_per_vote_D","0.0148001"
"ink_ratio","5.72136"
"counties_for_half","161"
"land_for_half","6.57081"
"largest_county","San Bernardino"
"largest_state","California"
"largest_km2","51976.3"
"largest_votes","740530"
"largest_margin","2.2014"
"densest_county","New York"
"densest_state","New York"
"densest_km2","58.6839"
"densest_votes","647703"
"densest_density","11037.2"
"area_ratio_extreme","885.7"
"pair_area_ratio","885.7"
"pair_vote_ratio","0.874648"
"median_votes","12449"
"median_km2","1580.8"
"total_two","151470736"
"simplify_keep","0.24"
"points_before","208983"
"points_after","66609"
"points_pct","31.8729"
"canvas_x0","192"
"canvas_y0","16"
"canvas_w","1960"
"canvas_h","1237"
"frame_scale","2"
"km_per_unit","2.36271"
"dup_vertices_dropped","1199"
"ring_points","65370"
"ring_parts","3196"
"state_ring_points","1722"
"states_drawn","48"
"frame_misfit_px","1.5"
"keys_tail_px","10"
"cen_url","https://www2.census.gov/geo/docs/reference/cenpop2020/county/CenPop2020_Mean_CO.txt"
"cen_rows","3221"
"pop_missing","9"
"pop_missing_states","Connecticut"
"pop_missing_votes","1728971"
"pop_covered","325654675"
"pop_units","3100"
"pop_R","162136344"
"pop_D","163518331"
"pct_pop_R","49.7878"
"pct_land_R_pop","85.776"
"grid_cell_units","11"
"grid_cell_km","25.9898"
"grid_cols","224"
"grid_rows","142"
"grid_slots","31808"
"grid_shift_median_km","10.6976"
"grid_shift_p90_km","15.0362"
"grid_shift_max_km","65.8387"
"grid_shift_max_county","Newport News"
"grid_shift_max_state","Virginia"
"grid_same_cell","98.2631"
"grid_within_50km","99.7748"
"dorling_S","0.0462592"
"dorling_fill_share","0.42"
"dorling_votes_per_unit2","148.749"
"dorling_r_max","87.8556"
"dorling_r_min","0.453246"
"dorling_biggest","Los Angeles"
"dorling_biggest_state","California"
"dorling_pairs","45233"
"dorling_shift_median_km","10.7819"
"dorling_shift_max_km","370.409"
"dorling_shift_max_county","Nassau"
"dorling_shift_max_state","New York"
"dorling_overlaps","584"
"dorling_overlap_max_units","5.20411"
"votes_on_half_land","3.12425"
"votes_on_90_land","29.1453"
"land_for_half_votes","96.1029"
"land_for_90_votes","99.7931"
"counties_for_half_votes","91.9588"
"land_at_half_counties","66.106"
"votes_at_half_counties","7.82975"
"counties_at_half_land","29.9132"
"n_counties_for_half_votes","2859"
"median_density_rank_R","46.3815"
"median_density_rank_D","85.3812"
"pct_land_D","14.3052"
"conc_gini","0.750182"
"drawn_km2","7.80831"
"drawn_vs_aland_pct","-99.9999"
"col_gop","#B2182B"
"col_dem","#2166AC"
"fetch_date","2026-08-11"
