"old","new","pop","pct_of_old"
1,1,769221,100
2,2,769221,100
3,3,769221,100
4,4,769221,100
5,5,769221,100
6,6,769217,100
7,7,769221,100
8,8,609433,79.2
9,9,444515,57.8
10,10,591443,76.9
11,11,650736,84.6
12,12,318873,41.5
13,13,606406,78.8
14,14,242141,31.5
15,15,278558,36.2
16,16,399710,52
17,17,656530,85.4
18,18,487025,63.3
19,19,616280,80.1
20,20,507233,65.9
21,21,734215,95.4
25,22,180289,23.4
22,23,616764,80.2
24,24,535388,69.6
23,25,356455,46.3
26,26,471945,61.4
27,27,757078,98.4
28,28,757078,98.4
