"old","new","pop","weight"
1,1,769221,1
2,2,769221,1
3,3,769221,1
4,4,769221,1
5,5,769221,1
6,6,769217,1
7,7,769221,1
8,8,609433,0.792273
8,9,159788,0.207727
9,9,444515,0.577877
9,18,123453,0.160491
9,10,100755,0.130983
9,11,100471,0.130614
9,8,27,3.5e-05
10,10,591443,0.768886
10,8,159760,0.207691
10,11,18018,0.023424
11,11,650736,0.845963
11,10,77023,0.100131
11,18,41466,0.053906
11,6,0,0
12,15,388000,0.504406
12,12,318873,0.41454
12,13,62348,0.081053
12,3,0,0
13,13,606406,0.788338
13,16,162815,0.211662
14,12,242819,0.315669
14,14,242141,0.314787
14,13,100467,0.130609
14,15,94375,0.122689
14,16,89419,0.116246
15,15,278558,0.36213
15,12,207529,0.269791
15,14,165857,0.215617
15,18,117277,0.152462
16,16,399710,0.51963
16,14,361223,0.469596
16,15,8288,0.010775
17,17,656530,0.85355
17,19,68167,0.088623
17,16,44479,0.057827
18,18,487025,0.633141
18,9,164918,0.214396
18,16,72798,0.094639
18,22,44480,0.057825
19,19,616280,0.801127
19,17,112691,0.146492
19,22,40295,0.052381
20,20,507233,0.659411
20,23,131144,0.170489
20,22,95820,0.124568
20,21,35006,0.045508
20,25,15,2e-05
20,26,3,4e-06
21,21,734215,0.954492
21,23,21313,0.027707
21,22,13693,0.017801
22,23,616764,0.801804
22,22,98658,0.128257
22,25,53798,0.069938
22,21,0,0
23,25,356455,0.463397
23,20,246130,0.319973
23,22,166636,0.21663
24,24,535388,0.696013
24,25,233815,0.303963
24,26,18,2.3e-05
25,26,297255,0.386436
25,22,180289,0.234379
25,24,150681,0.195888
25,25,125138,0.162681
25,20,15858,0.020616
26,26,471945,0.613536
26,22,129350,0.168157
26,19,84774,0.110208
26,24,83152,0.108099
27,27,757078,0.984214
27,28,12143,0.015786
28,28,757078,0.984214
28,27,12143,0.015786
