"check","value"
"Voteview member-Congress rows","51,062"
"Senate rows used, 1879 on","7,458"
"Congresses in the series","74"
"states sending exactly two senators","3236"
"states sending three or more","298"
"largest gap between the two readings (pts)","9.63 in 1945"
"median gap between the two readings (pts)","1.36"
"largest gap since 1959 (pts)","4.17"
"correlation between the two readings","0.9783"
"Clerk volumes read","6"
"contests decided in a runoff, repaired","LA 2016, GA 2020, GA 2020"
"Senate contests parsed, 2004-2024","204"
"2024 parse against the crossover chapter's","35 of 35 contests, 0 disagreements"
"national two-party Republican share, 2024","50.75%"
"national two-party Republican share, 2004","51.24%"
"presidential elections in the House series","19"
"district-elections behind it","7,177"
"self-swap reproduces its own count","yes, both years"
"facts written","47"
