"year","st","district","party","candidates","total_votes","leader","leader_votes","leader_share","second","second_share","runoff","runoff_winner","leader_won_runoff","top_two_state"
2004,"AK","AL","D",3,29613,"Higgins, Thomas M.",14109,47.64,"Vondersaar, Frank",30.48,FALSE,NA,NA,FALSE
2004,"AL","5","D",2,41966,"Cramer, Bud",37573,89.53,"Williams, Michael ""People First""",10.47,FALSE,NA,NA,FALSE
2004,"AL","5","R",3,14924,"Wallace, Gerald (Gerry)",6742,45.18,"Engel, Stephen P.",40.25,TRUE,"Wallace, Gerald (Gerry)",TRUE,FALSE
2004,"AL","6","R",2,52448,"Bachus, Spencer",45448,86.65,"Jauregui, Phillip",13.35,FALSE,NA,NA,FALSE
2004,"AL","7","D",2,66254,"Davis, Artur",58193,87.83,"Turner, Albert",12.17,FALSE,NA,NA,FALSE
2004,"AR","2","R",2,16746,"Parks, Marvin",11590,69.21,"Garner, Ed",30.79,FALSE,NA,NA,FALSE
2004,"AZ","1","D",2,48051,"Babbitt, Paul",35422,73.72,"Donahue, Bob",26.28,FALSE,NA,NA,FALSE
2004,"AZ","2","D",3,24360,"Camacho, Randy",12833,52.68,"Scharer, Gene",24.12,FALSE,NA,NA,FALSE
2004,"AZ","2","R",2,71132,"Franks, Trent",45261,63.63,"Murphy, Rick L.",36.37,FALSE,NA,NA,FALSE
2004,"AZ","5","D",2,16347,"Rogers, Elizabeth",11362,69.51,"Maynard, Ronald",30.49,FALSE,NA,NA,FALSE
2004,"AZ","5","R",2,54462,"Hayworth, J. D.",43166,79.26,"O'Connell, Roselyn",20.74,FALSE,NA,NA,FALSE
2004,"AZ","6","R",2,56970,"Flake, Jeff",33784,59.3,"Barnes, Stan",40.7,FALSE,NA,NA,FALSE
2004,"AZ","7","R",2,17097,"Sweeney, Joseph",11990,70.13,"Muñoz, Lou",29.87,FALSE,NA,NA,FALSE
2004,"AZ","8","D",3,34486,"Bacal, Eva",20216,58.62,"Sultan, Tim",26.61,FALSE,NA,NA,FALSE
2004,"AZ","8","R",2,62725,"Kolbe, Jim",36039,57.46,"Graf, Randy",42.54,FALSE,NA,NA,FALSE
2004,"CA","12","D",3,86108,"Lantos, Tom",63323,73.54,"Khanna, Ro",19.87,FALSE,NA,NA,TRUE
2004,"CA","12","R",2,25181,"Garza, Mike",13967,55.47,"Huskins, Christopher",44.53,FALSE,NA,NA,TRUE
