"year","st","district","party","candidates","leader","leader_share","second","second_share","runoff_winner","leader_won_runoff"
2004,"AL","5","R",3,"Wallace, Gerald (Gerry)",45.18,"Engel, Stephen P.",40.25,"Wallace, Gerald (Gerry)",TRUE
2004,"GA","6","R",7,"Price, Tom",35.19,"Lamutt, Robert B.",27.98,"Price, Tom",TRUE
2004,"GA","8","R",4,"Westmoreland, Lynn",45.85,"Glenn, Dylan",37.61,"Westmoreland, Lynn",TRUE
2004,"NC","10","R",4,"Huffman, David",34.96,"McHenry, Patrick",26.34,"McHenry, Patrick",FALSE
2004,"NC","5","R",8,"Robinson, Vernon L.",23.58,"Foxx, Virginia",22.38,"Foxx, Virginia",FALSE
2004,"TX","1","R",6,"Gohmert, Louis",41.73,"Graves, John",29.94,"Gohmert, Louis",TRUE
2004,"TX","10","R",8,"Streusand, Ben",28.15,"McCaul, Michael T.",23.91,"McCaul, Michael T.",FALSE
2004,"TX","15","R",3,"Hamilton, Alexander",41.49,"Thramm, Michael D.",37.15,"Thramm, Michael D.",FALSE
2004,"TX","17","R",3,"Wohlgemuth, Arlene",41.26,"Snyder, Dot",30.54,"Wohlgemuth, Arlene",TRUE
2004,"TX","28","R",4,"Hopson, James (Jim) F.",49.08,"Canseco, Francisco ""Quico""",21.38,"Hopson, James (Jim) F.",TRUE
2006,"GA","4","D",3,"McKinney, Cynthia",47.12,"Johnson, Henry C. ""Hank,"" Jr.",44.4,"Johnson, Henry C. ""Hank,"" Jr.",FALSE
2006,"MS","1","D",4,"Hurt, James K. (Ken)",37.13,"Bambach, William",24.89,"Hurt, James K. (Ken)",TRUE
2006,"OK","5","R",6,"Fallin, Mary",34.57,"Cornett, Mick",24.27,"Fallin, Mary",TRUE
2006,"SC","1","D",3,"Frasier, Ben",47.53,"Maatta, Randy",31.62,"Maatta, Randy",FALSE
2006,"TX","10","D",4,"Ankrum, Ted",36.74,"Foreman, Paul",35.82,"Ankrum, Ted",TRUE
2006,"TX","30","R",3,"Aurbach, Wilson",44.51,"Omar, Amir",36.07,"Aurbach, Wilson",TRUE
2008,"AL","2","R",6,"Love, Jay",35.48,"Smith, Harri Anne",21.77,"Love, Jay",TRUE
2008,"AL","5","R",6,"Parker, Wayne",48.8,"Guthrie, Cheryl Baswell",18.3,"Parker, Wayne",TRUE
2008,"MS","1","D",5,"Childers, Travis W.",41.41,"Holland, Steve",30.63,"Childers, Travis W.",TRUE
2008,"MS","1","R",3,"McCullough, Glenn L., Jr.",38.88,"Davis, Greg",36.79,"Davis, Greg",FALSE
2008,"MS","3","R",7,"Ross, Charlie",33.37,"Harper, Gregg",28.33,"Harper, Gregg",FALSE
2008,"SC","4","D",3,"Corden, Paul",41.35,"Christian, Ted",32.74,"Corden, Paul",TRUE
2008,"TX","22","R",10,"Sekula Gibbs, Shelley",29.73,"Olson, Pete",20.71,"Olson, Pete",FALSE
2008,"TX","32","D",3,"Roberson, Eric",44.86,"Love, Steve",33.42,"Roberson, Eric",TRUE
2010,"AL","2","R",4,"Roby, Martha",48.55,"Barber, Rick",28.51,"Roby, Martha",TRUE
2010,"AL","7","D",4,"Sewell, Terri A.",36.8,"Smoot, Shelia",28.59,"Sewell, Terri A.",TRUE
2010,"AL","7","R",4,"Chamberlain, Don",37.58,"Salter, Chris",29.42,"Chamberlain, Don",TRUE
2010,"AR","1","D",6,"Wooldridge, Tim",38.41,"Causey, Chad",26.98,"Causey, Chad",FALSE
2010,"AR","2","D",5,"Elliott, Joyce",39.73,"Wills, Robbie",27.82,"Elliott, Joyce",TRUE
2010,"AR","3","R",8,"Womack, Steve",31.18,"Bledsoe, Cecile",13.25,"Womack, Steve",TRUE
2010,"GA","12","R",4,"Mckinney, Raymond",42.61,"Smith, Carl",27.94,"Mckinney, Raymond",TRUE
2010,"GA","13","R",6,"Crane, Mike",29.41,"Honeycutt, Deborah",26.58,"Crane, Mike",TRUE
2010,"GA","7","R",8,"Woodall, Rob",36.29,"Hice, Jody",26.31,"Woodall, Rob",TRUE
2010,"GA","9","R",6,"Graves, Tom",49.47,"Hawkins, Lee",26.69,"Graves, Tom",TRUE
2010,"MS","2","R",3,"Cook, Richard",34.77,"Marcy, Bill",34.75,"Marcy, Bill",FALSE
