"county","candidate","votes","county_total","share"
"Alachua","Donalds",5408,14209,38.0604
"Alachua","Collins",3930,14209,27.6585
"Alachua","Fishback",2013,14209,14.1671
"Alachua","Renner",1574,14209,11.0775
"Alachua","Williams",728,14209,5.12351
"Alachua","Rodriguez",196,14209,1.37941
"Alachua","Shaw",91,14209,0.640439
"Alachua","Succe",87,14209,0.612288
"Alachua","Holcomb",84,14209,0.591175
"Alachua","McCaffrey",59,14209,0.41523
"Alachua","Nokovich",39,14209,0.274474
"Baker","Donalds",1484,5135,28.8997
"Baker","Collins",1364,5135,26.5628
"Baker","Fishback",805,5135,15.6767
"Baker","Renner",734,5135,14.2941
"Baker","Williams",644,5135,12.5414
"Baker","Shaw",35,5135,0.681597
"Baker","Rodriguez",26,5135,0.506329
"Baker","Holcomb",21,5135,0.408958
"Baker","McCaffrey",12,5135,0.23369
"Baker","Nokovich",6,5135,0.116845
"Baker","Succe",4,5135,0.0778968
"Bay","Donalds",10218,24174,42.2686
"Bay","Collins",7413,24174,30.6652
"Bay","Renner",2622,24174,10.8464
"Bay","Fishback",2327,24174,9.62604
"Bay","Williams",691,24174,2.85844
"Bay","Holcomb",285,24174,1.17895
"Bay","Rodriguez",257,24174,1.06313
"Bay","McCaffrey",113,24174,0.467444
"Bay","Shaw",96,24174,0.397121
"Bay","Succe",81,24174,0.335071
"Bay","Nokovich",71,24174,0.293704
"Bradford","Donalds",1183,3702,31.9557
"Bradford","Collins",1019,3702,27.5257
"Bradford","Williams",554,3702,14.9649
"Bradford","Renner",483,3702,13.047
"Bradford","Fishback",396,3702,10.6969
"Bradford","Rodriguez",24,3702,0.648298
"Bradford","Shaw",17,3702,0.459211
"Bradford","Holcomb",15,3702,0.405186
"Bradford","McCaffrey",4,3702,0.10805
"Bradford","Nokovich",4,3702,0.10805
"Bradford","Succe",3,3702,0.0810373
"Brevard","Donalds",30963,67149,46.1109
"Brevard","Collins",16841,67149,25.08
"Brevard","Fishback",7635,67149,11.3702
"Brevard","Renner",6669,67149,9.93164
"Brevard","Williams",2798,67149,4.16685
"Brevard","Rodriguez",840,67149,1.25095
"Brevard","Holcomb",475,67149,0.707382
"Brevard","Succe",284,67149,0.42294
"Brevard","McCaffrey",245,67149,0.36486
"Brevard","Shaw",245,67149,0.36486
"Brevard","Nokovich",154,67149,0.229341
"Broward","Donalds",31994,57092,56.0394
"Broward","Collins",11229,57092,19.6683
"Broward","Fishback",6511,57092,11.4044
"Broward","Renner",3293,57092,5.76788
"Broward","Rodriguez",1316,57092,2.30505
"Broward","Williams",827,57092,1.44854
"Broward","Holcomb",475,57092,0.83199
"Broward","McCaffrey",451,57092,0.789953
"Broward","Shaw",430,57092,0.75317
"Broward","Nokovich",313,57092,0.548238
"Broward","Succe",253,57092,0.443144
"Calhoun","Collins",933,2339,39.8888
"Calhoun","Donalds",551,2339,23.5571
"Calhoun","Williams",316,2339,13.51
"Calhoun","Fishback",237,2339,10.1325
"Calhoun","Renner",201,2339,8.59342
"Calhoun","Holcomb",31,2339,1.32535
"Calhoun","Rodriguez",25,2339,1.06883
"Calhoun","Shaw",19,2339,0.812313
"Calhoun","McCaffrey",17,2339,0.726806
"Calhoun","Nokovich",7,2339,0.299273
"Calhoun","Succe",2,2339,0.0855066
"Charlotte","Donalds",14742,27733,53.1569
"Charlotte","Collins",6986,27733,25.1902
"Charlotte","Fishback",2346,27733,8.45924
"Charlotte","Renner",1400,27733,5.04814
"Charlotte","Williams",1288,27733,4.64429
"Charlotte","Rodriguez",341,27733,1.22958
"Charlotte","Holcomb",249,27733,0.897847
"Charlotte","McCaffrey",116,27733,0.418274
"Charlotte","Shaw",108,27733,0.389428
"Charlotte","Succe",92,27733,0.331735
"Charlotte","Nokovich",65,27733,0.234378
"Citrus","Donalds",11351,27193,41.7424
"Citrus","Collins",8876,27193,32.6408
"Citrus","Fishback",2403,27193,8.83683
"Citrus","Williams",2114,27193,7.77406
"Citrus","Renner",1616,27193,5.94271
"Citrus","Holcomb",267,27193,0.98187
"Citrus","Rodriguez",239,27193,0.878903
"Citrus","Shaw",101,27193,0.371419
"Citrus","McCaffrey",91,27193,0.334645
"Citrus","Succe",71,27193,0.261097
"Citrus","Nokovich",64,27193,0.235355
"Clay","Donalds",10932,27573,39.6475
"Clay","Collins",7556,27573,27.4036
"Clay","Renner",3686,27573,13.3682
"Clay","Fishback",3452,27573,12.5195
"Clay","Williams",1119,27573,4.05832
"Clay","Rodriguez",305,27573,1.10615
"Clay","Holcomb",204,27573,0.739854
"Clay","Succe",96,27573,0.348167
