"office","winner","county","county_votes","share","statewide","deviation"
"GOV","Donalds","Alachua",14209,38.0604,47.7888,-9.72841
"GOV","Donalds","Baker",5135,28.8997,47.7888,-18.8891
"GOV","Donalds","Bay",24174,42.2686,47.7888,-5.52024
"GOV","Donalds","Bradford",3702,31.9557,47.7888,-15.8331
"GOV","Donalds","Brevard",67149,46.1109,47.7888,-1.6779
"GOV","Donalds","Broward",57092,56.0394,47.7888,8.25058
"GOV","Donalds","Calhoun",2339,23.5571,47.7888,-24.2317
"GOV","Donalds","Charlotte",27733,53.1569,47.7888,5.3681
"GOV","Donalds","Citrus",27193,41.7424,47.7888,-6.04643
"GOV","Donalds","Clay",27573,39.6475,47.7888,-8.14131
"GOV","Donalds","Collier",46914,65.8439,47.7888,18.0551
"GOV","Donalds","Columbia",8962,28.7771,47.7888,-19.0117
"GOV","Donalds","Desoto",2470,39.1498,47.7888,-8.63899
"GOV","Donalds","Dixie",3410,20.2053,47.7888,-27.5835
"GOV","Donalds","Duval",68042,43.166,47.7888,-4.62281
"GOV","Donalds","Escambia",31902,45.8843,47.7888,-1.90452
"GOV","Donalds","Flagler",17221,48.6731,47.7888,0.88434
"GOV","Donalds","Franklin",1627,41.303,47.7888,-6.48578
"GOV","Donalds","Gadsden",2258,38.2197,47.7888,-9.56913
"GOV","Donalds","Gilchrist",3967,21.7545,47.7888,-26.0343
"GOV","Donalds","Glades",1641,39.0615,47.7888,-8.72724
"GOV","Donalds","Gulf",3077,38.089,47.7888,-9.69974
"GOV","Donalds","Hamilton",1628,24.3243,47.7888,-23.4645
"GOV","Donalds","Hardee",2370,27.6371,47.7888,-20.1517
"GOV","Donalds","Hendry",3177,45.7035,47.7888,-2.0853
"GOV","Donalds","Hernando",23280,40.0215,47.7888,-7.76731
"GOV","Donalds","Highlands",11921,40.5167,47.7888,-7.27206
"GOV","Donalds","Hillsborough",91926,44.3346,47.7888,-3.45422
"GOV","Donalds","Holmes",3345,23.707,47.7888,-24.0818
"GOV","Donalds","Indian River",21914,51.0815,47.7888,3.29271
"GOV","Donalds","Jackson",6171,28.0668,47.7888,-19.722
"GOV","Donalds","Jefferson",2253,29.9601,47.7888,-17.8287
"GOV","Donalds","Lafayette",1659,18.0229,47.7888,-29.7659
"GOV","Donalds","Lake",43322,45.141,47.7888,-2.64775
"GOV","Donalds","Lee",83392,64.9055,47.7888,17.1167
"GOV","Donalds","Leon",22328,43.9359,47.7888,-3.85293
"GOV","Donalds","Levy",7030,27.4253,47.7888,-20.3635
"GOV","Donalds","Liberty",1575,19.3016,47.7888,-28.4872
"GOV","Donalds","Madison",2484,29.5089,47.7888,-18.2799
"GOV","Donalds","Manatee",45600,48.0132,47.7888,0.224366
"GOV","Donalds","Marion",46141,42.7256,47.7888,-5.06323
"GOV","Donalds","Martin",20543,48.3668,47.7888,0.578049
"GOV","Donalds","Miami-Dade",89948,57.7689,47.7888,9.98014
"GOV","Donalds","Monroe",7837,51.2951,47.7888,3.50635
"GOV","Donalds","Nassau",16685,38.6994,47.7888,-9.08936
"GOV","Donalds","Okaloosa",23928,41.9592,47.7888,-5.82958
"GOV","Donalds","Okeechobee",3774,38.3678,47.7888,-9.42101
"GOV","Donalds","Orange",60848,48.1906,47.7888,0.401782
"GOV","Donalds","Osceola",16886,47.6726,47.7888,-0.116163
"GOV","Donalds","Palm Beach",81849,58.746,47.7888,10.9572
"GOV","Donalds","Pasco",48846,44.3598,47.7888,-3.42897
"GOV","Donalds","Pinellas",82831,49.7012,47.7888,1.91241
"GOV","Donalds","Polk",53069,39.296,47.7888,-8.49278
"GOV","Donalds","Putnam",8742,34.8662,47.7888,-12.9226
"GOV","Donalds","Santa Rosa",24830,39.7261,47.7888,-8.06265
"GOV","Donalds","Sarasota",56477,48.4445,47.7888,0.655708
"GOV","Donalds","Seminole",36340,47.5234,47.7888,-0.265401
"GOV","Donalds","St. Johns",42572,43.3266,47.7888,-4.46219
"GOV","Donalds","St. Lucie",27833,53.415,47.7888,5.62622
"GOV","Donalds","Sumter",32152,53.6203,47.7888,5.83151
"GOV","Donalds","Suwannee",6441,25.2135,47.7888,-22.5753
"GOV","Donalds","Taylor",2837,26.5421,47.7888,-21.2467
"GOV","Donalds","Union",1982,26.1857,47.7888,-21.6031
"GOV","Donalds","Volusia",57651,48.5733,47.7888,0.78452
"GOV","Donalds","Wakulla",5212,33.2694,47.7888,-14.5194
"GOV","Donalds","Walton",13473,40.4587,47.7888,-7.3301
"GOV","Donalds","Washington",4370,27.4142,47.7888,-20.3746
"USS","Moody","Alachua",13898,79.8244,79.5649,0.25951
"USS","Moody","Baker",4981,81.2487,79.5649,1.68382
"USS","Moody","Bay",23890,83.3068,79.5649,3.7419
"USS","Moody","Bradford",3571,84.4301,79.5649,4.86521
"USS","Moody","Brevard",65559,79.6763,79.5649,0.111397
"USS","Moody","Broward",55446,75.3328,79.5649,-4.23217
"USS","Moody","Calhoun",2305,81.692,79.5649,2.12705
"USS","Moody","Charlotte",27075,77.097,79.5649,-2.46797
"USS","Moody","Citrus",26642,80.7072,79.5649,1.14223
"USS","Moody","Clay",27105,82.4829,79.5649,2.91801
"USS","Moody","Collier",45099,82.6737,79.5649,3.10875
"USS","Moody","Columbia",8704,80.6526,79.5649,1.08765
"USS","Moody","Desoto",2396,80.8431,79.5649,1.27815
"USS","Moody","Dixie",3311,79.0094,79.5649,-0.555563
"USS","Moody","Duval",66710,81.7913,79.5649,2.22641
"USS","Moody","Escambia",31370,79.439,79.5649,-0.125971
"USS","Moody","Flagler",16776,83.083,79.5649,3.51805
"USS","Moody","Franklin",1607,78.967,79.5649,-0.597906
"USS","Moody","Gadsden",2228,83.842,79.5649,4.27709
"USS","Moody","Gilchrist",3885,81.4157,79.5649,1.85078
"USS","Moody","Glades",1587,79.3321,79.5649,-0.232852
"USS","Moody","Gulf",3031,82.415,79.5649,2.85012
"USS","Moody","Hamilton",1603,81.3475,79.5649,1.78255
"USS","Moody","Hardee",2333,86.8838,79.5649,7.31892
"USS","Moody","Hendry",3086,76.3772,79.5649,-3.18774
"USS","Moody","Hernando",22818,78.9202,79.5649,-0.644775
"USS","Moody","Highlands",11666,81.8961,79.5649,2.33118
"USS","Moody","Hillsborough",90739,81.7939,79.5649,2.22901
"USS","Moody","Holmes",3288,80.5049,79.5649,0.939941
"USS","Moody","Indian River",21356,81.3636,79.5649,1.79863
"USS","Moody","Jackson",6097,81.8599,79.5649,2.29501
"USS","Moody","Jefferson",2222,88.0288,79.5649,8.46388
"USS","Moody","Lafayette",1604,80.798,79.5649,1.23308
"USS","Moody","Lake",42449,81.2104,79.5649,1.64547
"USS","Moody","Lee",80542,79.2295,79.5649,-0.335455
"USS","Moody","Leon",21945,83.5862,79.5649,4.02131
"USS","Moody","Levy",6880,80.3634,79.5649,0.798447
"USS","Moody","Liberty",1555,78.8424,79.5649,-0.722482
"USS","Moody","Madison",2440,82.582,79.5649,3.01704
"USS","Moody","Manatee",44785,79.3279,79.5649,-0.237025
"USS","Moody","Marion",45212,81.6686,79.5649,2.10366
"USS","Moody","Martin",19854,78.9967,79.5649,-0.56825
"USS","Moody","Miami-Dade",87893,67.465,79.5649,-12.0999
"USS","Moody","Monroe",7697,77.5367,79.5649,-2.02822
"USS","Moody","Nassau",16347,80.3878,79.5649,0.822913
"USS","Moody","Okaloosa",23330,78.0069,79.5649,-1.55807
"USS","Moody","Okeechobee",3659,81.443,79.5649,1.87809
"USS","Moody","Orange",59677,78.6233,79.5649,-0.94167
"USS","Moody","Osceola",16633,75.2841,79.5649,-4.28085
"USS","Moody","Palm Beach",79887,78.6473,79.5649,-0.917586
"USS","Moody","Pasco",47775,80.1947,79.5649,0.629737
"USS","Moody","Pinellas",81194,80.9518,79.5649,1.38687
"USS","Moody","Polk",52053,82.3353,79.5649,2.77039
"USS","Moody","Putnam",8573,82.8415,79.5649,3.27655
"USS","Moody","Santa Rosa",24152,75.1656,79.5649,-4.39931
"USS","Moody","Sarasota",55577,76.17,79.5649,-3.39493
"USS","Moody","Seminole",35503,82.1762,79.5649,2.61123
"USS","Moody","St. Johns",41476,79.7473,79.5649,0.182398
"USS","Moody","St. Lucie",27196,79.7691,79.5649,0.204158
"USS","Moody","Sumter",31689,83.7767,79.5649,4.21178
"USS","Moody","Suwannee",6339,81.2273,79.5649,1.6624
"USS","Moody","Taylor",2778,82.8654,79.5649,3.30045
"USS","Moody","Union",1943,81.0087,79.5649,1.44382
"USS","Moody","Volusia",56387,82.48,79.5649,2.91508
"USS","Moody","Wakulla",5076,81.4421,79.5649,1.87716
"USS","Moody","Walton",13148,79.2212,79.5649,-0.343751
"USS","Moody","Washington",4313,81.8688,79.5649,2.30384
"CFO","Ingoglia","Alachua",13338,65.3321,61.3154,4.0167
"CFO","Ingoglia","Baker",4859,53.6942,61.3154,-7.62126
"CFO","Ingoglia","Bay",22644,59.8304,61.3154,-1.48502
"CFO","Ingoglia","Bradford",3381,58.533,61.3154,-2.78246
"CFO","Ingoglia","Brevard",62822,66.1552,61.3154,4.83973
"CFO","Ingoglia","Broward",52672,58.1922,61.3154,-3.12323
"CFO","Ingoglia","Calhoun",2215,49.8871,61.3154,-11.4283
"CFO","Ingoglia","Charlotte",25815,57.424,61.3154,-3.89146
"CFO","Ingoglia","Citrus",26261,66.5854,61.3154,5.26999
"CFO","Ingoglia","Clay",25985,62.5399,61.3154,1.22449
"CFO","Ingoglia","Collier",42361,68.8888,61.3154,7.5734
"CFO","Ingoglia","Columbia",8400,57.1548,61.3154,-4.16067
"CFO","Ingoglia","Desoto",2314,53.9326,61.3154,-7.38285
"CFO","Ingoglia","Dixie",3178,43.4235,61.3154,-17.8919
"CFO","Ingoglia","Duval",64047,64.9913,61.3154,3.6759
"CFO","Ingoglia","Escambia",29165,55.81,61.3154,-5.50539
"CFO","Ingoglia","Flagler",15939,66.491,61.3154,5.17556
"CFO","Ingoglia","Franklin",1543,48.0881,61.3154,-13.2273
"CFO","Ingoglia","Gadsden",2159,58.5919,61.3154,-2.7235
"CFO","Ingoglia","Gilchrist",3733,54.6209,61.3154,-6.69449
"CFO","Ingoglia","Glades",1502,44.8069,61.3154,-16.5085
"CFO","Ingoglia","Gulf",2892,47.13,61.3154,-14.1854
"CFO","Ingoglia","Hamilton",1549,44.9968,61.3154,-16.3187
"CFO","Ingoglia","Hardee",2235,56.9128,61.3154,-4.40268
"CFO","Ingoglia","Hendry",2940,48.0952,61.3154,-13.2202
"CFO","Ingoglia","Hernando",22515,65.4675,61.3154,4.15203
"CFO","Ingoglia","Highlands",11073,54.2762,61.3154,-7.03927
"CFO","Ingoglia","Hillsborough",86738,64.0665,61.3154,2.75106
"CFO","Ingoglia","Holmes",3169,50.1736,61.3154,-11.1419
"CFO","Ingoglia","Indian River",19872,60.7337,61.3154,-0.581741
"CFO","Ingoglia","Jackson",5926,51.1644,61.3154,-10.1511
"CFO","Ingoglia","Jefferson",2109,60.8819,61.3154,-0.433502
"CFO","Ingoglia","Lafayette",1559,45.2213,61.3154,-16.0941
"CFO","Ingoglia","Lake",39957,61.5412,61.3154,0.225721
"CFO","Ingoglia","Lee",75467,59.3372,61.3154,-1.97824
"CFO","Ingoglia","Leon",20868,68.0755,61.3154,6.76009
"CFO","Ingoglia","Levy",6625,47.2906,61.3154,-14.0249
"CFO","Ingoglia","Liberty",1487,49.8319,61.3154,-11.4836
"CFO","Ingoglia","Madison",2288,51.2675,61.3154,-10.048
"CFO","Ingoglia","Manatee",43045,62.969,61.3154,1.65355
"CFO","Ingoglia","Marion",42615,61.7341,61.3154,0.418695
"CFO","Ingoglia","Martin",18470,58.8738,61.3154,-2.44159
"CFO","Ingoglia","Miami-Dade",83880,52.7515,61.3154,-8.56389
"CFO","Ingoglia","Monroe",7111,54.1133,61.3154,-7.20209
"CFO","Ingoglia","Nassau",15798,65.4387,61.3154,4.12323
"CFO","Ingoglia","Okaloosa",22161,55.4984,61.3154,-5.81704
"CFO","Ingoglia","Okeechobee",3491,47.8946,61.3154,-13.4209
"CFO","Ingoglia","Orange",56918,64.433,61.3154,3.11761
"CFO","Ingoglia","Osceola",16002,54.3682,61.3154,-6.94723
"CFO","Ingoglia","Palm Beach",75281,58.4357,61.3154,-2.87971
"CFO","Ingoglia","Pasco",45617,61.2359,61.3154,-0.0794934
"CFO","Ingoglia","Pinellas",77143,63.7362,61.3154,2.42074
"CFO","Ingoglia","Polk",49916,57.9393,61.3154,-3.3761
"CFO","Ingoglia","Putnam",8257,56.546,61.3154,-4.76948
"CFO","Ingoglia","Santa Rosa",22638,47.8885,61.3154,-13.4269
"CFO","Ingoglia","Sarasota",52468,65.7048,61.3154,4.38937
"CFO","Ingoglia","Seminole",33528,68.158,61.3154,6.84252
"CFO","Ingoglia","St. Johns",39465,66.3879,61.3154,5.0725
"CFO","Ingoglia","St. Lucie",26148,64.8922,61.3154,3.57672
"CFO","Ingoglia","Sumter",29812,69.0729,61.3154,7.75742
"CFO","Ingoglia","Suwannee",6113,50.2863,61.3154,-11.0292
"CFO","Ingoglia","Taylor",2673,49.0086,61.3154,-12.3068
"CFO","Ingoglia","Union",1870,55.1337,61.3154,-6.18175
"CFO","Ingoglia","Volusia",53637,65.7568,61.3154,4.44141
"CFO","Ingoglia","Wakulla",4766,54.8049,61.3154,-6.51057
"CFO","Ingoglia","Walton",12415,56.029,61.3154,-5.28644
"CFO","Ingoglia","Washington",4180,55.6938,61.3154,-5.62166
"AGR","Simpson","Alachua",13691,70.9882,68.9095,2.07872
"AGR","Simpson","Baker",4980,62.51,68.9095,-6.39948
"AGR","Simpson","Bay",23034,71.1513,68.9095,2.24182
"AGR","Simpson","Bradford",3566,69.097,68.9095,0.187509
"AGR","Simpson","Brevard",63502,67.1554,68.9095,-1.75415
"AGR","Simpson","Broward",53631,71.4121,68.9095,2.50254
"AGR","Simpson","Calhoun",2274,67.6341,68.9095,-1.27539
"AGR","Simpson","Charlotte",26176,62.1065,68.9095,-6.80301
"AGR","Simpson","Citrus",26626,69.5298,68.9095,0.620264
"AGR","Simpson","Clay",26372,68.6486,68.9095,-0.260952
"AGR","Simpson","Collier",43118,73.9343,68.9095,5.0248
"AGR","Simpson","Columbia",8609,68.2077,68.9095,-0.701829
"AGR","Simpson","Desoto",2389,65.2156,68.9095,-3.69395
"AGR","Simpson","Dixie",3335,64.048,68.9095,-4.86154
"AGR","Simpson","Duval",64645,67.1606,68.9095,-1.74887
"AGR","Simpson","Escambia",30528,72.7725,68.9095,3.86302
"AGR","Simpson","Flagler",16022,70.8401,68.9095,1.93058
"AGR","Simpson","Franklin",1570,65.414,68.9095,-3.49551
"AGR","Simpson","Gadsden",2219,74.4029,68.9095,5.49337
"AGR","Simpson","Gilchrist",3910,66.5985,68.9095,-2.31105
"AGR","Simpson","Glades",1598,60.5757,68.9095,-8.3338
"AGR","Simpson","Gulf",2973,66.7676,68.9095,-2.14194
"AGR","Simpson","Hamilton",1593,66.855,68.9095,-2.05453
"AGR","Simpson","Hardee",2324,68.4596,68.9095,-0.449966
"AGR","Simpson","Hendry",3103,65.485,68.9095,-3.4245
"AGR","Simpson","Hernando",22828,65.5817,68.9095,-3.32778
"AGR","Simpson","Highlands",11429,67.7925,68.9095,-1.11706
"AGR","Simpson","Hillsborough",88587,66.2287,68.9095,-2.68084
"AGR","Simpson","Holmes",3264,66.6973,68.9095,-2.21221
"AGR","Simpson","Indian River",20846,71.5917,68.9095,2.68215
"AGR","Simpson","Jackson",6080,70.3618,68.9095,1.45232
"AGR","Simpson","Jefferson",2207,76.5745,68.9095,7.66502
"AGR","Simpson","Lafayette",1628,67.5676,68.9095,-1.34195
"AGR","Simpson","Lake",41297,65.6997,68.9095,-3.20983
"AGR","Simpson","Lee",77037,67.4027,68.9095,-1.50684
"AGR","Simpson","Leon",21380,76.5949,68.9095,7.68543
"AGR","Simpson","Levy",6895,65.1632,68.9095,-3.74636
"AGR","Simpson","Liberty",1530,67.3856,68.9095,-1.5239
"AGR","Simpson","Madison",2407,70.2534,68.9095,1.34391
"AGR","Simpson","Manatee",43624,68.3569,68.9095,-0.552651
"AGR","Simpson","Marion",43958,66.584,68.9095,-2.32551
"AGR","Simpson","Martin",19282,68.3487,68.9095,-0.5608
"AGR","Simpson","Miami-Dade",85060,72.6393,68.9095,3.72979
"AGR","Simpson","Monroe",7259,67.3922,68.9095,-1.51732
"AGR","Simpson","Nassau",15831,66.654,68.9095,-2.25549
"AGR","Simpson","Okaloosa",22715,69.4343,68.9095,0.524776
"AGR","Simpson","Okeechobee",3712,68.6961,68.9095,-0.213398
"AGR","Simpson","Orange",57341,71.1951,68.9095,2.28561
"AGR","Simpson","Osceola",16173,66.5925,68.9095,-2.31705
"AGR","Simpson","Palm Beach",77197,71.4225,68.9095,2.51295
"AGR","Simpson","Pasco",47372,64.954,68.9095,-3.95554
"AGR","Simpson","Pinellas",78660,72.882,68.9095,3.97251
"AGR","Simpson","Polk",51430,63.9413,68.9095,-4.96824
