"year","incumbents","ran_primary","unopposed","contested","denied","denied_np","pct_denied","pct_unopposed","pct_contested","median_share","min_share","under60","under55"
2004,407,394,302,92,2,0,0.507614,76.6497,23.3503,83.5761,31.2977,10,4
2006,406,390,306,84,1,0,0.25641,78.4615,21.5385,80.441,47.1241,11,8
2008,399,395,293,102,4,0,1.01266,74.1772,25.8228,78.1942,25.3006,21,17
2010,398,387,235,152,4,0,1.03359,60.7235,39.2765,78.2474,27.4612,26,14
2012,392,378,173,205,13,0,3.43915,45.7672,54.2328,70.913,26.6616,61,41
2014,392,379,203,176,4,0,1.05541,53.562,46.438,72.404,33.5968,48,35
2016,392,379,173,206,5,0,1.31926,45.6464,54.3536,71.3349,23.6037,47,30
2018,375,360,161,199,4,0,1.11111,44.7222,55.2778,74.4078,30.3044,39,29
2020,392,378,172,206,7,0,1.85185,45.5026,54.4974,73.4256,33.9134,52,29
2022,383,371,150,221,14,1,3.77358,40.4313,59.5687,68.7319,11.8218,74,54
