"issue","supports","opposes","unclear","silent","silent_pct"
"Benghazi",42,194,21,1405,84.54
"the Keystone pipeline",291,66,23,1282,77.14
"the NSA",11,342,57,1252,75.33
"the minimum wage",380,45,12,1225,73.71
"defense spending",126,255,83,1198,72.08
"same-sex marriage",327,225,50,1060,63.78
"climate change",382,278,100,902,54.27
"regulation",60,660,47,895,53.85
"abortion",293,462,47,860,51.74
"gun control",212,576,39,835,50.24
"immigration",372,410,130,750,45.13
"the debt and deficit",32,882,53,695,41.82
"taxes",270,518,266,608,36.58
"the Affordable Care Act",254,680,241,487,29.3
