"fips","name","class","bin","rate"
"31039","Cuming County","ok",4,2.265
"53069","Wahkiakum County","ok",3,1.165
"35011","De Baca County","ok",2,0.907
"31109","Lancaster County","ok",4,2.181
"31129","Nuckolls County","ok",3,1.483
"46099","Minnehaha County","ok",4,1.808
"48327","Menard County","ok",2,0.574
"06091","Sierra County","ok",3,1.461
"21053","Clinton County","ok",3,1.255
"39063","Hancock County","ok",3,1.309
"48189","Hale County","ok",1,0.397
"01027","Clay County","ok",1,0.03
"48011","Armstrong County","ok",3,1.159
"39003","Allen County","ok",3,1.033
"13189","McDuffie County","ok",2,0.594
"55111","Sauk County","nodata",NA,NA
"05137","Stone County","ok",1,0.495
"41063","Wallowa County","ok",4,1.721
"42007","Beaver County","ok",2,0.741
"28061","Jasper County","setaside",NA,0
"29083","Henry County","ok",2,0.942
"08109","Saguache County","ok",3,1.335
"37037","Chatham County","ok",3,1.492
"49033","Rich County","ok",3,1.229
"40001","Adair County","ok",1,0.371
"39085","Lake County","ok",3,1.215
"51775","Salem city","ok",2,0.822
"51121","Montgomery County","ok",3,1.202
"47065","Hamilton County","ok",3,1.242
"35035","Otero County","ok",1,0.439
"35003","Catron County","ok",1,0.422
"01091","Marengo County","ok",1,0.473
"56023","Lincoln County","ok",4,1.91
"29011","Barton County","ok",2,0.546
"48057","Calhoun County","ok",2,0.886
"51735","Poquoson city","ok",2,0.828
"54075","Pocahontas County","ok",3,1.19
"48077","Clay County","ok",2,0.939
"51095","James City County","ok",3,1.385
"31101","Keith County","ok",4,1.686
"31137","Phelps County","ok",4,1.78
"22019","Calcasieu Parish","ok",2,0.501
"22111","Union Parish","ok",2,0.814
"40135","Sequoyah County","ok",1,0.243
"01049","DeKalb County","ok",2,0.581
"36101","Steuben County","ok",5,4.433
"42053","Forest County","ok",2,0.637
"22105","Tangipahoa Parish","ok",2,0.856
"51179","Stafford County","ok",2,0.679
"26109","Menominee County","ok",2,0.76
"18073","Jasper County","ok",3,1.488
"13025","Brantley County","ok",1,0.246
"13171","Lamar County","ok",1,0.402
"18151","Steuben County","ok",4,2.148
"48361","Orange County","ok",1,0.346
"39047","Fayette County","ok",3,1.016
"25015","Hampshire County","ok",3,1.407
"21003","Allen County","ok",1,0.391
"37001","Alamance County","ok",3,1.086
"20073","Greenwood County","ok",3,1.131
"25025","Suffolk County","ok",4,1.748
"16051","Jefferson County","ok",3,1.23
"48177","Gonzales County","ok",2,0.5
"47115","Marion County","ok",1,0.422
"26007","Alpena County","ok",2,0.629
"21231","Wayne County","ok",2,0.716
"47185","White County","ok",1,0.447
"48147","Fannin County","ok",1,0.413
"20043","Doniphan County","ok",3,1.024
"48265","Kerr County","ok",2,0.677
"12053","Hernando County","ok",2,0.843
