"congress","year","members","seats","excess","mid_congress","died"
1,1789,66,49,17,17,1
2,1791,72,60,12,12,0
3,1793,110,69,41,41,2
4,1795,115,90,25,25,0
5,1797,117,90,27,27,4
6,1799,114,94,20,20,2
7,1801,114,90,24,24,1
8,1803,150,113,37,37,2
9,1805,149,115,34,34,1
10,1807,149,115,34,34,4
11,1809,154,113,41,41,1
12,1811,147,114,33,33,2
13,1813,196,141,55,55,2
14,1815,199,140,59,59,5
15,1817,195,142,53,53,2
16,1819,201,143,58,58,3
17,1821,201,150,51,51,4
18,1823,221,174,47,47,3
19,1825,225,178,47,47,5
20,1827,222,185,37,37,2
21,1829,221,178,43,43,1
22,1831,218,178,40,40,4
23,1833,258,204,54,54,5
24,1835,255,206,49,49,5
25,1837,258,211,47,47,8
26,1839,257,211,46,46,6
27,1841,259,207,52,52,10
28,1843,236,206,30,30,8
29,1845,240,217,23,23,5
30,1847,238,229,9,9,7
31,1849,244,231,13,13,7
32,1851,239,232,7,7,4
33,1853,242,233,9,9,4
34,1855,238,233,5,5,3
35,1857,247,235,12,12,5
36,1859,245,236,9,9,4
37,1861,203,180,23,23,6
38,1863,190,182,8,8,3
39,1865,202,193,9,9,3
40,1867,234,224,10,10,8
41,1869,258,243,15,15,5
42,1871,254,243,11,11,3
43,1873,307,284,23,23,7
44,1875,309,292,17,17,6
45,1877,303,293,10,10,5
46,1879,301,293,8,8,3
47,1881,311,293,18,18,6
48,1883,344,318,26,26,7
49,1885,333,325,8,8,8
50,1887,331,325,6,6,3
51,1889,355,331,24,24,10
52,1891,347,331,16,16,9
53,1893,378,352,26,26,10
54,1895,372,354,18,18,4
55,1897,371,354,17,17,7
56,1899,377,354,23,23,12
57,1901,373,354,19,19,11
58,1903,400,382,18,18,7
59,1905,403,382,21,21,10
60,1907,401,387,14,14,9
61,1909,402,389,13,13,11
62,1911,409,391,18,18,15
63,1913,454,423,31,31,11
64,1915,444,428,16,16,5
65,1917,457,428,29,29,13
66,1919,455,430,25,25,10
67,1921,453,431,22,22,13
68,1923,454,434,20,20,15
69,1925,443,434,9,9,8
70,1927,444,434,10,10,9
71,1929,457,434,23,23,18
72,1931,453,434,19,19,17
73,1933,447,393,54,54,13
74,1935,444,431,13,13,17
75,1937,450,431,19,19,14
76,1939,458,431,27,27,23
77,1941,454,431,23,23,14
78,1943,451,431,20,20,12
79,1945,447,432,15,15,10
80,1947,449,432,17,17,12
81,1949,445,433,12,12,12
82,1951,448,433,15,15,14
83,1953,441,433,8,8,6
84,1955,438,433,5,5,8
85,1957,443,433,10,10,13
86,1959,444,435,9,9,12
87,1961,450,435,15,15,8
88,1963,443,426,17,17,10
89,1965,444,433,11,11,5
90,1967,439,432,7,7,4
91,1969,449,434,15,15,9
92,1971,444,435,9,9,9
93,1973,442,435,7,7,3
94,1975,441,435,6,6,6
95,1977,441,435,6,6,4
96,1979,442,435,7,7,2
97,1981,444,435,9,9,4
98,1983,440,435,5,5,5
99,1985,439,435,4,4,4
100,1987,441,435,6,6,6
101,1989,445,435,10,10,3
102,1991,441,435,6,6,3
103,1993,442,435,7,7,3
104,1995,440,435,5,5,1
105,1997,444,435,9,9,4
106,1999,437,435,2,2,3
107,2001,443,435,8,8,4
108,2003,439,435,4,4,0
109,2005,440,435,5,5,0
110,2007,448,435,13,13,7
111,2009,445,435,10,10,1
112,2011,445,435,10,10,1
113,2013,444,435,9,9,1
114,2015,441,435,6,6,2
115,2017,450,435,15,15,1
116,2019,442,435,7,7,3
117,2021,449,435,14,14,6
118,2023,445,435,10,10,3
