"year","pres_year","midterm","state","sen_2p","pres_2p","gap","resid"
2014,2012,TRUE,"Maine",31.5,57.86,-26.36,-24.27
2014,2012,TRUE,"Rhode Island",70.74,64.02,6.72,8.82
2014,2012,TRUE,"Alaska",48.83,42.68,6.14,8.24
2014,2012,TRUE,"Wyoming",19.64,28.84,-9.2,-7.11
2014,2012,TRUE,"Oregon",60.15,56.27,3.88,5.98
2014,2012,TRUE,"Kentucky",42.05,38.46,3.59,5.68
2014,2012,TRUE,"Arkansas",41.08,37.85,3.24,5.34
2014,2012,TRUE,"Iowa",45.67,52.96,-7.29,-5.19
2014,2012,TRUE,"Louisiana",44.1,41.26,2.84,4.94
2014,2012,TRUE,"Michigan",56.93,54.8,2.13,4.23
2014,2012,TRUE,"Texas",35.83,41.99,-6.16,-4.06
2014,2012,TRUE,"Nebraska",32.85,38.87,-6.03,-3.93
2014,2012,TRUE,"Tennessee",34.01,39.65,-5.64,-3.55
2014,2012,TRUE,"Mississippi",38.75,44.2,-5.44,-3.35
2014,2012,TRUE,"Idaho",34.7,33.58,1.12,3.22
2014,2012,TRUE,"New Mexico",55.6,55.3,0.3,2.4
2014,2012,TRUE,"North Carolina",49.22,48.97,0.25,2.35
2014,2012,TRUE,"Massachusetts",62,61.79,0.21,2.31
2014,2012,TRUE,"Georgia",46.08,46.04,0.03,2.13
2014,2012,TRUE,"South Dakota",36.92,40.78,-3.86,-1.77
2014,2012,TRUE,"Colorado",48.99,52.75,-3.75,-1.65
2014,2012,TRUE,"Oklahoma",29.61,33.28,-3.67,-1.57
2014,2012,TRUE,"West Virginia",35.71,36.32,-0.61,1.49
2014,2012,TRUE,"South Carolina",41.68,44.69,-3.02,-0.92
2014,2012,TRUE,"New Hampshire",51.65,52.84,-1.18,0.92
2014,2012,TRUE,"Illinois",55.61,58.58,-2.96,-0.87
2014,2012,TRUE,"Virginia",50.41,51.97,-1.56,0.54
2014,2012,TRUE,"Delaware",56.94,59.45,-2.51,-0.41
2014,2012,TRUE,"Montana",40.96,42.97,-2.01,0.09
2014,2012,TRUE,"New Jersey",56.88,58.99,-2.11,-0.01
2018,2016,TRUE,"Maine",22.81,51.6,-28.79,-32.34
2018,2016,TRUE,"West Virginia",51.72,27.84,23.88,20.33
2018,2016,TRUE,"Montana",51.8,38.89,12.92,9.37
2018,2016,TRUE,"Utah",33.05,37.62,-4.57,-8.12
2018,2016,TRUE,"New Mexico",63.95,54.65,9.29,5.74
2018,2016,TRUE,"Massachusetts",62.53,64.65,-2.13,-5.68
2018,2016,TRUE,"New Jersey",55.79,57.19,-1.4,-4.95
