"year","state_abbrev","two","rel","national_two"
1976,"AK",38.108,-12.9411,51.0491
1980,"AK",32.7018,-12.1406,44.8424
1984,"AK",30.947,-9.8834,40.8304
1988,"AK",37.8364,-8.2621,46.0985
1992,"AK",43.4265,-10.0285,53.455
1996,"AK",39.5742,-15.1622,54.7364
2000,"AK",32.0663,-18.1985,50.2648
2004,"AK",36.774,-11.982,48.756
2008,"AK",38.9374,-14.7514,53.6888
2012,"AK",42.6838,-9.2801,51.9639
2016,"AK",41.6145,-9.4988,51.1133
2020,"AK",44.7385,-7.5313,52.2698
2024,"AK",43.1579,-6.092,49.2499
1976,"AL",56.6707,5.6216,51.0491
1980,"AL",49.3243,4.4819,44.8424
1984,"AL",38.7371,-2.0933,40.8304
1988,"AL",40.2504,-5.8481,46.0985
1992,"AL",46.1764,-7.2786,53.455
1996,"AL",46.2693,-8.4671,54.7364
2000,"AL",42.3967,-7.8681,50.2648
2004,"AL",37.0997,-11.6563,48.756
2008,"AL",39.1076,-14.5812,53.6888
2012,"AL",38.7827,-13.1812,51.9639
2016,"AL",35.6284,-15.4849,51.1133
2020,"AL",37.0892,-15.1806,52.2698
2024,"AL",34.5596,-14.6903,49.2499
1976,"AR",65.0185,13.9694,51.0491
1980,"AR",49.6811,4.8387,44.8424
1984,"AR",38.7708,-2.0596,40.8304
1988,"AR",42.8064,-3.2921,46.0985
1992,"AR",59.9955,6.5405,53.455
1996,"AR",59.355,4.6186,54.7364
2000,"AR",47.1956,-3.0692,50.2648
2004,"AR",45.0637,-3.6923,48.756
2008,"AR",39.8237,-13.8651,53.6888
2012,"AR",37.845,-14.1189,51.9639
2016,"AR",35.7143,-15.399,51.1133
2020,"AR",35.7893,-16.4805,52.2698
2024,"AR",34.329,-14.9209,49.2499
1976,"AZ",41.3721,-9.677,51.0491
1980,"AZ",31.7568,-13.0856,44.8424
1984,"AZ",32.8615,-7.9689,40.8304
1988,"AZ",39.2097,-6.8888,46.0985
1992,"AZ",48.6667,-4.7883,53.455
1996,"AZ",51.2115,-3.5249,54.7364
2000,"AZ",46.7085,-3.5563,50.2648
2004,"AZ",44.713,-4.043,48.756
2008,"AZ",45.694,-7.9948,53.6888
2012,"AZ",45.3713,-6.5926,51.9639
2016,"AZ",48.081,-3.0323,51.1133
2020,"AZ",50.1523,-2.1175,52.2698
2024,"AZ",47.2194,-2.0305,49.2499
1976,"CA",49.0817,-1.9674,51.0491
1980,"CA",40.5305,-4.3119,44.8424
1984,"CA",41.7797,0.9493,40.8304
1988,"CA",48.1913,2.0928,46.0985
1992,"CA",58.522,5.067,53.455
1996,"CA",57.2164,2.48,54.7364
2000,"CA",56.204,5.9392,50.2648
2004,"CA",55.0421,6.2861,48.756
2008,"CA",62.2805,8.5917,53.6888
2012,"CA",61.8735,9.9096,51.9639
2016,"CA",66.1275,15.0142,51.1133
2020,"CA",64.908,12.6382,52.2698
