"state","eac_availability","eac_price_usd","bp_availability","bp_price","bp_price_usd","bp_price_is_one_number","same_price"
"Alabama","Open",37000,"Open","$1,000",1000,"yes","no"
"Alaska","Open",20,"Open","$20",20,"yes","yes"
"Arizona","Mixed",516,"Usage restricted","$328.13 plus $0.0000625 per record",NA,"no",""
"Arkansas","Open",0,"Open","$50",50,"yes","no"
"California","Mixed",15000,"Requester restricted and usage restricted","$100",100,"yes","no"
"Colorado","Open",50,"Open","$1000",1000,"yes","no"
"Connecticut","Open",300,"Usage restricted","$300",300,"yes","yes"
"Delaware","Mixed",25,"Usage restricted","$25",25,"yes","yes"
"District of Columbia","Open",2,"Open","$10",10,"yes","no"
"Florida","Open",0,"Open","$0",0,"yes","yes"
"Georgia","Open",250,"Open","$485",485,"yes","no"
"Hawaii","Mixed",500,"Open","$500",500,"yes","yes"
"Idaho","Open",20,"Usage restricted","$50",50,"yes","no"
"Illinois","Restricted",500,"Requester restricted and usage restricted","$500",500,"yes","yes"
"Indiana","Open",0,"Requester restricted and usage restricted","$5,000",5000,"yes","no"
"Iowa","Mixed",1100,"Usage restricted","$1,950",1950,"yes","no"
"Kansas","Open",200,"Open","$300",300,"yes","no"
"Kentucky","Mixed",2000,"Open","$4,000",4000,"yes","no"
"Louisiana","Open",5000,"Open","$5,000",5000,"yes","yes"
"Maine","Mixed",2200,"Requester restricted and usage restricted","$2,200",2200,"yes","yes"
"Maryland","Restricted",125,"Requester restricted and usage restricted","$125",125,"yes","yes"
"Massachusetts","Mixed",0,"Requester restricted","$0",0,"yes","yes"
"Michigan","Open",23,"Open","Cost varies based on time taken to produce report",NA,"no",""
"Minnesota","Restricted",51,"Requester restricted and usage restricted","$46",46,"yes","no"
"Mississippi","Open",1100,"Open","$1,100",1100,"yes","yes"
"Missouri","Open",35,"Usage restricted","$35",35,"yes","yes"
"Montana","Open",1000,"Open","$5,000 for a year subscription",NA,"no",""
"Nebraska","Mixed",500,"Usage restricted","$500",500,"yes","yes"
"Nevada","Open",20000,"Open","$0",0,"yes","no"
"New Hampshire","Mixed",275,"Usage restricted","$25 for a digital copy, $25 plus $0.50 per thousand names in excess of 2,500 plus shipping for physical copies",NA,"no",""
"New Jersey","Open",375,"Requester restricted and usage restricted","$375",375,"yes","yes"
"New Mexico","Mixed",5215,"Open","$600",600,"yes","no"
"New York","Mixed",0,"Usage restricted","$0",0,"yes","yes"
"North Carolina","Open",0,"Open","$25",25,"yes","no"
"North Dakota","Restricted",2120,"Requester restricted and usage restricted","$2,120",2120,"yes","yes"
"Ohio","Open",0,"Open","$0",0,"yes","yes"
"Oklahoma","Open",0,"Requester restricted and usage restricted","$0",0,"yes","yes"
"Oregon","Open",500,"Open","$500",500,"yes","yes"
"Pennsylvania","Open",20,"Requester restricted and usage restricted","$20",20,"yes","yes"
"Rhode Island","Open",25,"Open","$700",700,"yes","no"
"South Carolina","Open",2500,"Requester restricted","$2,500",2500,"yes","yes"
"South Dakota","Mixed",2500,"Usage restricted","$1000",1000,"yes","no"
"Tennessee","Mixed",2500,"Usage restricted","$75 for digital or $30 per 1,000 voters for paper list",NA,"no",""
"Texas","Open",1279,"Usage restricted","$328.13 + $0.0000625 per voter",NA,"no",""
"Utah","Open",1050,"Open","$1,050",1050,"yes","yes"
"Vermont","Open",0,"Usage restricted","$0",0,"yes","yes"
"Virginia","Mixed",5000,"Requester restricted and usage restricted","Minimum cost $33, voter list pricing",NA,"no",""
"Washington","Open",0,"Usage restricted","$0",0,"yes","yes"
"West Virginia","Open",500,"Usage restricted","$1000 for an election cycle subscription",NA,"no",""
"Wisconsin","Open",12500,"Open","$12,500",12500,"yes","yes"
"Wyoming","Mixed",0,"Requester restricted and usage restricted","$125",125,"yes","no"
