"n","column","purpose"
1,"County","County"
2,"Voter Registration Number","Who you are"
3,"Status","Whether you count"
4,"Status Reason","Whether you count"
5,"Last Name","Who you are"
6,"First Name","Who you are"
7,"Middle Name","Who you are"
8,"Suffix","Who you are"
9,"Birth Year","Demographics"
10,"Residence Street Number","Where you live"
11,"Residence Pre Direction","Where you live"
12,"Residence Street Name","Where you live"
13,"Residence Street Type","Where you live"
14,"Residence Post Direction","Where you live"
15,"Residence Apt Unit Number","Where you live"
16,"Residence City","Where you live"
17,"Residence Zipcode","Where you live"
18,"County Precinct","Which ballot you get"
19,"County Precinct Description","Which ballot you get"
20,"Municipal Precinct","Which ballot you get"
21,"Municipal Precinct Description","Which ballot you get"
22,"Congressional District","Which ballot you get"
23,"State Senate District","Which ballot you get"
24,"State House District","Which ballot you get"
25,"Judicial District","Which ballot you get"
26,"County Commission District","Which ballot you get"
27,"School Board District","Which ballot you get"
28,"City Council District","Which ballot you get"
29,"Municipal School Board District","Which ballot you get"
30,"Water Board District","Which ballot you get"
31,"Super Council District","Which ballot you get"
32,"Super Commissioner District","Which ballot you get"
33,"Super School Board District","Which ballot you get"
34,"Fire District","Which ballot you get"
35,"Municipality","Which ballot you get"
36,"Combo","Which ballot you get"
37,"Land Lot","Which ballot you get"
38,"Land District","Which ballot you get"
39,"Registration Date","When things happened"
40,"Race","Demographics"
41,"Gender","Demographics"
42,"Last Modified Date","When things happened"
43,"Date of Last Contact","When things happened"
44,"Last Party Voted","When things happened"
45,"Last Vote Date","When things happened"
46,"Voter Created Date","When things happened"
47,"Mailing Street Number","Where to mail you things"
48,"Mailing Street Name","Where to mail you things"
49,"Mailing Apt Unit Number","Where to mail you things"
50,"Mailing City","Where to mail you things"
51,"Mailing Zipcode","Where to mail you things"
52,"Mailing State","Where to mail you things"
53,"Mailing Country","Where to mail you things"
