"county","part","x","y"
"APPLING","1_1_1",119.96,-102.09
"APPLING","1_1_1",118.83,-126.08
"APPLING","1_1_1",120.25,-126.04
"APPLING","1_1_1",120.38,-135.61
"APPLING","1_1_1",118.95,-135.83
"APPLING","1_1_1",112.12,-130.44
"APPLING","1_1_1",109.9,-126.27
"APPLING","1_1_1",89.97,-114.83
"APPLING","1_1_1",85.66,-109.41
"APPLING","1_1_1",83.24,-109.41
"APPLING","1_1_1",83.3,-106.59
"APPLING","1_1_1",80.44,-106.6
"APPLING","1_1_1",80.43,-105.18
"APPLING","1_1_1",83.33,-105.15
"APPLING","1_1_1",83.24,-95.25
"APPLING","1_1_1",91.65,-95.22
"APPLING","1_1_1",91.5,-81
"APPLING","1_1_1",102.6,-84.82
"APPLING","1_1_1",102.63,-83.01
"APPLING","1_1_1",103.86,-84.54
"APPLING","1_1_1",105.24,-83.5
"APPLING","1_1_1",114.27,-88.06
"APPLING","1_1_1",119.66,-87.16
"APPLING","1_1_1",121.08,-89.59
"APPLING","1_1_1",121.87,-88.07
"APPLING","1_1_1",121.5,-92.15
"APPLING","1_1_1",127.87,-96.04
"APPLING","1_1_1",125.18,-95.85
"APPLING","1_1_1",124.25,-99.14
"APPLING","1_1_1",122.43,-99.13
"APPLING","1_1_1",124.08,-102.1
"APPLING","1_1_1",119.96,-102.09
"ATKINSON","2_1_1",55.39,-148.01
"ATKINSON","2_1_1",73.33,-147.96
"ATKINSON","2_1_1",73.34,-157.85
"ATKINSON","2_1_1",70.08,-156.4
"ATKINSON","2_1_1",66.71,-157.53
"ATKINSON","2_1_1",66.58,-163.61
"ATKINSON","2_1_1",69.4,-167.97
"ATKINSON","2_1_1",33.65,-168.16
"ATKINSON","2_1_1",34.89,-158.02
"ATKINSON","2_1_1",24.67,-141.93
"ATKINSON","2_1_1",52.85,-143.72
"ATKINSON","2_1_1",55.39,-148.01
"BACON","3_1_1",110.13,-126.46
"BACON","3_1_1",89.97,-114.83
"BACON","3_1_1",85.66,-109.41
"BACON","3_1_1",83.24,-109.41
"BACON","3_1_1",83.28,-113.65
"BACON","3_1_1",73.24,-113.71
"BACON","3_1_1",73.24,-126.4
"BACON","3_1_1",76.28,-126.42
"BACON","3_1_1",76.23,-136.25
"BACON","3_1_1",86,-136.24
"BACON","3_1_1",87.31,-141.9
"BACON","3_1_1",100.28,-140.39
"BACON","3_1_1",104.44,-136.17
"BACON","3_1_1",104.43,-133.35
"BACON","3_1_1",107.35,-133.38
"BACON","3_1_1",110.25,-130.58
"BACON","3_1_1",110.13,-126.46
"BAKER","4_1_1",-89.2,-154.89
"BAKER","4_1_1",-96.51,-167.23
"BAKER","4_1_1",-97.2,-166.2
"BAKER","4_1_1",-103.2,-170.69
"BAKER","4_1_1",-105.54,-174.33
"BAKER","4_1_1",-105.71,-179.34
"BAKER","4_1_1",-109.01,-179.24
"BAKER","4_1_1",-108.27,-159.63
"BAKER","4_1_1",-118.22,-159.18
"BAKER","4_1_1",-117.61,-139.78
"BAKER","4_1_1",-103.67,-140.6
"BAKER","4_1_1",-100.62,-137.65
"BAKER","4_1_1",-98.44,-138.61
"BAKER","4_1_1",-99.6,-139.67
"BAKER","4_1_1",-70.43,-139.52
"BAKER","4_1_1",-71.6,-142.45
"BAKER","4_1_1",-75.64,-144.87
"BAKER","4_1_1",-76.15,-148.87
"BAKER","4_1_1",-82.57,-150.38
"BAKER","4_1_1",-89.2,-154.89
"BALDWIN","5_1_1",18.11,31.48
"BALDWIN","5_1_1",11.58,26.87
"BALDWIN","5_1_1",10.49,27.95
"BALDWIN","5_1_1",3.96,25.09
"BALDWIN","5_1_1",-2.71,53.86
"BALDWIN","5_1_1",6.47,51.88
"BALDWIN","5_1_1",7.62,53.66
"BALDWIN","5_1_1",12.79,54.28
"BALDWIN","5_1_1",28.2,50.14
"BALDWIN","5_1_1",26.24,42.98
"BALDWIN","5_1_1",27.74,39.03
"BALDWIN","5_1_1",32.46,42.29
"BALDWIN","5_1_1",33.2,40.45
"BALDWIN","5_1_1",31.03,36.37
"BALDWIN","5_1_1",32.8,31.83
"BALDWIN","5_1_1",30.78,27.47
"BALDWIN","5_1_1",23.9,34.29
"BALDWIN","5_1_1",20.6,31.91
"BALDWIN","5_1_1",22.21,29.94
"BALDWIN","5_1_1",18.11,31.48
"BANKS","6_1_1",-7.85,172.83
"BANKS","6_1_1",-15.96,172.95
"BANKS","6_1_1",-22.93,179.82
"BANKS","6_1_1",-24.78,184.84
"BANKS","6_1_1",-22.34,190.12
"BANKS","6_1_1",-12.63,198.8
"BANKS","6_1_1",0.3,195.35
"BANKS","6_1_1",1.87,189.81
"BANKS","6_1_1",0.56,180.28
"BANKS","6_1_1",5.72,173.23
"BANKS","6_1_1",3.23,167.7
"BANKS","6_1_1",-0.22,166.16
"BANKS","6_1_1",-7.85,172.83
"BARROW","7_1_1",-25.54,135.14
"BARROW","7_1_1",-33.48,132.68
"BARROW","7_1_1",-43.33,144.82
"BARROW","7_1_1",-38.52,158.47
"BARROW","7_1_1",-33.64,151.51
"BARROW","7_1_1",-30.79,151.76
"BARROW","7_1_1",-28.54,149.29
"BARROW","7_1_1",-27.19,150.52
"BARROW","7_1_1",-16.08,148.64
"BARROW","7_1_1",-13.95,144.6
"BARROW","7_1_1",-12.69,140.47
"BARROW","7_1_1",-22.84,133.86
"BARROW","7_1_1",-25.54,135.14
"BARTOW","8_1_1",-116.21,153.61
"BARTOW","8_1_1",-151.98,154.61
"BARTOW","8_1_1",-151.54,169.11
"BARTOW","8_1_1",-149.62,169.06
"BARTOW","8_1_1",-148.8,173.23
"BARTOW","8_1_1",-149.33,183.89
"BARTOW","8_1_1",-147.68,183.86
"BARTOW","8_1_1",-147.66,188.9
"BARTOW","8_1_1",-122.67,189
"BARTOW","8_1_1",-122.63,190.82
"BARTOW","8_1_1",-115.22,190.69
"BARTOW","8_1_1",-116.21,153.61
"BEN HILL","9_1_1",38.27,-101.89
"BEN HILL","9_1_1",35.22,-102.2
"BEN HILL","9_1_1",27.79,-97.69
"BEN HILL","9_1_1",25.6,-98.7
"BEN HILL","9_1_1",20.54,-94.07
"BEN HILL","9_1_1",-7.99,-95.79
"BEN HILL","9_1_1",-5.08,-104.53
"BEN HILL","9_1_1",5.71,-103.23
"BEN HILL","9_1_1",7.05,-113.1
"BEN HILL","9_1_1",12.73,-113.17
"BEN HILL","9_1_1",12.67,-116.02
"BEN HILL","9_1_1",21.12,-116.28
"BEN HILL","9_1_1",21.18,-113.31
"BEN HILL","9_1_1",38.07,-113.85
"BEN HILL","9_1_1",38.27,-101.89
"BERRIEN","10_1_1",22.39,-172.76
"BERRIEN","10_1_1",22.21,-181.65
"BERRIEN","10_1_1",19.29,-181.67
"BERRIEN","10_1_1",19.29,-185.75
"BERRIEN","10_1_1",10.02,-185.56
"BERRIEN","10_1_1",11.48,-181.52
"BERRIEN","10_1_1",7.45,-177.75
"BERRIEN","10_1_1",9.1,-171.24
"BERRIEN","10_1_1",6.25,-167.32
"BERRIEN","10_1_1",6.24,-161.74
"BERRIEN","10_1_1",1.28,-159.88
"BERRIEN","10_1_1",-3.69,-153.5
"BERRIEN","10_1_1",-2.84,-148.23
"BERRIEN","10_1_1",2.77,-144.1
"BERRIEN","10_1_1",2.9,-137.01
"BERRIEN","10_1_1",24.17,-136.18
"BERRIEN","10_1_1",24.65,-143.98
"BERRIEN","10_1_1",32.39,-151.95
"BERRIEN","10_1_1",34.89,-158.02
"BERRIEN","10_1_1",33.13,-163.53
"BERRIEN","10_1_1",34.66,-171.78
"BERRIEN","10_1_1",22.39,-172.76
"BIBB","11_1_1",-18.55,-3.95
"BIBB","11_1_1",-38.43,3.36
"BIBB","11_1_1",-46.05,13.37
"BIBB","11_1_1",-46.03,16.57
"BIBB","11_1_1",-31.22,28.05
"BIBB","11_1_1",-28.52,27.81
"BIBB","11_1_1",-27.66,24.07
"BIBB","11_1_1",-24.18,20.87
"BIBB","11_1_1",-18.53,20.86
"BIBB","11_1_1",-16.71,18.34
"BIBB","11_1_1",-15.44,19.67
"BIBB","11_1_1",-8.37,13.77
"BIBB","11_1_1",-16.74,4.24
"BIBB","11_1_1",-18.96,4.6
"BIBB","11_1_1",-18.55,-3.95
"BLECKLEY","12_1_1",5.32,-47.15
"BLECKLEY","12_1_1",10.92,-41.68
"BLECKLEY","12_1_1",8.96,-39.72
"BLECKLEY","12_1_1",21.31,-27.44
