"date","city","county","state","postal","lat","long","fips","candidate","event_type","notes"
2024-03-13,"Milwaukee","Milwaukee","Wisconsin","WI",43.0642,-87.9673,"55079","Biden","Campaign","Roadway infrastructre improvements event"
2024-03-14,"Saginaw","Saginaw","Michigan","MI",43.4199,-83.9501,"26145","Biden","Campaign","Meet with campaign workers and supporters"
2024-03-16,"Vandalia","Montgomery","Ohio","OH",39.8791,-84.193,"39113","Trump","Support other candidate","Rally for U.S. Senate candidate Bernie Moreno"
2024-03-19,"Phoenix","Maricopa","Arizona","AZ",33.5722,-112.0891,"04013","Biden","Campaign","Campaign event"
2024-03-19,"Reno","Washoe","Nevada","NV",39.5497,-119.8483,"32031","Biden","Campaign","Campaign event"
2024-03-19,"Las Vegas","Clark","Nevada","NV",36.2333,-115.2654,"32003","Biden","Campaign","Remarks on lowering costs for families"
2024-03-20,"Chandler","Maricopa","Arizona","AZ",33.2827,-111.8517,"04013","Biden","Campaign","Tour Intel Ocotillo Campus; announces a preliminary agreement with Intel for a major CHIPS and Science Act award"
2024-03-26,"Raleigh","Wake","North Carolina","NC",35.8324,-78.6438,"37183","Biden","Campaign","Remarks at Chavis Community Center, Raleigh, about the Affordable Care Act; fundraiser afterward"
2024-04-02,"Grand Rapids","Kent","Michigan","MI",42.9615,-85.6557,"26081","Trump","Campaign","Speech on immigration "
2024-04-02,"Green Bay","Brown","Wisconsin","WI",44.515,-87.9896,"55009","Trump","Campaign","Rally at Hyatt Regency Green Bay"
2024-04-08,"Madison","Dane","Wisconsin","WI",43.0827,-89.3923,"55025","Biden","Campaign","Remarks at Madison Area Technical College on lowering student loan costs for Americans "
2024-04-12,"Palm Beach","Palm Beach","Florida","FL",26.6773877,-80.0389592,"12099","Trump","Campaign","Meeting and news confertence with House Speaker Mike Johnson on election integrity"
2024-04-13,"Schnecksville","Lehigh","Pennsylvania","PA",40.6763913,-75.6309196,"42077","Trump","Campaign","Rally at Schnecksville Fire Company fairgrounds"
2024-04-16,"New York","New York","New York","NY",40.6943,-73.9249,"36061","Trump","Campaign","Visit to Harlem bodega after jury selection adjourned for the day"
