"source","target","amount","against","mostly_against"
"C00495028","H0CA25105",8778808.39,8778808.39,TRUE
"C00835959","H0CA25105",1012931.01,0,FALSE
"C00000935","H0CA48198",3004601.36,3004601.36,TRUE
"C00495028","H0CA48198",7254954.48,7254954.48,TRUE
"C00835959","H0CA48198",2791716,0,FALSE
"C00495028","H0MI08141",5360220.03,5360220.03,TRUE
"C00495028","H0NJ07261",2933918.4,2933918.4,TRUE
"C00799031","H0NY16143",9865492.96,9865492.96,TRUE
"C00835959","H0NY16143",2078023,2078023,TRUE
"C00495028","H0NY17174",1293047.43,0,FALSE
"C00495028","H0TX15124",1683249.06,1683249.06,TRUE
"C00495028","H0WI03175",3625486.2,3625486.2,TRUE
"C00000935","H2AK01083",1521326.1,1521326.1,TRUE
"C00075820","H2AK01158",2039789.04,2039789.04,TRUE
"C00835959","H2AK01158",1927706,0,FALSE
"C00000935","H2AZ02360",3492386.15,3492386.15,TRUE
"C00486845","H2AZ02360",1331374.47,1331374.47,TRUE
"C00495028","H2AZ02360",4135330.16,4135330.16,TRUE
"C00835959","H2AZ02360",1625297,0,FALSE
"C00075820","H2CA13115",3806420.34,3806420.34,TRUE
"C00000935","H2CA13131",6942901.57,6942901.57,TRUE
"C00495028","H2CA13131",8574544.47,8574544.47,TRUE
"C00000935","H2CA20094",2479779.86,2479779.86,TRUE
"C00495028","H2CA20094",5868763.14,5868763.14,TRUE
"C00835959","H2CA20094",1306862.6,0,FALSE
"C00000935","H2CA21233",1337017.69,0,FALSE
"C00075820","H2CA21233",1278354.44,1278354.44,TRUE
"C00495028","H2CA21233",1492468.97,0,FALSE
"C00495028","H2CA37023",6628481.88,6628481.88,TRUE
"C00495028","H2CA47196",8594535.04,8594535.04,TRUE
"C00075820","H2CO08020",2983043.84,2983043.84,TRUE
"C00835959","H2CO08020",2270929,0,FALSE
"C00000935","H2IA03119",2880729.76,2880729.76,TRUE
"C00495028","H2IA03119",2076712.49,2076712.49,TRUE
"C00000935","H2MI07123",4439035.69,4439035.69,TRUE
"C00495028","H2MI07123",10011872.47,10011872.47,TRUE
"C00495028","H2MI10150",7780358.01,7780358.01,TRUE
"C00848440","H2MI13204",1010142,0,FALSE
"C00075820","H2NC02287",1446276.66,1446276.66,TRUE
"C00835959","H2NC02287",2280605.88,0,FALSE
"C00075820","H2NE02132",1824169.89,1824169.89,TRUE
"C00075820","H2NM02191",2509145.81,2509145.81,TRUE
"C00835959","H2NV04011",1836196,0,FALSE
"C00000935","H2NY04277",4830885.25,4830885.25,TRUE
"C00495028","H2NY04277",8350541.39,8350541.39,TRUE
"C00000935","H2NY17162",1827709.23,1827709.23,TRUE
"C00495028","H2NY17162",4939720.66,4939720.66,TRUE
"C00000935","H2NY19127",3847018.37,3847018.37,TRUE
"C00495028","H2NY19127",6937720.05,6937720.05,TRUE
"C00000935","H2NY22212",1326362.23,1326362.23,TRUE
"C00495028","H2NY22212",3358243.85,3358243.85,TRUE
"C00075820","H2OH09031",2033272.86,2033272.86,TRUE
"C00075820","H2OH13264",1516476.05,1516476.05,TRUE
"C00000935","H2OR05209",4518836.7,4518836.7,TRUE
"C00495028","H2OR05209",4217600.11,4217600.11,TRUE
"C00835959","H2OR05209",1514369.6,0,FALSE
"C00000935","H2PA04135",2287971.92,2287971.92,TRUE
"C00495028","H2PA04135",2962575.26,2962575.26,TRUE
"C00075820","H2PA17079",1482866.2,1482866.2,TRUE
"C00495028","H2TX34113",2184674.67,2184674.67,TRUE
"C00495028","H2VA02064",3824802.92,3824802.92,TRUE
"C00486845","H2VA07170",1045928.34,1045928.34,TRUE
"C00495028","H2VA07170",4689897.78,4689897.78,TRUE
"C00000935","H2WA03100",5654739,5654739,TRUE
"C00495028","H2WA03100",6575508.77,6575508.77,TRUE
"C00075820","H2WA03217",5856991.56,5856991.56,TRUE
"C00848440","H4AL02170",2392395.76,0,FALSE
"C00075820","H4AZ01194",1024084.38,1024084.38,TRUE
"C00495028","H4AZ01194",1664717.98,0,FALSE
"C00848440","H4AZ03109",1367647,0,FALSE
"C00000935","H4AZ06045",5324662.5,5324662.5,TRUE
"C00495028","H4AZ06045",7231847.18,7231847.18,TRUE
"C00075820","H4CA27111",2285224.99,2285224.99,TRUE
"C00486845","H4CA27111",1386055.72,0,FALSE
"C00495028","H4CA27111",3014460.19,0,FALSE
"C00495028","H4CA45170",2637414.64,0,FALSE
"C00486845","H4CA47085",1409942.5,0,FALSE
"C00495028","H4CA47085",1396043.91,0,FALSE
"C00799031","H4CA47085",4615288.76,4615288.76,TRUE
"C00844613","H4CA47085",1213523.59,1213523.59,TRUE
"C00495028","H4CA49149",1836435.83,1836435.83,TRUE
"C00687103","H4CO03357",1109282.12,0,FALSE
"C00000935","H4CO08034",2570408.03,2570408.03,TRUE
"C00495028","H4CO08034",6728268.37,6728268.37,TRUE
"C00687103","H4CO08034",1228668.8,0,FALSE
"C00836221","H4GA03126",1308411.86,0,FALSE
"C00799031","H4IN08264",1567918.74,1567918.74,TRUE
"C00799031","H4MD03156",4218074.08,0,FALSE
"C00000935","H4ME02291",3287893.74,3287893.74,TRUE
"C00495028","H4ME02291",10943689.37,10943689.37,TRUE
"C00075820","H4MI07210",2380911.62,2380911.62,TRUE
"C00075820","H4MI08218",1117574.33,1117574.33,TRUE
"C00799031","H4MO01134",3356279.25,0,FALSE
"C00495028","H4MT01041",4879150.25,4879150.25,TRUE
"C00000935","H4NC01137",4873362.62,4873362.62,TRUE
"C00495028","H4NC01137",9227586.86,9227586.86,TRUE
"C00000935","H4NY03283",4403217.64,4403217.64,TRUE
"C00495028","H4NY03283",6085483.24,6085483.24,TRUE
"C00075820","H4NY04158",2008847.29,2008847.29,TRUE
"C00486845","H4NY04158",1045379.59,0,FALSE
"C00799031","H4NY16087",4766886.13,84325.84,FALSE
"C00495028","H4NY18117",1205836.12,1205836.12,TRUE
"C00075820","H4NY22085",1380747.6,1380747.6,TRUE
"C00000935","H4OH09169",4079170.35,4079170.35,TRUE
"C00495028","H4OH09169",3562539.85,3562539.85,TRUE
"C00000935","H4OH13153",4125011.04,4125011.04,TRUE
"C00486845","H4OH13153",1154287.74,1154287.74,TRUE
"C00495028","H4OH13153",3964423.72,3964423.72,TRUE
"C00000935","H4OR05304",2247044.8,0,FALSE
"C00075820","H4OR05304",1957504.64,1957504.64,TRUE
"C00000935","H4PA08124",4177347.17,4177347.17,TRUE
"C00495028","H4PA08124",8550983.47,8550983.47,TRUE
"C00844613","H4PA10104",2741104.59,2741104.59,TRUE
"C00844613","H4SC01339",1145398.35,1145398.35,TRUE
"C00799031","H4TX23120",2060409.76,2060409.76,TRUE
"C00848440","H4WA06117",1491153,0,FALSE
"C00000935","H6NE02125",3180663.57,3180663.57,TRUE
"C00495028","H6NE02125",3180822.75,3180822.75,TRUE
"C00495028","H6NY03247",1194206.37,0,FALSE
"C00075820","H6TX15162",1345604.16,1345604.16,TRUE
"C00075820","H8CA10126",1377746.02,1377746.02,TRUE
"C00799031","H8CA34266",1723990.15,0,FALSE
"C00835959","H8CA39240",1924213,0,FALSE
"C00000935","H8IA02043",3308795,3308795,TRUE
"C00495028","H8IA02043",5063320.38,5063320.38,TRUE
"C00075820","H8ME02185",2368421.01,2368421.01,TRUE
"C00571588","H8ME02185",3126919.28,3126919.28,TRUE
"C00799031","H8MO01143",5242260.11,5242260.11,TRUE
"C00835959","H8MO01143",1406523,1406523,TRUE
"C00000935","H8NM02156",5068900.88,5068900.88,TRUE
"C00495028","H8NM02156",3226152.58,3226152.58,TRUE
"C00835959","H8NY19223",1987660,0,FALSE
"C00075820","H8NY22177",1845948.12,1845948.12,TRUE
"C00495028","H8NY22177",1029547.41,0,FALSE
"C00000935","H8PA15195",1367625.74,1367625.74,TRUE
"C00495028","H8PA15195",9348813.1,9348813.1,TRUE
"C00075820","H8PA15229",1271585.1,1271585.1,TRUE
"C00836221","H8SC04250",1859957.22,0,FALSE
"C00848440","H8VA10080",3954591.08,0,FALSE
"C00473918","P00009423",8266444.27,0,FALSE
"C00486845","P00009423",11951931.76,0,FALSE
"C00571588","P00009423",34177671.05,34177671.05,TRUE
"C00609388","P00009423",19206123.81,0,FALSE
"C00669259","P00009423",503721206.28,0,FALSE
"C00752691","P00009423",23023638.01,0,FALSE
"C00867036","P00009423",51119938.98,51119938.98,TRUE
"C00878801","P00009423",112266879.52,112266879.52,TRUE
"C00881987","P00009423",23154436.91,23154436.91,TRUE
"C00687103","P40010977",35166241.34,0,FALSE
"C00825851","P40010977",9898082.02,9898082.02,TRUE
"C00828061","P40010977",64242491.44,121875,FALSE
"C00825851","P40011991",9188675.42,9188675.42,TRUE
"C00825851","P40013039",3096690.84,3096690.84,TRUE
"C00828061","P40013039",28676900.77,28476210.77,TRUE
"C00609388","P80000722",1307677,0,FALSE
"C00825851","P80000722",286056159.4,286056159.4,TRUE
"C00473918","P80001571",5769949.65,5769949.65,TRUE
"C00486845","P80001571",1279794.19,1279794.19,TRUE
"C00492140","P80001571",86042846.48,86042846.48,TRUE
"C00825851","P80001571",57719741.67,0,FALSE
"C00828061","P80001571",6664240.78,6664240.78,TRUE
"C00844613","P80001571",11095441.97,10333203.12,TRUE
"C00867036","P80001571",18463294.18,0,FALSE
"C00687103","P80005816",8412381.71,8412381.71,TRUE
"C00687103","P80006665",9023940.42,9023940.42,TRUE
"C00473918","S2NV00308",1314460.31,1314460.31,TRUE
"C00571703","S2NV00308",3012401.95,0,FALSE
"C00865444","S2NV00308",42402876.33,42402876.33,TRUE
"C00042366","S2PA00661",10518407.69,10518407.69,TRUE
"C00486845","S2PA00661",2002392.85,2002392.85,TRUE
"C00687103","S2PA00661",13389229.71,0,FALSE
"C00849489","S2PA00661",13061838.14,0,FALSE
"C00865444","S2PA00661",62628294.86,62628294.86,TRUE
"C00796045","S2TX00312",3864738.34,0,FALSE
"C00865444","S2TX00312",1373567.89,1373567.89,TRUE
"C00486845","S2WI00219",1878845.21,0,FALSE
"C00571588","S2WI00219",4554676,4554676,TRUE
"C00571703","S2WI00219",22329701.41,22329701.41,TRUE
"C00687103","S2WI00219",5856827.4,5856827.4,TRUE
"C00752691","S2WI00219",1545786.63,0,FALSE
"C00687103","S2WI00268",2975882.54,0,FALSE
"C00865444","S2WI00268",7482202,7482202,TRUE
"C00486845","S4AZ00139",2843391.83,0,FALSE
"C00844613","S4AZ00139",15483630.06,15483630.06,TRUE
"C00848440","S4AZ00139",10039655,0,FALSE
"C00865444","S4AZ00139",1796753.3,0,FALSE
"C00042366","S4AZ00220",5076402.46,5076402.46,TRUE
"C00865444","S4AZ00220",24491197.32,24491197.32,TRUE
"C00835959","S4CA00522",10044813.01,10044813.01,TRUE
"C00836221","S4IN00196",3009467.09,0,FALSE
"C00473918","S4MD00319",2548917.88,2548917.88,TRUE
"C00609388","S4MD00327",1250713.43,0,FALSE
"C00870030","S4MD00327",31206739.39,31206739.39,TRUE
"C00473918","S4MD00483",5421422.16,5421422.16,TRUE
"C00865444","S4MD00483",10110236.78,10110236.78,TRUE
"C00486845","S4MI00470",1753323.99,0,FALSE
"C00571703","S4MI00470",32331391.3,32331391.3,TRUE
"C00609388","S4MI00470",2446750,0,FALSE
"C00687103","S4MI00470",5300557.65,5300557.65,TRUE
"C00848440","S4MI00470",10046680,0,FALSE
"C00865444","S4MI00470",1898853.44,0,FALSE
"C00042366","S4MI00595",12332946.93,12332946.93,TRUE
"C00687103","S4MI00595",6274756.25,0,FALSE
"C00865444","S4MI00595",21326569.23,21326569.23,TRUE
"C00042366","S4MT00183",5551996.26,5551996.26,TRUE
"C00687103","S4MT00183",6234725.89,0,FALSE
"C00693838","S4MT00183",6776353.86,0,FALSE
"C00849729","S4MT00183",32027579.78,32027579.78,TRUE
"C00865444","S4MT00183",23414081.77,23414081.77,TRUE
"C00571703","S4NE00207",3187411,3187411,TRUE
"C00687103","S4NV00288",4668918.93,0,FALSE
"C00571703","S4OH00192",6938926.82,0,FALSE
"C00687103","S4OH00192",13345300.42,0,FALSE
"C00836221","S4OH00192",40134929.71,0,FALSE
"C00865444","S4OH00192",72265921.99,72265921.99,TRUE
"C00796045","S4TX00722",21952920.49,21952920.49,TRUE
"C00844613","S4TX00722",13881512.48,13881512.48,TRUE
"C00865444","S4TX00722",10089453.94,0,FALSE
"C00836221","S4UT00217",1531014.96,1531014.96,TRUE
"C00836221","S4UT00282",3453895.23,0,FALSE
"C00042366","S4WI00256",10275099.97,10275099.97,TRUE
"C00473918","S4WI00256",2756077.63,2756077.63,TRUE
"C00687103","S4WI00256",5183159.1,0,FALSE
"C00865444","S4WI00256",24765537.52,24765537.52,TRUE
"C00836221","S4WV00332",3025543.7,0,FALSE
"C00487363","S6MT00162",20128385.28,20128385.28,TRUE
"C00571703","S6MT00162",23065091.98,23065091.98,TRUE
"C00687103","S6MT00162",3388100.45,3388100.45,TRUE
"C00693838","S6MT00162",15949221.87,15949221.87,TRUE
"C00849729","S6MT00162",1788675.44,0,FALSE
"C00486845","S6OH00163",1925008.5,0,FALSE
"C00487363","S6OH00163",31078052.01,31078052.01,TRUE
"C00571703","S6OH00163",63683899.22,63683899.22,TRUE
"C00609388","S6OH00163",2527126.89,0,FALSE
"C00687103","S6OH00163",7732111.91,7732111.91,TRUE
