"state","chamber","member","party","x","instagram","bluesky"
"AK","Senate","Murkowski, Lisa","R","337.4K","33,425","—"
"AK","Senate","Sullivan, Dan","R","76K","18,950","—"
"AK","House","Begich, Nicholas","R","10.1K","1,315","—"
"AL","Senate","Britt, Katie","R","133.2K","108,404","—"
"AL","Senate","Tuberville, Tommy","R","166.7K","38,229","—"
"AL","House","Aderholt, Robert","R","40.2K","no handle","—"
"AL","House","Figures, Shomari","D","1,766","6,808","—"
"AL","House","Moore, Barry","R","25.9K","no handle","—"
"AL","House","Palmer, Gary","R","30.6K","4,842","—"
"AL","House","Rogers, Mike","R","55.1K","5,879","—"
"AL","House","Sewell, Terri","D","53.6K","43,867","1,993"
"AL","House","Strong, Dale","R","9,941","5,277","—"
"AR","Senate","Boozman, John","R","116.3K","17,298","—"
"AR","Senate","Cotton, Tom","R","821.9K","no handle","—"
"AR","House","Crawford, Eric","R","34.2K","3,817","—"
"AR","House","Hill, J.","R","38.6K","9,250","—"
"AR","House","Westerman, Bruce","R","17.9K","no handle","—"
"AR","House","Womack, Steve","R","34.8K","9,502","—"
"AS","House","Radewagen, Aumua Amata","R","4,706","no handle","—"
"AZ","Senate","Gallego, Ruben","D","handle wrong","handle wrong","32,993"
"AZ","Senate","Kelly, Mark","D","286.4K","553,777","—"
"AZ","House","Ansari, Yassamin","D","67.3K","188,266","—"
"AZ","House","Biggs, Andy","R","1.1M","24,562","—"
"AZ","House","Ciscomani, Juan","R","12.7K","4,902","—"
"AZ","House","Crane, Eli","R","162.8K","no handle","—"
"AZ","House","Gosar, Paul","R","386.8K","18,414","—"
"AZ","House","Grijalva, Adelita","D","no handle","no handle","—"
"AZ","House","Hamadeh, Abraham","R","no handle","no handle","—"
"AZ","House","Schweikert, David","R","39.9K","8,914","—"
"AZ","House","Stanton, Greg","D","23.4K","13,135","—"
"CA","Senate","Padilla, Alejandro","D","117.2K","228,614","83,374"
"CA","Senate","Schiff, Adam","D","3.3M","611,892","234,655"
"CA","House","Aguilar, Pete","D","45.3K","no handle","22,136"
"CA","House","Barragán, Nanette","D","30.2K","13,640","—"
"CA","House","Bera, Ami","D","47.6K","8,440","16,286"
"CA","House","Brownley, Julia","D","21K","4,828","37,106"
"CA","House","Calvert, Ken","R","28.5K","4,792","—"
"CA","House","Carbajal, Salud","D","19K","17,398","21,927"
"CA","House","Chu, Judy","D","77.5K","21,087","14,020"
"CA","House","Cisneros, Gilbert","D","no handle","8,068","5,706"
"CA","House","Correa, J.","D","23.4K","28,187","—"
"CA","House","Costa, Jim","D","29.6K","no handle","—"
"CA","House","DeSaulnier, Mark","D","22.5K","5,701","—"
"CA","House","Fong, Vince","R","3,190","3,363","—"
"CA","House","Friedman, Laura","D","2,362","9,207","3,066"
"CA","House","Gallagher, James","R","no handle","no handle","—"
"CA","House","Garamendi, John","D","34.6K","26,131","—"
"CA","House","Garcia, Robert","D","77K","133,522","12,483"
"CA","House","Gomez, Jimmy","D","59.5K","192,600","24,305"
"CA","House","Gray, Adam","D","1,239","1,844","—"
"CA","House","Harder, Josh","D","20.4K","no handle","—"
"CA","House","Huffman, Jared","D","50.2K","74,576","—"
"CA","House","Issa, Darrell","R","240.5K","no handle","—"
"CA","House","Jacobs, Sara","D","68.4K","223,440","53,502"
"CA","House","Kamlager-Dove, Sydney","D","17.6K","143,920","36,470"
"CA","House","Khanna, Ro","D","175.4K","187,624","35,500"
"CA","House","Kiley, Kevin","I","36.7K","no handle","—"
"CA","House","Kim, Young","R","59.7K","29,730","—"
"CA","House","Levin, Mike","D","38K","55,236","37,453"
"CA","House","Liccardo, Sam","D","3,154","5,614","4,228"
"CA","House","Lieu, Ted","D","183.5K","535,201","—"
"CA","House","Lofgren, Zoe","D","89.2K","no handle","2,358"
"CA","House","Matsui, Doris","D","41.5K","6,479","—"
"CA","House","McClintock, Tom","R","32.4K","19,702","—"
"CA","House","Min, Dave","D","no handle","no handle","—"
"CA","House","Mullin, Kevin","D","6,872","8,902","22,295"
"CA","House","Obernolte, Jay","R","11.4K","no handle","—"
"CA","House","Panetta, Jimmy","D","24K","25,273","—"
"CA","House","Pelosi, Nancy","D","8.1M","no handle","17,638"
"CA","House","Peters, Scott","D","30K","8,188","—"
"CA","House","Rivas, Luz","D","2,048","25,542","—"
"CA","House","Ruiz, Raul","D","29.7K","no handle","—"
"CA","House","Sánchez, Linda","D","46K","13,541","—"
"CA","House","Sherman, Brad","D","149.9K","57,814","—"
"CA","House","Simon, Lateefah","D","3,009","106,904","—"
"CA","House","Takano, Mark","D","52.8K","26,617","—"
"CA","House","Thompson, Mike","D","43.2K","no handle","4,951"
"CA","House","Torres, Norma","D","80.8K","33,403","—"
"CA","House","Tran, Derek","D","no handle","no handle","—"
"CA","House","Valadao, David","R","24.8K","no handle","—"
"CA","House","Vargas, Juan","D","27K","8,778","11,885"
"CA","House","Waters, Maxine","D","1.4M","483,404","—"
"CA","House","Whitesides, George","D","1,533","8,053","—"
"CO","Senate","Bennet, Michael","D","276.1K","handle wrong","37,921"
"CO","Senate","Hickenlooper, John","D","45.5K","22,521","2,940"
"CO","House","Boebert, Lauren","R","1.4M","no handle","—"
"CO","House","Crank, Jeff","R","4,180","1,847","—"
"CO","House","Crow, Jason","D","176.9K","no handle","42,501"
"CO","House","DeGette, Diana","D","63.2K","no handle","18,447"
"CO","House","Evans, Gabe","R","10.7K","2,343","—"
"CO","House","Hurd, Jeff","R","3,812","2,925","—"
"CO","House","Neguse, Joe","D","206K","no handle","31,779"
"CO","House","Pettersen, Brittany","D","28.5K","33,608","8,045"
"CT","Senate","Blumenthal, Richard","D","654.6K","149,516","24,489"
"CT","Senate","Murphy, Christopher","D","4,045","706,522","—"
"CT","House","Courtney, Joe","D","27.6K","8,318","—"
"CT","House","DeLauro, Rosa","D","64.1K","no handle","39,171"
"CT","House","Hayes, Jahana","D","41.3K","53,434","—"
"CT","House","Himes, James","D","99.4K","76,516","—"
"CT","House","Larson, John","D","41.3K","55,474","—"
"DC","House","Norton, Eleanor","D","63.7K","15,990","—"
"DE","Senate","Blunt Rochester, Lisa","D","35.9K","38,769","14,052"
"DE","Senate","Coons, Christopher","D","214.2K","53,464","9,029"
"DE","House","McBride, Sarah","D","no handle","142,826","30,560"
"FL","Senate","Moody, Ashley","R","no handle","no handle","—"
"FL","Senate","Scott, Rick","R","739.9K","156,098","—"
"FL","House","Bean, Aaron","R","8,882","2,956","—"
"FL","House","Bilirakis, Gus","R","40.6K","5,032","—"
"FL","House","Buchanan, Vern","R","36.3K","7,743","—"
"FL","House","Cammack, Katherine","R","127.4K","56,395","—"
"FL","House","Castor, Kathy","D","27.5K","15,555","—"
"FL","House","Diaz-Balart, Mario","R","112.3K","71,672","—"
"FL","House","Donalds, Byron","R","538.5K","545,134","—"
"FL","House","Dunn, Neal","R","18.8K","no handle","—"
"FL","House","Fine, Randall","R","no handle","no handle","—"
"FL","House","Frankel, Lois","D","31.9K","9,584","30,451"
"FL","House","Franklin, C.","R","14K","23,694","—"
"FL","House","Frost, Maxwell","D","68.3K","179,351","24,628"
"FL","House","Gimenez, Carlos","R","175.4K","106,796","—"
"FL","House","Haridopolos, Mike","R","6,205","no handle","—"
"FL","House","Lee, Laurel","R","14.2K","14,451","—"
"FL","House","Luna, Anna","R","620.8K","359,967","—"
"FL","House","Mast, Brian","R","149.6K","94,110","—"
"FL","House","Mills, Cory","R","59.9K","45,184","—"
"FL","House","Moskowitz, Jared","D","66.1K","155,511","—"
"FL","House","Patronis, Jimmy","R","no handle","no handle","—"
"FL","House","Rutherford, John","R","21.6K","6,692","—"
"FL","House","Salazar, Maria","R","212.6K","560,800","—"
"FL","House","Soto, Darren","D","25.4K","16,580","—"
"FL","House","Steube, W.","R","134.9K","27,891","—"
"FL","House","Wasserman Schultz, Debbie","D","26K","handle wrong","23,693"
"FL","House","Webster, Daniel","R","32.1K","no handle","—"
"FL","House","Wilson, Frederica","D","67.6K","20,938","—"
"GA","Senate","Ossoff, Jon","D","70K","988,717","33,799"
"GA","Senate","Warnock, Raphael","D","183.7K","no handle","32,380"
"GA","House","Allen, Rick","R","29.7K","5,435","—"
"GA","House","Bishop, Sanford","D","25.5K","no handle","3,479"
"GA","House","Carter, Earl","R","47.4K","8,846","—"
"GA","House","Clyde, Andrew","R","52.1K","10,434","—"
"GA","House","Collins, Mike","R","132.3K","5,568","—"
"GA","House","Fuller, Clay","R","no handle","no handle","—"
"GA","House","Jack, Brian","R","9,424","2,082","—"
"GA","House","Johnson, Henry","D","53.4K","21,205","—"
"GA","House","Loudermilk, Barry","R","56.3K","6,674","—"
"GA","House","McBath, Lucy","D","49.5K","27,221","8,836"
"GA","House","McCormick, Rich","R","59.9K","33,481","—"
"GA","House","Scott, Austin","R","35.3K","no handle","—"
"GA","House","Williams, Nikema","D","24K","28,090","—"
"GU","House","Moylan, James (Jim)","R","handle wrong","3,806","—"
"HI","Senate","Hirono, Mazie","D","449.3K","40,630","15,519"
"HI","Senate","Schatz, Brian","D","57.3K","95,657","—"
"HI","House","Case, Ed","D","11.3K","5,485","—"
"HI","House","Tokuda, Jill","D","4,724","15,113","16,374"
"IA","Senate","Ernst, Joni","R","255.3K","33,275","—"
"IA","Senate","Grassley, Charles","R","1M","97,292","—"
"IA","House","Feenstra, Randy","R","20.8K","no handle","—"
"IA","House","Hinson, Ashley","R","60.6K","no handle","—"
"IA","House","Miller-Meeks, Mariannette","R","29.1K","no handle","—"
"IA","House","Nunn, Zachary (Zach)","R","9,445","3,914","—"
"ID","Senate","Crapo, Michael","R","139.4K","11,850","—"
"ID","Senate","Risch, James","R","135.3K","no handle","—"
"ID","House","Fulcher, Russ","R","20.9K","3,547","—"
"ID","House","Simpson, Michael","R","29.9K","5,864","—"
"IL","Senate","Duckworth, Tammy","D","656.3K","336,256","72,046"
