issue,mentions
Budget/Appropriations,395
Health Issues,271
Defense,184
Transportation,154
Taxation/Internal Revenue Code,116
Medicare/Medicaid,112
Energy/Nuclear,111
Education,109
Trade (domestic/foreign),72
Agriculture,69
Environment/Superfund,62
Government Issues,60
Natural Resources,59
Housing,56
Foreign Relations,56
Labor Issues/Antitrust/Workplace,46
Economics/Economic Development,44
Science/Technology,44
Veterans,38
Telecommunications,38
Financial Institutions/Investments/Securities,37
Manufacturing,34
Law Enforcement/Crime/Criminal Justice,34
Banking,29
Homeland Security,28
Medical/Disease Research/Clinical Labs,23
Aviation/Airlines/Airports,22
Indian/Native American Affairs,22
Small Business,22
Immigration,22
Clean Air and Water (quality),20
Aerospace,19
Pharmacy,17
Consumer Issues/Safety/Products,16
Computer Industry,15
Copyright/Patent/Trademark,14
Retirement,14
Civil Rights/Civil Liberties,13
Communications/Broadcasting/Radio/TV,13
"Food Industry (safety, labeling, etc.)",13
Insurance,13
Fuel/Gas/Oil,11
Utilities,11
Marine/Maritime/Boating/Fisheries,11
Disaster Planning/Emergencies,10
Automotive Industry,10
Animals,10
Intelligence,10
Real Estate/Land Use/Conservation,9
Gaming/Gambling/Casino,9
Tobacco,9
Urban Development/Municipalities,8
Roads/Highway,8
Trucking/Shipping,8
Tariff (miscellaneous tariff bills),7
Postal,7
Family issues/Abortion/Adoption,6
Chemicals/Chemical Industry,6
Firearms/Guns/Ammunition,6
Travel/Tourism,5
Railroads,5
Waste (hazardous/solid/interstate/nuclear),5
Sports/Athletics,4
Arts/Entertainment,4
Welfare,3
Constitution,3
Accounting,3
Beverage Industry,3
Commodities (big ticket),2
Religion,2
Unemployment,2
Alcohol and Drug Abuse,1
Apparel/Clothing Industry/Textiles,1
Minting/Money/Gold Standard,1
Torts,1
Media (information/publishing),1
