"date","article","title","views"
2024-01-01,"JD_Vance","J._D._Vance",1577
2024-01-02,"JD_Vance","J._D._Vance",1715
2024-01-03,"JD_Vance","J._D._Vance",1702
2024-01-04,"JD_Vance","J._D._Vance",2015
2024-01-05,"JD_Vance","J._D._Vance",2019
2024-01-06,"JD_Vance","J._D._Vance",1753
2024-01-07,"JD_Vance","J._D._Vance",1883
2024-01-08,"JD_Vance","J._D._Vance",1794
2024-01-09,"JD_Vance","J._D._Vance",1647
2024-01-10,"JD_Vance","J._D._Vance",1898
2024-01-11,"JD_Vance","J._D._Vance",2627
2024-01-12,"JD_Vance","J._D._Vance",1954
2024-01-13,"JD_Vance","J._D._Vance",2115
2024-01-14,"JD_Vance","J._D._Vance",2966
2024-01-15,"JD_Vance","J._D._Vance",2502
2024-01-16,"JD_Vance","J._D._Vance",3189
2024-01-17,"JD_Vance","J._D._Vance",2720
2024-01-18,"JD_Vance","J._D._Vance",2785
2024-01-19,"JD_Vance","J._D._Vance",3730
2024-01-20,"JD_Vance","J._D._Vance",3893
2024-01-21,"JD_Vance","J._D._Vance",11819
2024-01-22,"JD_Vance","J._D._Vance",5569
2024-01-23,"JD_Vance","J._D._Vance",4329
2024-01-24,"JD_Vance","J._D._Vance",4147
2024-01-25,"JD_Vance","J._D._Vance",3614
2024-01-26,"JD_Vance","J._D._Vance",3043
2024-01-27,"JD_Vance","J._D._Vance",2458
2024-01-28,"JD_Vance","J._D._Vance",2208
2024-01-29,"JD_Vance","J._D._Vance",2426
2024-01-30,"JD_Vance","J._D._Vance",3053
2024-01-31,"JD_Vance","J._D._Vance",2487
2024-02-01,"JD_Vance","J._D._Vance",1704
2024-02-02,"JD_Vance","J._D._Vance",1728
2024-02-03,"JD_Vance","J._D._Vance",1816
2024-02-04,"JD_Vance","J._D._Vance",11047
2024-02-05,"JD_Vance","J._D._Vance",14153
2024-02-06,"JD_Vance","J._D._Vance",7549
2024-02-07,"JD_Vance","J._D._Vance",3156
2024-02-08,"JD_Vance","J._D._Vance",2877
2024-02-09,"JD_Vance","J._D._Vance",2385
2024-02-10,"JD_Vance","J._D._Vance",4510
2024-02-11,"JD_Vance","J._D._Vance",2532
2024-02-12,"JD_Vance","J._D._Vance",4257
2024-02-13,"JD_Vance","J._D._Vance",6599
2024-02-14,"JD_Vance","J._D._Vance",3363
2024-02-15,"JD_Vance","J._D._Vance",2212
2024-02-16,"JD_Vance","J._D._Vance",2092
2024-02-17,"JD_Vance","J._D._Vance",2342
2024-02-18,"JD_Vance","J._D._Vance",4982
2024-02-19,"JD_Vance","J._D._Vance",5275
2024-02-20,"JD_Vance","J._D._Vance",4505
2024-02-21,"JD_Vance","J._D._Vance",3051
2024-02-22,"JD_Vance","J._D._Vance",2491
2024-02-23,"JD_Vance","J._D._Vance",2570
2024-02-24,"JD_Vance","J._D._Vance",3105
2024-02-25,"JD_Vance","J._D._Vance",3178
2024-02-26,"JD_Vance","J._D._Vance",3666
2024-02-27,"JD_Vance","J._D._Vance",2413
2024-02-28,"JD_Vance","J._D._Vance",2506
2024-02-29,"JD_Vance","J._D._Vance",2430
2024-03-01,"JD_Vance","J._D._Vance",2038
2024-03-02,"JD_Vance","J._D._Vance",2213
2024-03-03,"JD_Vance","J._D._Vance",3256
2024-03-04,"JD_Vance","J._D._Vance",2941
2024-03-05,"JD_Vance","J._D._Vance",3362
2024-03-06,"JD_Vance","J._D._Vance",2548
2024-03-07,"JD_Vance","J._D._Vance",2524
2024-03-08,"JD_Vance","J._D._Vance",3305
2024-03-09,"JD_Vance","J._D._Vance",2627
2024-03-10,"JD_Vance","J._D._Vance",3050
2024-03-11,"JD_Vance","J._D._Vance",2140
2024-03-12,"JD_Vance","J._D._Vance",2543
2024-03-13,"JD_Vance","J._D._Vance",2205
2024-03-14,"JD_Vance","J._D._Vance",2417
2024-03-15,"JD_Vance","J._D._Vance",4770
2024-03-16,"JD_Vance","J._D._Vance",4133
2024-03-17,"JD_Vance","J._D._Vance",4740
2024-03-18,"JD_Vance","J._D._Vance",3266
2024-03-19,"JD_Vance","J._D._Vance",4014
2024-03-20,"JD_Vance","J._D._Vance",5147
2024-03-21,"JD_Vance","J._D._Vance",2444
2024-03-22,"JD_Vance","J._D._Vance",2221
2024-03-23,"JD_Vance","J._D._Vance",2774
2024-03-24,"JD_Vance","J._D._Vance",2433
2024-03-25,"JD_Vance","J._D._Vance",1942
2024-03-26,"JD_Vance","J._D._Vance",2012
2024-03-27,"JD_Vance","J._D._Vance",2672
2024-03-28,"JD_Vance","J._D._Vance",3972
2024-03-29,"JD_Vance","J._D._Vance",2560
2024-03-30,"JD_Vance","J._D._Vance",2202
2024-03-31,"JD_Vance","J._D._Vance",2530
2024-04-01,"JD_Vance","J._D._Vance",2760
2024-04-02,"JD_Vance","J._D._Vance",3300
2024-04-03,"JD_Vance","J._D._Vance",2412
2024-04-04,"JD_Vance","J._D._Vance",2201
2024-04-05,"JD_Vance","J._D._Vance",1847
2024-04-06,"JD_Vance","J._D._Vance",1866
2024-04-07,"JD_Vance","J._D._Vance",2995
2024-04-08,"JD_Vance","J._D._Vance",2532
2024-04-09,"JD_Vance","J._D._Vance",2743
2024-04-10,"JD_Vance","J._D._Vance",2486
2024-04-11,"JD_Vance","J._D._Vance",2382
2024-04-12,"JD_Vance","J._D._Vance",3766
2024-04-13,"JD_Vance","J._D._Vance",2923
2024-04-14,"JD_Vance","J._D._Vance",4469
2024-04-15,"JD_Vance","J._D._Vance",2521
2024-04-16,"JD_Vance","J._D._Vance",2231
2024-04-17,"JD_Vance","J._D._Vance",2907
2024-04-18,"JD_Vance","J._D._Vance",2432
2024-04-19,"JD_Vance","J._D._Vance",3720
2024-04-20,"JD_Vance","J._D._Vance",2859
2024-04-21,"JD_Vance","J._D._Vance",3435
2024-04-22,"JD_Vance","J._D._Vance",2739
2024-04-23,"JD_Vance","J._D._Vance",2903
2024-04-24,"JD_Vance","J._D._Vance",2685
2024-04-25,"JD_Vance","J._D._Vance",2171
2024-04-26,"JD_Vance","J._D._Vance",1865
2024-04-27,"JD_Vance","J._D._Vance",3300
2024-04-28,"JD_Vance","J._D._Vance",5130
2024-04-29,"JD_Vance","J._D._Vance",3716
2024-04-30,"JD_Vance","J._D._Vance",2636
2024-05-01,"JD_Vance","J._D._Vance",4817
2024-05-02,"JD_Vance","J._D._Vance",12330
2024-05-03,"JD_Vance","J._D._Vance",7507
2024-05-04,"JD_Vance","J._D._Vance",6871
2024-05-05,"JD_Vance","J._D._Vance",5154
2024-05-06,"JD_Vance","J._D._Vance",5792
2024-05-07,"JD_Vance","J._D._Vance",4498
2024-05-08,"JD_Vance","J._D._Vance",2975
2024-05-09,"JD_Vance","J._D._Vance",3541
2024-05-10,"JD_Vance","J._D._Vance",3138
2024-05-11,"JD_Vance","J._D._Vance",3830
2024-05-12,"JD_Vance","J._D._Vance",7662
2024-05-13,"JD_Vance","J._D._Vance",17373
2024-05-14,"JD_Vance","J._D._Vance",18042
2024-05-15,"JD_Vance","J._D._Vance",8002
2024-05-16,"JD_Vance","J._D._Vance",4559
2024-05-17,"JD_Vance","J._D._Vance",3901
2024-05-18,"JD_Vance","J._D._Vance",4200
2024-05-19,"JD_Vance","J._D._Vance",9010
2024-05-20,"JD_Vance","J._D._Vance",4743
2024-05-21,"JD_Vance","J._D._Vance",3581
2024-05-22,"JD_Vance","J._D._Vance",2704
2024-05-23,"JD_Vance","J._D._Vance",3996
2024-05-24,"JD_Vance","J._D._Vance",4312
2024-05-25,"JD_Vance","J._D._Vance",3398
2024-05-26,"JD_Vance","J._D._Vance",2683
2024-05-27,"JD_Vance","J._D._Vance",2649
2024-05-28,"JD_Vance","J._D._Vance",2551
2024-05-29,"JD_Vance","J._D._Vance",4007
2024-05-30,"JD_Vance","J._D._Vance",3028
2024-05-31,"JD_Vance","J._D._Vance",9510
2024-06-01,"JD_Vance","J._D._Vance",6361
2024-06-02,"JD_Vance","J._D._Vance",4423
2024-06-03,"JD_Vance","J._D._Vance",3929
2024-06-04,"JD_Vance","J._D._Vance",5526
2024-06-05,"JD_Vance","J._D._Vance",5389
2024-06-06,"JD_Vance","J._D._Vance",23547
2024-06-07,"JD_Vance","J._D._Vance",15930
2024-06-08,"JD_Vance","J._D._Vance",10214
2024-06-09,"JD_Vance","J._D._Vance",13434
2024-06-10,"JD_Vance","J._D._Vance",9563
2024-06-11,"JD_Vance","J._D._Vance",6518
2024-06-12,"JD_Vance","J._D._Vance",5835
2024-06-13,"JD_Vance","J._D._Vance",13097
2024-06-14,"JD_Vance","J._D._Vance",12855
2024-06-15,"JD_Vance","J._D._Vance",6588
2024-06-16,"JD_Vance","J._D._Vance",9341
2024-06-17,"JD_Vance","J._D._Vance",32587
2024-06-18,"JD_Vance","J._D._Vance",18851
2024-06-19,"JD_Vance","J._D._Vance",11620
2024-06-20,"JD_Vance","J._D._Vance",7350
2024-06-21,"JD_Vance","J._D._Vance",9553
2024-06-22,"JD_Vance","J._D._Vance",11423
2024-06-23,"JD_Vance","J._D._Vance",24262
2024-06-24,"JD_Vance","J._D._Vance",20203
2024-06-25,"JD_Vance","J._D._Vance",19759
2024-06-26,"JD_Vance","J._D._Vance",47198
2024-06-27,"JD_Vance","J._D._Vance",23944
2024-06-28,"JD_Vance","J._D._Vance",112623
2024-06-29,"JD_Vance","J._D._Vance",34299
2024-06-30,"JD_Vance","J._D._Vance",31175
2024-07-01,"JD_Vance","J._D._Vance",18241
2024-07-02,"JD_Vance","J._D._Vance",10213
2024-07-03,"JD_Vance","J._D._Vance",10089
2024-07-04,"JD_Vance","J._D._Vance",8423
2024-07-05,"JD_Vance","J._D._Vance",7330
2024-07-06,"JD_Vance","J._D._Vance",7450
2024-07-07,"JD_Vance","J._D._Vance",25479
2024-07-08,"JD_Vance","J._D._Vance",31933
2024-07-09,"JD_Vance","J._D._Vance",43100
2024-07-10,"JD_Vance","J._D._Vance",45771
