"check","value"
"Voteview rows","51,062"
"Congress 1 begins in 1789","1789"
"Congress 119 begins in 2025","2025"
"member-Congress rows with no birth year","176"
"presidents in the file","45"
"separate presidencies (Cleveland and Trump twice)","47"
"presidents with no birth year","4"
"people with a birth year on some rows and not others","1"
"who that is","CLEVELAND, Stephen Grover"
"people carrying two different birth years","0"
"years with a published e(65)","25"
"e(65) series first year","1950"
"e(65) series last year","2018"
"years where HUS and CDC both give e(0)","26"
"of those, years where the two agree exactly","24"
"years where they disagree","2003, 2004"
"largest HUS-vs-CDC disagreement on e(0), years","0.4"
