term,arguments,pct_in_seniority_order,regime
2005,78,0.0,"in person, no rounds"
2006,71,0.0,"in person, no rounds"
2007,70,0.0,"in person, no rounds"
2008,79,0.0,"in person, no rounds"
2009,77,0.0,"in person, no rounds"
2010,78,0.0,"in person, no rounds"
2011,72,0.0,"in person, no rounds"
2012,74,0.0,"in person, no rounds"
2013,67,0.0,"in person, no rounds"
2014,56,0.0,"in person, no rounds"
2015,69,0.0,"in person, no rounds"
2016,62,0.0,"in person, no rounds"
2017,65,0.0,"in person, no rounds"
2018,71,0.0,"in person, no rounds"
2019,58,13.8,"in person, no rounds"
2020,58,100.0,"telephone, seniority rounds"
2021,63,0.0,"in person, seniority round added"
2022,59,0.0,"in person, seniority round added"
2023,61,0.0,"in person, seniority round added"
2024,61,0.0,"in person, seniority round added"
2025,59,0.0,"in person, seniority round added"
