"cand_id","cand_name","office","office_st","party","ttl_receipts","indiv_contrib","pac_contrib","party_contrib","self_funding","trans_from_auth","other","p_indiv_contrib","p_pac_contrib","p_party_contrib","p_self_funding","p_trans_from_auth","p_other"
"P00009423","HARRIS, KAMALA","President","00","DEM",1175189365,613557357,152322,2090,0,533714770,27762827,52.2092,0.013,0.0002,0,45.4152,2.3624
"S6OH00163","BROWN, SHERROD","Senate","OH","DEM",96530241,79877201,3085597,57800,0,11884749,1624893,82.7484,3.1965,0.0599,0,12.3119,1.6833
"S4TX00722","ALLRED, COLIN","Senate","TX","DEM",94674183,85341900,964090,62300,0,7498842,807051,90.1427,1.0183,0.0658,0,7.9207,0.8525
"S6MT00162","TESTER, R. JON","Senate","MT","DEM",93570123,81104097,3077010,61171.4,0,9079778,248067,86.6773,3.2885,0.0654,0,9.7037,0.2651
"S2TX00312","CRUZ, RAFAEL EDWARD  TED","Senate","TX","REP",74050031,67435723,1262520,5500,0,5182874,163414,91.0678,1.705,0.0074,0,6.9992,0.2207
"P40011793","KENNEDY, ROBERT, F. JR., SHANAHAN, NICOLE","President","00","IND",67278247,66442924,13200,0,0,563480,258644,98.7584,0.0196,0,0,0.8375,0.3844
"P40011082","RAMASWAMY, VIVEK","President","00","REP",66197196,11206974,13750,0,54755270,0,221202,16.9297,0.0208,0,82.7154,0,0.3342
"H4AZ07043","GALLEGO, RUBEN","House","AZ","DEM",64657200,59385707,1784685,75650,0,2910010,501147,91.847,2.7602,0.117,0,4.5007,0.7751
"H6MD08549","TRONE, DAVID","House","MD","DEM",63833137,853812,5000,0,62877800,0,96525,1.3376,0.0078,0,98.5034,0,0.1512
"P40010977","HALEY, NIKKI","President","00","REP",58378348,46896621,32800,0,0,11216671,232255,80.3322,0.0562,0,0,19.2138,0.3978
"S6PA00217","CASEY, ROBERT P. JR.","Senate","PA","DEM",58147345,43598592,2903155,61800,0,8142909,3440889,74.9795,4.9928,0.1063,0,14.0039,5.9175
"S4MI00470","SLOTKIN, ELISSA","Senate","MI","DEM",51937060,46587667,1198587,58507.2,0,3828527,263772,89.7002,2.3078,0.1127,0,7.3715,0.5079
"S2WI00219","BALDWIN, TAMMY","Senate","WI","DEM",50228545,42080849,2607544,62425.8,0,4703224,774503,83.7788,5.1914,0.1243,0,9.3636,1.542
"H0CA27085","SCHIFF, ADAM","House","CA","DEM",48149197,45110629,1015453,250,0,536368,1486497,93.6893,2.109,0.0005,0,1.114,3.0873
"H6NV03139","ROSEN, JACKY","House","NV","DEM",43915245,33769625,2574528,57800,0,6088217,1425076,76.8973,5.8625,0.1316,0,13.8636,3.2451
"S8FL00273","SCOTT, RICK SEN","Senate","FL","REP",36696093,5556640,991223,52800,21393850,8562714,138866,15.1423,2.7012,0.1439,58.3001,23.3341,0.3784
"S4FL00611","MUCARSEL-POWELL, DEBBIE","Senate","FL","DEM",36616416,34482940,806010,58050,0,1097747,171668,94.1734,2.2012,0.1585,0,2.998,0.4688
"S2PA00661","MCCORMICK, DAVE","Senate","PA","REP",35970837,21181318,1013544,52800,7691847,5671622,359706,58.8847,2.8177,0.1468,21.3836,15.7673,1
"P40010415","NORRIS, JIM ALEXANDER SR","President","00","REP",35430000,13780000,0,0,20950000,0,700000,38.8936,0,0,59.1307,0,1.9757
"S4CA00522","PORTER, KATHERINE","Senate","CA","DEM",32527821,19140784,67526.3,0,0,11002000,2317511,58.8443,0.2076,0,0,33.8234,7.1247
"S2WI00268","HOVDE, ERIC D","Senate","WI","REP",31958333,9292283,423695,52800,20000000,2189541,14.79,29.0762,1.3258,0.1652,62.5815,6.8512,0
"S4MD00327","ALSOBROOKS, ANGELA","Senate","MD","DEM",31077806,23764486,1194819,58400,0,5852229,207870,76.4677,3.8446,0.1879,0,18.8309,0.6689
"S4MT00183","SHEEHY, TIM","Senate","MT","REP",30015786,21776099,1317450,63108.8,2602762,3277560,978807,72.5488,4.3892,0.2103,8.6713,10.9195,3.261
"P40010928","JOHNSON, PERRY","President","00","REP",29704589,340418,0,0,29364171,0,-0.01,1.146,0,0,98.854,0,0
"S4OH00192","MORENO, BERNIE","Senate","OH","REP",26920694,14811194,909531,53325,4500838,6508602,137203,55.0179,3.3786,0.1981,16.7189,24.1769,0.5097
"S4AZ00220","LAKE, KARI","Senate","AZ","REP",26252199,23239868,407825,52800,0,2253783,297923,88.5254,1.5535,0.2011,0,8.5851,1.1348
"S2NV00308","BROWN, SAM","Senate","NV","REP",24063366,20606960,1078736,52800,0,2311721,13148.4,85.6362,4.4829,0.2194,0,9.6068,0.0546
"H2NY10092","JEFFRIES, HAKEEM","House","NY","DEM",22977197,15936794,2639351,418.49,0,4384634,16000,69.3592,11.4868,0.0018,0,19.0825,0.0696
"S4CA00803","GARVEY, STEVE","Senate","CA","REP",20356133,20239043,50349,0,0,47761.4,18979,99.4248,0.2473,0,0,0.2346,0.0932
"H6LA04138","JOHNSON, JAMES MICHAEL","House","LA","REP",19867069,10686555,1795400,0,0,6586237,798877,53.7903,9.0371,0,0,33.1515,4.0211
"P40012155","SCOTT, TIMOTHY E.","President","00","REP",18856383,16176071,730400,0,0,951728,998184,85.7857,3.8735,0,0,5.0472,5.2936
"S2VA00142","KAINE, TIMOTHY MICHAEL","Senate","VA","DEM",18308454,10885218,2112230,1000,0,4897216,412790,59.4546,11.5369,0.0055,0,26.7484,2.2546
"H4VA07234","VINDMAN, YEVGENY 'EUGENE'","House","VA","DEM",18096190,17428791,394193,5000,0,190780,77425.2,96.3119,2.1783,0.0276,0,1.0543,0.4279
