"key","value"
"series","6"
"values","168595"
"min_r2_top10","0.9731"
"max_r2_all","0.9962"
"min_r2_all","0.683"
"max_slope_spread","1.8"
"straight_series","surnames"
"straight_label","People sharing a surname"
"straight_r2_all","0.9962"
"straight_slope_all","-1.1762"
"bent_series","receipts"
"bent_label","Money a candidate raised"
"bent_r2_all","0.683"
"bent_r2_top10","0.976"
"bent_slope_all","-2.6956"
"bent_slope_top10","-0.8907"
"worst_series","targets"
"worst_label","Outside money spent on a candidate"
"worst_ratio","38.8"
"worst_median","144344"
"worst_mean","5600333"
"worst_n","744"
"worst_above_mean","95"
"worst_above_mean_pct","12.8"
"worst_top","HARRIS, KAMALA"
"worst_max","966596407"
"receipts_zero","986"
"receipts_n","2860"
"receipts_median","95610"
"receipts_mean","2393764"
"receipts_top","HARRIS, KAMALA"
"receipts_max","1175189365"
"receipts_above_mean_pct","13.4"
"receipts_bottom","PARK, CHARLES"
"receipts_min","0.01"
"committees_bottom","TYLER LEE SCAFIDI''S PRESIDENTIAL POLITICAL ACTION COMMITTEE (PAC) FOR EQUITABLE AMERICAN LAW, ORDER, AND JUSTICE"
"committees_min","1"
"residual_who","ALL OTHER NAMES"
"residual_value","36257637"
"residual_rank_if_kept","1"
"residual_share","12.1"
"surnames_n","156621"
"surnames_top","SMITH"
"surnames_max","2369644"
"surnames_median","264"
"counties_top","Los Angeles, California"
"counties_max","10014009"
"counties_median","25774.5"
"min_gini","0.7603"
"max_gini","0.9232"
"min_above_mean_pct","10.6"
"max_above_mean_pct","22.5"
"min_top1_share","24.14"
"max_top1_share","55.57"
