"rank","name","people","pct_female","pct_white","pct_black","pct_aian","pct_asian","pct_twoplus","pct_hispanic","also_a_last_name"
1,"MICHAEL",3476715,0.209594,79.0205,7.88609,0.532399,1.91008,2.86423,7.78669,TRUE
2,"JOHN",3125114,0.208088,82.8638,6.26406,0.491502,2.16987,2.22222,5.98852,TRUE
3,"JAMES",2996420,0.130856,82.0218,9.65062,0.57839,1.47967,2.82424,3.44524,TRUE
4,"DAVID",2813019,0.0907922,76.4263,5.55912,0.494238,2.34328,2.4082,12.7689,TRUE
5,"ROBERT",2759332,0.0991179,82.6849,7.16514,0.536108,0.982629,2.35564,6.27554,TRUE
6,"WILLIAM",2240112,0.0985664,83.3093,6.8743,0.533857,1.40091,2.75544,5.12622,TRUE
7,"MARY",1768337,99.8394,81.1432,9.30643,0.602317,1.5177,1.83234,5.59797,TRUE
8,"MARIA",1652964,99.7647,14.2129,1.31757,0.143318,2.51403,0.510779,81.3014,TRUE
9,"DANIEL",1607193,0.346443,67.1328,4.16919,0.49098,2.76725,2.55613,22.8837,TRUE
10,"JOSEPH",1600664,0.1192,76.8447,7.0835,0.612121,2.34297,2.72868,10.388,TRUE
11,"RICHARD",1575998,0.0887057,82.2575,5.20724,0.553364,1.87488,2.14366,7.9634,TRUE
12,"THOMAS",1506604,0.0984995,86.9929,4.65384,0.480617,1.65498,2.34123,3.87647,TRUE
13,"CHRISTOPHER",1499874,0.147613,71.5253,9.72128,0.55158,2.06971,3.71818,12.4139,TRUE
14,"JENNIFER",1331080,99.9266,77.3845,3.57822,0.470295,3.37553,3.05354,12.138,TRUE
15,"MATTHEW",1315148,0.0937535,81.0794,3.04118,0.470898,2.2088,3.3064,9.89334,TRUE
16,"JOSE",1211107,0.248781,2.32391,0.457763,0.112129,1.00305,0.0936333,96.0095,TRUE
17,"CHARLES",1207975,0.158116,79.4899,12.7305,0.625924,1.18612,2.89716,3.07043,TRUE
18,"ELIZABETH",1206652,99.9078,73.8273,4.05527,0.43111,2.33174,2.64965,16.705,TRUE
19,"PATRICIA",1189827,99.9197,77.6382,8.63058,0.464101,0.913494,1.79917,10.5545,TRUE
20,"LINDA",1164879,99.9269,82.459,7.9822,0.512843,2.07936,1.99652,4.97004,TRUE
21,"MARK",1135543,0.0998643,84.977,5.0375,0.432833,1.85409,2.28595,5.41265,TRUE
22,"ANDREW",1075510,0.142351,75.9797,4.71934,0.44974,4.08959,3.30392,11.4577,TRUE
23,"ANTHONY",1075182,0.155974,54.1302,17.3307,0.695789,2.62421,3.40882,21.8103,TRUE
24,"KEVIN",1015224,0.17602,67.9954,10.667,0.51102,5.18821,2.45995,13.1784,TRUE
25,"BRIAN",1011015,0.111669,80.1413,6.06796,0.488321,2.82884,2.46801,8.00552,TRUE
26,"SUSAN",979773,99.9424,91.493,1.40094,0.327627,2.43965,1.69621,2.64255,TRUE
27,"STEVEN",972806,0.0861424,80.9417,5.18603,0.553862,2.51828,2.45003,8.35007,TRUE
28,"JESSICA",957450,99.9008,67.3214,5.36592,0.570683,2.94282,3.55851,20.2406,TRUE
29,"BARBARA",943005,99.9239,84.3983,9.43113,0.429372,0.506996,1.61919,3.61504,TRUE
30,"JOSHUA",939718,0.156217,68.353,9.11199,0.707233,2.91438,4.6166,14.2968,TRUE
31,"PAUL",907227,0.122241,82.3245,5.48694,0.500206,2.97974,2.18214,6.52648,TRUE
32,"JASON",898646,0.11495,75.5819,6.2178,0.693376,4.20677,3.64905,9.65108,TRUE
33,"KAREN",882585,99.7938,81.5938,6.05925,0.454347,2.20409,1.81897,7.8695,TRUE
34,"RYAN",874270,2.35934,79.976,4.43479,0.55818,4.16016,3.7103,7.1606,TRUE
