"denominator","race","count","source","state","county"
"residents","white",342448,"B03002_003E","06","075"
"residents","asian/pacific islander",278440,"B03002_006E+007E","06","075"
"residents","hispanic",124464,"B03002_012E","06","075"
"residents","black",45552,"B03002_004E","06","075"
"residents","other",33229,"B03002_005E+008E+009E","06","075"
"adults 18+","white",311466,"B01001H 18+","06","075"
"adults 18+","asian/pacific islander",243568,"B01001D+B01001E 18+","06","075"
"adults 18+","hispanic",99327,"B01001I 18+","06","075"
"adults 18+","black",39451,"B01001B 18+","06","075"
"drives to work","white",89679,"B08105H_002E+003E","06","075"
"drives to work","asian/pacific islander",69950,"B08105D+B08105E _002E+003E","06","075"
"drives to work","hispanic",27716,"B08105I_002E+003E","06","075"
"drives to work","black",7656,"B08105B_002E+003E","06","075"
