year,race,stops,searched,contraband_found
2007,asian/pacific islander,16805,390,177
2007,black,18184,2628,292
2007,hispanic,12376,1528,182
2007,other,9655,439,125
2007,white,45176,1853,485
2008,asian/pacific islander,19957,465,185
2008,black,19439,2826,281
2008,hispanic,13500,2062,169
2008,other,11620,741,147
2008,white,48609,1940,470
2009,asian/pacific islander,19510,384,136
2009,black,19079,2955,256
2009,hispanic,12656,1832,110
2009,other,11553,589,106
2009,white,47814,1815,350
2010,asian/pacific islander,16321,292,109
2010,black,16976,2409,214
2010,hispanic,12122,1003,117
2010,other,11471,454,107
2010,white,47880,1480,409
2011,asian/pacific islander,17629,407,114
2011,black,16089,2867,172
2011,hispanic,13478,1384,97
2011,other,9979,393,54
2011,white,42332,1386,299
2012,asian/pacific islander,14442,226,50
2012,black,13533,2364,140
2012,hispanic,11186,1055,93
2012,other,8825,324,47
2012,white,34405,1004,208
2013,asian/pacific islander,13275,203,57
2013,black,12714,2096,159
2013,hispanic,10351,740,61
2013,other,9436,229,40
2013,white,28386,649,142
2014,asian/pacific islander,17353,236,107
2014,black,14039,2116,199
2014,hispanic,12174,678,109
2014,other,14744,228,58
2014,white,33651,613,188
2015,asian/pacific islander,15530,194,73
2015,black,14990,2344,307
2015,hispanic,11943,761,145
2015,other,13668,237,50
2015,white,29867,662,197
2016,asian/pacific islander,6862,64,25
2016,black,7153,1017,163
2016,hispanic,6228,402,82
2016,other,5907,112,27
2016,white,14198,305,86
