"city","grade","id","part","x","y"
"Cleveland","A",1,1,32.897,12.273
"Cleveland","A",1,1,32.594,12.578
"Cleveland","A",1,1,32.6,12.783
"Cleveland","A",1,1,31.956,12.744
"Cleveland","A",1,1,31.909,12.744
"Cleveland","A",1,1,31.915,12.854
"Cleveland","A",1,1,31.942,13.48
"Cleveland","A",1,1,31.882,14.415
"Cleveland","A",1,1,31.357,14.48
"Cleveland","A",1,1,31.204,14.495
"Cleveland","A",1,1,31.183,15.118
"Cleveland","A",1,1,31.666,14.862
"Cleveland","A",1,1,31.752,14.857
"Cleveland","A",1,1,31.813,14.771
"Cleveland","A",1,1,31.922,14.709
"Cleveland","A",1,1,32.012,14.708
"Cleveland","A",1,1,32.174,14.603
"Cleveland","A",1,1,32.306,14.454
"Cleveland","A",1,1,32.382,14.373
"Cleveland","A",1,1,32.387,14.372
"Cleveland","A",1,1,32.548,14.367
"Cleveland","A",1,1,32.671,14.262
"Cleveland","A",1,1,32.78,14.092
"Cleveland","A",1,1,32.779,13.944
"Cleveland","A",1,1,32.773,13.783
"Cleveland","A",1,1,32.796,13.612
"Cleveland","A",1,1,32.795,13.493
"Cleveland","A",1,1,32.648,13.49
"Cleveland","A",1,1,32.709,13.37
"Cleveland","A",1,1,32.921,13.127
"Cleveland","A",1,1,32.992,13.045
"Cleveland","A",1,1,33.06,13.126
"Cleveland","A",1,1,33.146,13.125
"Cleveland","A",1,1,33.136,13.23
"Cleveland","A",1,1,33.393,13.205
"Cleveland","A",1,1,33.507,13.104
"Cleveland","A",1,1,33.616,13.056
"Cleveland","A",1,1,33.769,13.088
"Cleveland","A",1,1,33.969,13.082
"Cleveland","A",1,1,34.021,13.02
"Cleveland","A",1,1,34.12,12.944
"Cleveland","A",1,1,34.33,12.899
"Cleveland","A",1,1,34.606,12.864
"Cleveland","A",1,1,34.777,12.816
"Cleveland","A",1,1,34.945,12.764
"Cleveland","A",1,1,35.029,12.695
"Cleveland","A",1,1,35.105,12.632
"Cleveland","A",1,1,35.105,12.32
"Cleveland","A",1,1,35.092,12.249
"Cleveland","A",1,1,35.105,12.248
"Cleveland","A",1,1,35.105,11.143
"Cleveland","A",1,1,34.597,11.144
"Cleveland","A",1,1,34.598,10.517
"Cleveland","A",1,1,33.6,10.503
"Cleveland","A",1,1,33.585,11.146
"Cleveland","A",1,1,33.58,11.952
"Cleveland","A",1,1,33.591,12.002
"Cleveland","A",1,1,33.596,12.16
"Cleveland","A",1,1,33.502,12.16
"Cleveland","A",1,1,33.254,12.177
"Cleveland","A",1,1,33.085,12.218
"Cleveland","A",1,1,32.946,12.331
"Cleveland","A",1,1,32.897,12.273
"Cleveland","A",1,2,34.074,13.124
"Cleveland","A",1,2,33.87,13.177
"Cleveland","A",1,2,33.76,13.192
"Cleveland","A",1,2,33.703,13.193
"Cleveland","A",1,2,33.623,13.289
"Cleveland","A",1,2,33.503,13.317
"Cleveland","A",1,2,33.251,13.367
"Cleveland","A",1,2,33.023,13.416
"Cleveland","A",1,2,32.986,13.515
"Cleveland","A",1,2,32.963,13.663
"Cleveland","A",1,2,33.006,13.809
"Cleveland","A",1,2,33.003,13.923
"Cleveland","A",1,2,32.99,14.057
"Cleveland","A",1,2,33.095,14.136
"Cleveland","A",1,2,33.27,14.074
"Cleveland","A",1,2,33.413,14.073
"Cleveland","A",1,2,33.599,13.991
"Cleveland","A",1,2,33.841,13.937
"Cleveland","A",1,2,33.95,13.888
"Cleveland","A",1,2,34.159,13.788
"Cleveland","A",1,2,34.354,13.729
"Cleveland","A",1,2,34.649,13.7
"Cleveland","A",1,2,34.825,13.636
"Cleveland","A",1,2,34.939,13.659
"Cleveland","A",1,2,35.105,13.665
"Cleveland","A",1,2,35.105,12.942
"Cleveland","A",1,2,34.792,12.954
"Cleveland","A",1,2,34.42,12.989
"Cleveland","A",1,2,34.074,13.124
"Cleveland","A",1,3,34.823,14.016
"Cleveland","A",1,3,34.619,14.06
"Cleveland","A",1,3,34.625,14.317
"Cleveland","A",1,3,34.928,14.325
"Cleveland","A",1,3,34.932,14.454
"Cleveland","A",1,3,35.105,14.452
"Cleveland","A",1,3,35.105,14.005
"Cleveland","A",1,3,35.066,14
"Cleveland","A",1,3,34.894,13.982
"Cleveland","A",1,3,34.823,14.016
"Cleveland","B",2,1,32.897,12.273
"Cleveland","B",2,1,32.946,12.331
"Cleveland","B",2,1,33.085,12.218
"Cleveland","B",2,1,33.254,12.177
"Cleveland","B",2,1,33.502,12.16
"Cleveland","B",2,1,33.596,12.16
"Cleveland","B",2,1,33.591,12.002
"Cleveland","B",2,1,33.58,11.952
"Cleveland","B",2,1,33.585,11.146
"Cleveland","B",2,1,33.6,10.503
"Cleveland","B",2,1,34.598,10.517
"Cleveland","B",2,1,34.597,11.144
"Cleveland","B",2,1,35.105,11.143
"Cleveland","B",2,1,35.105,10.292
"Cleveland","B",2,1,34.322,10.3
"Cleveland","B",2,1,32.988,10.315
"Cleveland","B",2,1,33.019,11.159
"Cleveland","B",2,1,32.965,11.16
"Cleveland","B",2,1,32.955,12.045
"Cleveland","B",2,1,32.583,12.053
"Cleveland","B",2,1,32.594,12.578
"Cleveland","B",2,1,32.897,12.273
"Cleveland","B",2,2,29.59,12.78
"Cleveland","B",2,2,29.694,12.756
"Cleveland","B",2,2,29.797,12.7
"Cleveland","B",2,2,29.879,12.633
"Cleveland","B",2,2,29.885,12.583
"Cleveland","B",2,2,29.891,12.537
"Cleveland","B",2,2,29.866,12.435
"Cleveland","B",2,2,29.782,12.436
"Cleveland","B",2,2,29.624,12.432
"Cleveland","B",2,2,29.505,12.502
"Cleveland","B",2,2,29.505,13.152
"Cleveland","B",2,2,29.574,13.149
"Cleveland","B",2,2,29.613,13.108
"Cleveland","B",2,2,29.59,12.78
"Cleveland","B",2,3,31.478,13.924
"Cleveland","B",2,3,31.403,13.953
"Cleveland","B",2,3,31.345,14.173
"Cleveland","B",2,3,31.357,14.48
"Cleveland","B",2,3,31.882,14.415
"Cleveland","B",2,3,31.942,13.48
"Cleveland","B",2,3,31.915,12.854
"Cleveland","B",2,3,31.493,13.279
"Cleveland","B",2,3,31.478,13.924
"Cleveland","B",2,4,32.263,14.819
"Cleveland","B",2,4,32.166,14.903
"Cleveland","B",2,4,32.095,14.944
"Cleveland","B",2,4,32.017,14.945
"Cleveland","B",2,4,31.854,14.952
"Cleveland","B",2,4,31.719,14.986
"Cleveland","B",2,4,31.583,15.007
"Cleveland","B",2,4,31.539,15.072
"Cleveland","B",2,4,31.499,15.133
"Cleveland","B",2,4,35.105,15.133
"Cleveland","B",2,4,35.105,14.452
"Cleveland","B",2,4,34.932,14.454
"Cleveland","B",2,4,34.928,14.325
"Cleveland","B",2,4,34.625,14.317
"Cleveland","B",2,4,34.619,14.06
"Cleveland","B",2,4,34.371,14.081
"Cleveland","B",2,4,34.292,14.16
"Cleveland","B",2,4,34.089,14.157
"Cleveland","B",2,4,33.881,14.223
"Cleveland","B",2,4,33.747,14.184
"Cleveland","B",2,4,33.596,14.169
"Cleveland","B",2,4,33.568,14.182
"Cleveland","B",2,4,33.408,14.256
"Cleveland","B",2,4,33.31,14.255
"Cleveland","B",2,4,33.171,14.288
"Cleveland","B",2,4,33.031,14.339
"Cleveland","B",2,4,32.877,14.429
"Cleveland","B",2,4,32.749,14.507
"Cleveland","B",2,4,32.542,14.639
"Cleveland","B",2,4,32.447,14.729
"Cleveland","B",2,4,32.263,14.819
"Cleveland","C",3,1,30.155,9.651
"Cleveland","C",3,1,29.505,9.676
"Cleveland","C",3,1,29.505,9.878
"Cleveland","C",3,1,29.53,9.878
"Cleveland","C",3,1,29.636,9.88
