"check","result"
"Rows in the values file (50 states x 9 elections)","450"
"Published ranks reproduced from published values, both columns","900 of 900 (two different tie conventions)"
"State-years sitting in an exact tie on the current score","10"
"2024 index rebuilt from the laws: largest difference from published","0.000265"
"2024 index rebuilt from the laws: states in the same rank","50 of 50"
"Component weights recomputed here match the published codebook table","0.4709 vs 0.4709 (2024, first component)"
"Party control, five coded elections vs the counts the article prints","0 states differing across 2012-2024"
"Party control, four Klarner elections vs the same table","3 states differing across 1996-2008, in 3 of 4 years"
"Every state matched to a 2024 turnout rate","50 of 50"
"Issue areas in the index, first year and last","6 in 1996, 10 in 2024"
