"district","dem_wins_old","dem_wins_new","mean_old","mean_new","pres2024_old","pres2024_new"
1,0,0,0.246783,0.255287,0.241804,0.250454
2,0,0,0.353344,0.359062,0.379646,0.384335
3,0,0,0.384634,0.371886,0.397328,0.380086
4,0,0,0.333932,0.369988,0.334623,0.37417
5,0,0,0.363674,0.391268,0.363102,0.390798
6,0,0,0.351584,0.371842,0.355862,0.383637
7,17,17,0.626335,0.636448,0.606933,0.620597
8,0,0,0.3351,0.378334,0.328437,0.360016
9,17,2,0.761087,0.453321,0.723809,0.399677
10,0,0,0.371639,0.393359,0.374213,0.385389
11,0,0,0.273311,0.328073,0.270715,0.326135
12,0,0,0.381706,0.384799,0.385706,0.379213
13,0,0,0.251581,0.258645,0.258769,0.26668
14,0,0,0.339449,0.373296,0.328078,0.377139
15,7,6,0.498178,0.499123,0.410026,0.409925
16,17,17,0.667058,0.668072,0.581058,0.583147
17,0,0,0.35642,0.392024,0.352197,0.390284
18,17,17,0.736235,0.814248,0.701899,0.778624
19,0,0,0.245187,0.245187,0.239144,0.239144
20,17,17,0.65297,0.691957,0.607567,0.644365
21,0,0,0.365472,0.382772,0.380523,0.389525
22,0,0,0.383585,0.374966,0.40045,0.386717
23,0,0,0.448087,0.442544,0.421575,0.425129
24,0,0,0.391681,0.392504,0.421128,0.418076
25,0,0,0.318128,0.394174,0.316221,0.378264
26,0,0,0.365366,0.366404,0.381252,0.379373
27,0,0,0.367136,0.388635,0.350429,0.392788
28,15,15,0.54362,0.591398,0.463249,0.447737
29,17,17,0.701505,0.713878,0.60322,0.654197
30,17,17,0.770953,0.77324,0.73795,0.738998
31,0,0,0.364372,0.373772,0.382144,0.389318
32,17,0,0.631162,0.415359,0.621638,0.40943
33,17,17,0.741716,0.709342,0.672824,0.666667
34,16,10,0.595726,0.508369,0.477699,0.448875
35,17,0,0.720767,0.463755,0.670711,0.447155
36,0,0,0.323178,0.385773,0.314049,0.373619
37,17,17,0.748208,0.804925,0.751437,0.788507
38,0,0,0.368225,0.370848,0.394683,0.393479
