"series","rank","observed","zipf","who","ratio"
"surnames",1,2369644,2369644,"SMITH",1
"surnames",10,1039848,236964,"MARTINEZ",4.39
"surnames",100,223485,23696,"LONG",9.43
"surnames",1000,34287,2370,"COMPTON",14.47
"counties",1,10014009,10014009,"Los Angeles, California",1
"counties",10,2418185,1001401,"Riverside, California",2.41
"counties",100,659399,100140,"Utah, Utah",6.58
"counties",1000,48261,10014,"Boyd, Kentucky",4.82
"receipts",1,1175189365,1175189365,"HARRIS, KAMALA",1
"receipts",10,64657200,117518937,"GALLEGO, RUBEN",0.55
"receipts",100,8143126,11751894,"RYAN, PATRICK",0.69
"receipts",1000,424374,1175189,"MONROE, KATE M",0.36
"committees",1,505077660,505077660,"FF PAC",1
"committees",10,86042846,50507766,"AB PAC",1.7
"committees",100,4765676,5050777,"NATIONAL INTEREST ACTION INC",0.94
"targets",1,966596407,966596407,"HARRIS, KAMALA",1
"targets",10,83585895,96659641,"TESTER, R. JON",0.86
"targets",100,5229398,9665964,"MANNION, JOHN",0.54
"pageviews",1,5120129,5120129,"JD Vance, 2024-07-15",1
"pageviews",10,1485955,512013,"Kamala Harris, 2024-11-06",2.9
"pageviews",100,248384,51201,"Project 2025, 2024-07-17",4.85
"pageviews",1000,35902,5120,"Project 2025, 2024-08-10",7.01
