"state","cd","district","democrat","republican","dem_share","pres_party","house_rep","house_rep_party"
"AK","00","AK-00",41.41,54.54,43.16,"republican","Nick Begich","republican"
"AL","01","AL-01",21.89,76.94,22.15,"republican","Barry Moore","republican"
"AL","02","AL-02",53.52,45.31,54.15,"democrat","Shomari Figures","democrat"
"AL","03","AL-03",26.18,72.71,26.47,"republican","Mike Rogers","republican"
"AL","04","AL-04",15.96,83.02,16.12,"republican","Robert B. Aderholt","republican"
"AL","05","AL-05",34.2,64.02,34.82,"republican","Dale W. Strong","republican"
"AL","06","AL-06",29.68,68.47,30.24,"republican","Gary J. Palmer","republican"
"AL","07","AL-07",61.45,37.5,62.1,"democrat","Terri A. Sewell","democrat"
"AR","01","AR-01",26.37,71.71,26.89,"republican","Eric A. \""Rick\"" Crawford","republican"
"AR","02","AR-02",40.99,56.6,42,"republican","J. French Hill","republican"
"AR","03","AR-03",36.18,61.09,37.2,"republican","Steve Womack","republican"
"AR","04","AR-04",29.11,69.05,29.66,"republican","Bruce Westerman","republican"
"AZ","01","AZ-01",47.77,50.87,48.43,"republican","David Schweikert","republican"
"AZ","02","AZ-02",41.96,56.91,42.44,"republican","Elijah Crane","republican"
"AZ","03","AZ-03",68.9,29.31,70.16,"democrat","Yassamin Ansari","democrat"
"AZ","04","AZ-04",52.39,45.75,53.38,"democrat","Greg Stanton","democrat"
"AZ","05","AZ-05",39.32,59.22,39.9,"republican","Andy Biggs","republican"
"AZ","06","AZ-06",48.9,49.65,49.62,"republican","Juan Ciscomani","republican"
"AZ","07","AZ-07",60.31,38.24,61.2,"democrat","Raúl M. Grijalva","democrat"
"AZ","08","AZ-08",41.23,57.5,41.76,"republican","Abraham \""Abe\"" Hamadeh","republican"
"AZ","09","AZ-09",33.96,64.95,34.33,"republican","Paul A. Gosar","republican"
"CA","01","CA-01",36.12,61.07,37.16,"republican","Doug Lamalfa","republican"
"CA","02","CA-02",70.88,25.72,73.37,"democrat","Jared Huffman","democrat"
"CA","03","CA-03",46.52,50.33,48.03,"republican","Kevin Kiley","republican"
"CA","04","CA-04",64.04,32.82,66.12,"democrat","Mike Thompson","democrat"
"CA","05","CA-05",39.86,57.58,40.91,"republican","Tom Mcclintock","republican"
"CA","06","CA-06",55.23,41.36,57.18,"democrat","Ami Bera","democrat"
"CA","07","CA-07",63.1,33.35,65.42,"democrat","Doris O. Matsui","democrat"
"CA","08","CA-08",70.15,26.58,72.52,"democrat","John Garamendi","democrat"
"CA","09","CA-09",47.6,49.38,49.08,"republican","Josh Harder","democrat"
"CA","10","CA-10",65.21,31.43,67.48,"democrat","Mark Desaulnier","democrat"
"CA","11","CA-11",81.8,14.08,85.31,"democrat","Nancy Pelosi","democrat"
"CA","12","CA-12",84.54,10.64,88.82,"democrat","Lateefah Simon","democrat"
"CA","13","CA-13",45.9,51.32,47.21,"republican","Adam Gray","democrat"
"CA","14","CA-14",65.78,30.35,68.43,"democrat","Eric Swalwell","democrat"
"CA","15","CA-15",72.19,24.3,74.82,"democrat","Kevin Mullin","democrat"
"CA","16","CA-16",72.47,23.95,75.16,"democrat","Sam Liccardo","democrat"
"CA","17","CA-17",66.75,28.85,69.82,"democrat","Ro Khanna","democrat"
"CA","18","CA-18",63.19,33.68,65.23,"democrat","Zoe Lofgren","democrat"
"CA","19","CA-19",65.44,31.05,67.82,"democrat","Jimmy Panetta","democrat"
"CA","20","CA-20",33.69,64.01,34.48,"republican","Vince Fong","republican"
"CA","21","CA-21",50.57,46.79,51.94,"democrat","Jim Costa","democrat"
"CA","22","CA-22",45.77,51.6,47.01,"republican","David G. Valadao","republican"
"CA","23","CA-23",40.24,57.09,41.34,"republican","Jay Obernolte","republican"
"CA","24","CA-24",60.96,35.92,62.92,"democrat","Salud O. Carbajal","democrat"
"CA","25","CA-25",50.07,47.59,51.27,"democrat","Raul Ruiz","democrat"
