"mode","house","senate","n","share"
"shared",148,36,1,0.00005
"shared",160,39,1,0.00005
"shared",184,39,2,0.0001
"shared",188,39,1,0.00005
"shared",168,40,1,0.00005
"shared",180,40,1,0.00005
"shared",184,40,1,0.00005
"shared",192,40,3,0.00015
"shared",196,40,3,0.00015
"shared",200,40,1,0.00005
"shared",204,40,2,0.0001
"shared",216,40,1,0.00005
"shared",172,41,2,0.0001
"shared",176,41,2,0.0001
"shared",180,41,2,0.0001
"shared",192,41,3,0.00015
"shared",196,41,3,0.00015
"shared",200,41,2,0.0001
"shared",204,41,1,0.00005
"shared",212,41,1,0.00005
"shared",156,42,1,0.00005
"shared",168,42,1,0.00005
"shared",172,42,1,0.00005
"shared",176,42,1,0.00005
"shared",180,42,4,0.0002
"shared",184,42,4,0.0002
"shared",188,42,6,0.0003
"shared",192,42,8,0.0004
"shared",196,42,9,0.00045
"shared",200,42,4,0.0002
"shared",204,42,4,0.0002
"shared",208,42,3,0.00015
"shared",212,42,2,0.0001
"shared",216,42,2,0.0001
"shared",160,43,1,0.00005
"shared",168,43,1,0.00005
"shared",172,43,2,0.0001
"shared",176,43,4,0.0002
"shared",180,43,7,0.00035
"shared",184,43,3,0.00015
"shared",188,43,8,0.0004
"shared",192,43,7,0.00035
"shared",196,43,13,0.00065
"shared",200,43,12,0.0006
"shared",204,43,18,0.0009
"shared",208,43,16,0.0008
"shared",212,43,8,0.0004
"shared",216,43,2,0.0001
"shared",220,43,4,0.0002
"shared",224,43,2,0.0001
"shared",228,43,2,0.0001
"shared",172,44,1,0.00005
"shared",176,44,2,0.0001
"shared",180,44,1,0.00005
"shared",184,44,6,0.0003
"shared",188,44,10,0.0005
"shared",192,44,16,0.0008
"shared",196,44,20,0.001
"shared",200,44,28,0.0014
"shared",204,44,27,0.00135
"shared",208,44,24,0.0012
"shared",212,44,35,0.00175
"shared",216,44,17,0.00085
"shared",220,44,16,0.0008
"shared",224,44,10,0.0005
"shared",228,44,2,0.0001
"shared",232,44,3,0.00015
"shared",240,44,1,0.00005
"shared",176,45,2,0.0001
"shared",180,45,4,0.0002
"shared",184,45,5,0.00025
"shared",188,45,10,0.0005
"shared",192,45,15,0.00075
"shared",196,45,18,0.0009
"shared",200,45,45,0.00225
"shared",204,45,39,0.00195
"shared",208,45,52,0.0026
"shared",212,45,52,0.0026
"shared",216,45,52,0.0026
"shared",220,45,43,0.00215
"shared",224,45,45,0.00225
"shared",228,45,21,0.00105
"shared",232,45,11,0.00055
"shared",236,45,9,0.00045
"shared",240,45,4,0.0002
"shared",180,46,1,0.00005
"shared",184,46,3,0.00015
"shared",188,46,7,0.00035
"shared",192,46,15,0.00075
"shared",196,46,23,0.00115
"shared",200,46,34,0.0017
"shared",204,46,54,0.0027
"shared",208,46,72,0.0036
"shared",212,46,85,0.00425
"shared",216,46,96,0.0048
"shared",220,46,95,0.00475
"shared",224,46,81,0.00405
"shared",228,46,62,0.0031
"shared",232,46,39,0.00195
"shared",236,46,15,0.00075
"shared",240,46,8,0.0004
"shared",244,46,4,0.0002
"shared",248,46,1,0.00005
