"check","expected","got","ok"
"every race carries all twelve ratings","35 races x 12 = 420","420 rating rows","yes"
"the 33 regular races are exactly the Class 2 seats","identical to congress-legislators","identical","yes"
"the two special seats are not Class 2","no class-2 seat counted twice","classes 1/3","yes"
"seats up plus seats not up is the whole Senate","100","100","yes"
"every seat is held by one of the two parties","35","35","yes"
"the twelve rating columns are in the published order","each forecaster's header link before the next","in order","yes"
"every forecaster rated every race","35 each","35 to 35","yes"
"the rating scale is symmetric","scores sum to zero across the seven categories","0","yes"
"no forecaster average sits outside the scale","-3 to 3","-3.00 to 3.00","yes"
"the baseline rule assigns every race a category","35","35","yes"
"a code decodes to the scale it was encoded from","1234567 round-trips to 3 2 1 0 -1 -2 -3","3 2 1 0 -1 -2 -3","yes"
"a code of the wrong length is refused","NULL","NULL","yes"
