"state","state_name","special","seat_party","senator","status","dem_cand","rep_cand","n_cands","candidates","pvi_party","pvi","last_year","last_share","last_party","base_word","base_rating","base_score","fc_mean","fc_sd","fc_min","fc_max"
"AK","Alaska",FALSE,"R","Dan Sullivan","running","David Leslie","Gerald Heikes",5,"Gerald Heikes (Republican); David Leslie (Democratic); Mary Peltola (Democratic); Dan J. Sullivan (Republican); Dan S. Sullivan (Republican)","R",6,2020,53.9,"R","Lean","Lean R",-1,-0.083,0.289,-1,0
"AL","Alabama",FALSE,"R","Tommy Tuberville","retiring","Everett Wess","Barry Moore",2,"Barry Moore (Republican); Everett Wess (Democratic)","R",15,2020,60.1,"R","Safe","Safe R",-3,-3,0,-3,-3
"AR","Arkansas",FALSE,"R","Tom Cotton","running","Hallie Shoffner","Tom Cotton",3,"Tom Cotton (Republican); Hallie Shoffner (Democratic); Jeff Wadlin (Libertarian)","R",15,2020,66.53,"R","Safe","Safe R",-3,-2.917,0.289,-3,-2
"CO","Colorado",FALSE,"D","John Hickenlooper","running","John Hickenlooper","Mark Baisley",2,"Mark Baisley (Republican); John Hickenlooper (Democratic)","D",6,2020,53.5,"D","Lean","Lean D",1,3,0,3,3
"DE","Delaware",FALSE,"D","Chris Coons","running","Jeff Appelhans","Michael Katz",6,"Jeff Appelhans (Democratic); Chris Coons (Democratic); E. No-Trump Hansen (Democratic); Michael Katz (Republican); Mary Louve (Democratic); John Shulli (Republican)","D",8,2020,59.44,"D","Likely","Likely D",2,3,0,3,3
"FL","Florida",TRUE,"R","Ashley Moody","appointed","Angie Nixon","Ashley Moody",3,"Neil Gillespie (Independent); Ashley Moody (Republican); Angie Nixon (Democratic)","R",5,2022,57.68,"R","Likely","Likely R",-2,-2.167,0.718,-3,-1
"GA","Georgia",FALSE,"D","Jon Ossoff","running","Jon Ossoff","Mike Collins",2,"Mike Collins (Republican); Jon Ossoff (Democratic)","R",1,2020,50.62,"D","Toss-up","Toss-up",0,1.542,0.582,0.5,2
"IA","Iowa",FALSE,"R","Joni Ernst","retiring","Josh Turek","Ashley Hinson",3,"Ashley Hinson (Republican); Thomas Laehn (Libertarian); Josh Turek (Democratic)","R",6,2020,51.74,"R","Toss-up","Toss-up",0,-0.375,0.483,-1,0
"ID","Idaho",FALSE,"R","Jim Risch","running",NA,"Jim Risch",4,"Todd Achilles (Independent); Natalie Fleming (Independent); Matt Loesby (Libertarian); Jim Risch (Republican)","R",18,2020,62.62,"R","Safe","Safe R",-3,-3,0,-3,-3
"IL","Illinois",FALSE,"D","Dick Durbin","retiring","Juliana Stratton","Don Tracy",2,"Juliana Stratton (Democratic); Don Tracy (Republican)","D",6,2020,54.93,"D","Lean","Lean D",1,3,0,3,3
"KS","Kansas",FALSE,"R","Roger Marshall","running","Adam Hamilton","Roger Marshall",2,"Adam Hamilton (Democratic); Roger Marshall (Republican)","R",8,2020,53.22,"R","Lean","Lean R",-1,-2.083,0.515,-3,-1
"KY","Kentucky",FALSE,"R","Mitch McConnell","retiring","Charles Booker","Andy Barr",2,"Andy Barr (Republican); Charles Booker (Democratic)","R",15,2020,57.76,"R","Likely","Likely R",-2,-3,0,-3,-3
"LA","Louisiana",FALSE,"R","Bill Cassidy","lost renomination","Jamie Davis","Julia Letlow",2,"Jamie Davis (Democratic); Julia Letlow (Republican)","R",11,2020,59.32,"R","Likely","Likely R",-2,-2.75,0.452,-3,-2
"MA","Massachusetts",FALSE,"D","Ed Markey","running","Ed Markey","John Deaton",3,"John Deaton (Republican); Ed Markey (Democratic); Seth Moulton (Democratic)","D",14,2020,66.15,"D","Safe","Safe D",3,3,0,3,3
"ME","Maine",FALSE,"R","Susan Collins","running","Troy Jackson","Susan Collins",2,"Susan Collins (Republican); Troy Jackson (Democratic)","D",4,2020,50.98,"R","Toss-up","Toss-up",0,0.333,0.537,-0.5,1
"MI","Michigan",FALSE,"D","Gary Peters","retiring","Abdul El-Sayed","Mike Rogers",5,"Lydia Christensen (Libertarian); Abdul El-Sayed (Democratic); Tim Long (U.S. Taxpayers); Douglas P. Marsh (Green); Mike Rogers (Republican)","EVEN",0,2020,49.9,"D","Toss-up","Toss-up",0,0.333,0.444,0,1
"MN","Minnesota",FALSE,"D","Tina Smith","retiring","Peggy Flanagan","Michele Tafoya",2,"Peggy Flanagan (DFL); Michele Tafoya (Republican)","D",3,2020,48.74,"D","Toss-up","Toss-up",0,2.083,0.515,1,3
"MS","Mississippi",FALSE,"R","Cindy Hyde-Smith","running","Scott Colom","Cindy Hyde-Smith",3,"Scott Colom (Democratic); Cindy Hyde-Smith (Republican); Ty Pinkins (Independent)","R",11,2020,54.11,"R","Lean","Lean R",-1,-2.917,0.289,-3,-2
