"group","base","bin","n","elected","pct"
"Black","total population","0-20%",353,15,4.24929
"Black","total population","20-30%",39,12,30.7692
"Black","total population","30-40%",13,6,46.1538
"Black","total population","40-45%",12,10,83.3333
"Black","total population","45-50%",8,7,87.5
"Black","total population","50-55%",3,3,100
"Black","total population","55-60%",4,4,100
"Black","total population","60-70%",3,2,66.6667
"Black","total population","70-80%",0,0,NA
"Black","total population","80-100%",0,0,NA
"Black","voting-age population","0-20%",356,15,4.21348
"Black","voting-age population","20-30%",39,13,33.3333
"Black","voting-age population","30-40%",11,6,54.5455
"Black","voting-age population","40-45%",12,9,75
"Black","voting-age population","45-50%",9,9,100
"Black","voting-age population","50-55%",3,3,100
"Black","voting-age population","55-60%",2,2,100
"Black","voting-age population","60-70%",3,2,66.6667
"Black","voting-age population","70-80%",0,0,NA
"Black","voting-age population","80-100%",0,0,NA
"Black","citizen voting-age population","0-20%",352,14,3.97727
"Black","citizen voting-age population","20-30%",38,10,26.3158
"Black","citizen voting-age population","30-40%",14,8,57.1429
"Black","citizen voting-age population","40-45%",10,8,80
"Black","citizen voting-age population","45-50%",10,9,90
"Black","citizen voting-age population","50-55%",3,3,100
"Black","citizen voting-age population","55-60%",4,4,100
"Black","citizen voting-age population","60-70%",4,3,75
"Black","citizen voting-age population","70-80%",0,0,NA
"Black","citizen voting-age population","80-100%",0,0,NA
"Latino","total population","0-20%",293,7,2.38908
"Latino","total population","20-30%",66,6,9.09091
"Latino","total population","30-40%",25,3,12
"Latino","total population","40-45%",10,2,20
"Latino","total population","45-50%",1,1,100
"Latino","total population","50-55%",8,6,75
"Latino","total population","55-60%",4,2,50
"Latino","total population","60-70%",18,16,88.8889
"Latino","total population","70-80%",7,7,100
"Latino","total population","80-100%",3,3,100
"Latino","voting-age population","0-20%",308,9,2.92208
"Latino","voting-age population","20-30%",61,4,6.55738
"Latino","voting-age population","30-40%",19,4,21.0526
"Latino","voting-age population","40-45%",7,2,28.5714
"Latino","voting-age population","45-50%",4,4,100
"Latino","voting-age population","50-55%",5,2,40
"Latino","voting-age population","55-60%",10,8,80
"Latino","voting-age population","60-70%",12,11,91.6667
"Latino","voting-age population","70-80%",7,7,100
"Latino","voting-age population","80-100%",2,2,100
"Latino","citizen voting-age population","0-20%",336,10,2.97619
"Latino","citizen voting-age population","20-30%",43,4,9.30233
"Latino","citizen voting-age population","30-40%",17,5,29.4118
"Latino","citizen voting-age population","40-45%",2,1,50
"Latino","citizen voting-age population","45-50%",6,4,66.6667
"Latino","citizen voting-age population","50-55%",11,9,81.8182
"Latino","citizen voting-age population","55-60%",10,10,100
"Latino","citizen voting-age population","60-70%",6,6,100
"Latino","citizen voting-age population","70-80%",3,3,100
"Latino","citizen voting-age population","80-100%",1,1,100
