"BD","R","sigma","p"
0.3,0,0.005,0
0.35,0,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000490671
0.4,0,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275362
0.45,0,0.005,0.00000000000000000000000761985
0.3,0.005,0.005,0
0.35,0.005,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000178665
0.4,0.005,0.005,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000804267
0.45,0.005,0.005,0.00000000000000000000066279
0.3,0.01,0.005,0
0.35,0.01,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000638073
0.4,0.01,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000216187
0.45,0.01,0.005,0.0000000000000000000491072
0.3,0.015,0.005,0
0.35,0.015,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000223008
0.4,0.015,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000532797
0.45,0.015,0.005,0.00000000000000000308261
0.3,0.02,0.005,0
0.35,0.02,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000761016
0.4,0.02,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000119927
0.45,0.02,0.005,0.000000000000000163044
0.3,0.025,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000494065645841247
0.35,0.025,0.005,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252962
0.4,0.025,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000245555
0.45,0.025,0.005,0.00000000000000722523
0.3,0.03,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000118069831780558
0.35,0.03,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000817011
0.4,0.03,0.005,0.00000000000000000000000000000000000000000000000000000000000000000000455474
0.45,0.03,0.005,0.000000000000266723
