"t","tp","fp","fn","tn","tpr","fpr","prec"
0,17701,32070,0,0,1,1,0.35565
0.001,17384,28749,317,3321,0.98209,0.89645,0.37682
0.002,17377,27652,324,4418,0.9817,0.86224,0.38591
0.003,17360,26818,341,5252,0.98074,0.83623,0.39296
0.004,17345,26047,356,6023,0.97989,0.81219,0.39973
0.005,17331,25420,370,6650,0.9791,0.79264,0.40539
0.006,17317,24886,384,7184,0.97831,0.77599,0.41033
0.007,17299,24408,402,7662,0.97729,0.76109,0.41477
0.008,17287,23971,414,8099,0.97661,0.74746,0.419
0.009,17263,23655,438,8415,0.97526,0.73761,0.42189
0.01,17249,23318,452,8752,0.97446,0.7271,0.4252
0.011,17235,22980,466,9090,0.97367,0.71656,0.42857
0.012,17215,22692,486,9378,0.97254,0.70758,0.43138
0.013,17206,22442,495,9628,0.97204,0.69978,0.43397
0.014,17193,22216,508,9854,0.9713,0.69273,0.43627
0.015,17177,21957,524,10113,0.9704,0.68466,0.43893
0.016,17156,21729,545,10341,0.96921,0.67755,0.4412
0.017,17140,21531,561,10539,0.96831,0.67138,0.44323
0.018,17129,21358,572,10712,0.96769,0.66598,0.44506
0.019,17119,21164,582,10906,0.96712,0.65993,0.44717
0.02,17103,21001,598,11069,0.96622,0.65485,0.44885
0.021,17094,20847,607,11223,0.96571,0.65005,0.45054
0.022,17084,20702,617,11368,0.96514,0.64553,0.45213
0.023,17075,20567,626,11503,0.96463,0.64132,0.45362
0.024,17058,20421,643,11649,0.96367,0.63676,0.45513
0.025,17042,20269,659,11801,0.96277,0.63202,0.45676
0.026,17032,20097,669,11973,0.96221,0.62666,0.45872
0.027,17018,19953,683,12117,0.96141,0.62217,0.46031
0.028,17006,19799,695,12271,0.96074,0.61737,0.46206
0.029,16988,19675,713,12395,0.95972,0.6135,0.46336
0.03,16976,19553,725,12517,0.95904,0.6097,0.46473
0.031,16965,19434,736,12636,0.95842,0.60599,0.46608
0.032,16948,19272,753,12798,0.95746,0.60094,0.46792
0.033,16929,19139,772,12931,0.95639,0.59679,0.46936
0.034,16912,19007,789,13063,0.95543,0.59267,0.47084
0.035,16891,18853,810,13217,0.95424,0.58787,0.47255
0.036,16867,18714,834,13356,0.95288,0.58354,0.47405
0.037,16850,18596,851,13474,0.95192,0.57986,0.47537
