"GEOID20","boe5","pop","pop_black","pop_white","vap","vap_black","vap_white","reg","reg_black","x_km","y_km","area_km2"
"131530201062020",4,0,0,0,0,0,0,0,0,21.9372,41.3474,0.00453
"131530201062023",4,1,0,0,1,0,0,2,0,21.7229,41.1411,0.03528
"131530201062025",4,0,0,0,0,0,0,0,0,22.0203,41.3528,0.00039
"131530201062036",1,5,3,1,3,2,1,3,2,20.8723,41.1116,0.01609
"131530201062038",4,0,0,0,0,0,0,0,0,21.0278,40.8871,0.00185
"131530201061000",1,0,0,0,0,0,0,0,0,14.8413,44.88,0.01719
"131530201061011",1,46,12,24,33,11,14,2,0,17.7657,41.8142,0.10018
"131530201061014",1,21,6,8,12,5,4,7,2,17.4961,41.7672,0.02919
"131530201061016",1,0,0,0,0,0,0,0,0,14.1747,43.7153,0.0105
"131530201061018",1,0,0,0,0,0,0,0,0,13.8151,43.3968,0.00699
"131530201061019",1,248,128,120,213,114,99,83,39,14.8246,42.9732,1.20631
"131530201061021",1,153,36,105,114,26,82,31,11,13.9674,42.3208,0.98376
"131530201061024",1,47,22,19,32,13,14,0,0,13.6086,42.4685,0.02816
"131530201061037",1,52,8,34,44,6,31,7,2,17.4412,40.7362,0.2073
"131530201062006",1,22,2,16,21,1,16,9,1,20.4648,40.9795,0.03835
"131530201062009",1,77,14,59,66,14,50,21,5,19.2408,42.0162,0.25234
"131530201062011",1,0,0,0,0,0,0,0,0,18.5128,42.7583,0.16726
"131530201061001",1,0,0,0,0,0,0,0,0,14.4122,44.9356,0.00684
"131530201061002",1,30,8,21,26,4,21,6,0,14.7712,44.6834,0.38411
"131530201061003",1,0,0,0,0,0,0,2,0,14.36,44.4189,0.01317
"131530201061004",1,0,0,0,0,0,0,0,0,15.5077,44.5717,0.00511
"131530201061005",1,0,0,0,0,0,0,0,0,14.7571,44.2977,0.27253
"131530201061006",1,0,0,0,0,0,0,0,0,16.3954,43.9561,0.04504
"131530201061007",1,176,33,124,151,33,104,43,5,16.294,42.8965,5.3156
"131530201061008",1,0,0,0,0,0,0,0,0,15.0996,44.084,0.09004
"131530201061009",1,0,0,0,0,0,0,0,0,14.4814,43.9844,0.00234
"131530201061010",1,76,24,49,70,24,45,11,0,17.5385,42.1162,0.31036
"131530201061012",1,51,1,46,36,1,31,9,0,17.6014,42.579,0.34506
"131530201061013",1,33,6,23,30,4,22,6,1,15.987,41.8488,0.79014
"131530201061015",1,0,0,0,0,0,0,0,0,15.29,42.2976,0.05385
"131530201061017",1,22,9,3,22,9,3,0,0,14.1373,43.7752,0.07143
"131530201061020",1,65,6,56,54,5,47,10,3,14.0619,42.6283,0.09706
"131530201061022",1,139,35,104,122,28,94,43,12,14.008,42.8954,0.14819
"131530201061023",1,41,13,21,36,10,19,7,1,14.3047,43.0542,0.04541
"131530201061025",1,9,0,1,3,0,0,0,0,13.5914,41.9081,0.00638
"131530201061026",1,0,0,0,0,0,0,0,0,13.5837,41.6911,0.00697
"131530201061027",1,100,20,71,80,14,57,30,5,18.0431,41.415,0.44725
"131530201061028",1,49,9,36,39,4,32,18,5,18.0692,42.4286,0.13971
"131530201061029",1,0,0,0,0,0,0,0,0,17.616,42.8572,0.22274
"131530201061030",1,13,2,5,13,2,5,2,1,14.3618,41.7426,0.10564
"131530201061031",1,17,2,9,9,0,4,3,1,14.5474,42.1019,0.03622
"131530201061032",1,67,18,47,62,15,46,17,2,14.9439,41.9758,0.52092
"131530201061033",1,31,6,24,26,2,24,4,3,14.8067,42.1083,0.0494
"131530201061034",1,45,3,38,35,1,31,10,0,14.6669,42.1131,0.05012
"131530201061035",1,0,0,0,0,0,0,0,0,15.2249,41.684,0.09691
"131530201061036",1,38,3,31,34,3,28,7,0,17.7303,40.8473,0.07128
"131530201062000",1,0,0,0,0,0,0,0,0,20.8994,42.3857,0.03538
"131530201062001",1,0,0,0,0,0,0,0,0,19.2232,43.0083,0.02007
"131530201062002",1,23,0,23,16,0,16,9,0,20.52,41.7705,2.16103
"131530201062003",1,22,1,15,21,1,15,6,0,20.6838,41.3327,0.13816
"131530201062004",1,65,0,59,56,0,51,19,1,20.3473,40.6676,0.22205
"131530201062005",4,25,0,22,21,0,19,6,0,20.8266,40.722,0.24227
"131530201062007",1,32,9,22,31,8,22,11,1,21.1187,41.4615,0.38441
"131530201062008",1,111,40,69,80,26,53,27,9,18.8812,42.1704,1.56781
"131530201062010",1,21,1,16,18,0,16,1,0,19.4571,42.2947,0.03205
"131530201062012",1,0,0,0,0,0,0,0,0,18.2701,42.5677,0.01822
"131530201062013",1,0,0,0,0,0,0,0,0,18.6992,42.9212,0.18805
"131530201062014",1,0,0,0,0,0,0,0,0,18.6434,41.034,0.03125
"131530201062015",1,238,50,154,190,39,129,47,18,19.3107,41.2172,1.43982
"131530201062016",1,1,0,0,0,0,0,0,0,19.3085,40.7124,0.04168
"131530201062017",1,0,0,0,0,0,0,0,0,18.3624,40.9464,0.34048
"131530201062018",1,0,0,0,0,0,0,0,0,21.9975,41.6253,0.01078
"131530201062019",4,0,0,0,0,0,0,0,0,21.7537,41.5432,0.12589
"131530201062021",4,0,0,0,0,0,0,0,0,21.5119,41.241,0.10722
