"check","value"
"Publications read","11"
"Elections they cover","2004-2024"
"Total size of the documents, MB","4.4"
"Lines of text pdftotext produced from them","43,917"
"District-elections the parse recovered","4,785"
"Typesetting edge cases the parse must handle","4"
"Parse bugs found, and fixed","3"
"Districts in the overlap used to validate the parse","2,260"
"Median disagreement in two-party Democratic share, points","0.03"
"Districts differing by more than 1 point","14"
"Districts differing by more than 2 points","8"
"Disagreements that survived, by whose they are","3 nobody's, 2 the academic file's, 1 ours"
"Rows flagged la_primary","70"
"Rows flagged runoff_mixed","44"
"Rows flagged top_two","57"
"Uncontested races the parse recovered","487"
"Spliced series: rows","17,403"
"Spliced series: elections","40"
"Rows from the academic file","15,228"
"Rows from the Clerk","2,175"
"Years with no presidential-by-district figure at all","1946, 1948, 1950"
"Years with partial coverage","9"
"Years with complete coverage","28"
"Split districts at their peak","236 of 431 in 1974 (54.8%)"
"Split districts in 2012","26 of 435 (6.0%)"
