"a","b","cases","observed","expected_indep","phi","gap"
"BMKavanaugh","JGRoberts",234,96.2,52,0.92,44.1
"EKagan","SSotomayor",234,92.3,55.8,0.826,36.5
"KBJackson","SSotomayor",110,90.9,56,0.794,35
"EKagan","SGBreyer",122,90.2,53,0.791,37.2
"ACBarrett","BMKavanaugh",222,89.6,52.6,0.781,37
"SGBreyer","SSotomayor",122,89.3,54,0.775,35.4
"EKagan","KBJackson",110,88.2,56.2,0.731,31.9
"CThomas","SAAlito",230,87.4,57.1,0.707,30.3
"ACBarrett","JGRoberts",222,87.4,52.5,0.734,34.9
"BMKavanaugh","SAAlito",230,86.1,54.2,0.712,31.9
"JGRoberts","SAAlito",230,84.8,54,0.686,30.8
"NMGorsuch","SAAlito",230,84.3,53.1,0.69,31.2
"ACBarrett","CThomas",220,84.1,54.1,0.66,30
"ACBarrett","SAAlito",218,83.9,54.8,0.66,29.1
"ACBarrett","NMGorsuch",220,81.8,52,0.623,29.9
"CThomas","NMGorsuch",232,81.5,52.7,0.622,28.7
"BMKavanaugh","NMGorsuch",232,78.4,51.6,0.555,26.8
"CThomas","JGRoberts",232,77.6,53.5,0.525,24.1
"BMKavanaugh","CThomas",232,77.2,53.7,0.514,23.5
"JGRoberts","NMGorsuch",232,76.3,51.5,0.511,24.8
"BMKavanaugh","KBJackson",110,75.5,48.5,0.573,26.9
"JGRoberts","KBJackson",110,73.6,49.1,0.52,24.5
"ACBarrett","KBJackson",110,70.9,50,0.443,20.9
"EKagan","JGRoberts",234,70.5,46.8,0.511,23.7
"BMKavanaugh","EKagan",234,70.1,46.7,0.506,23.4
"ACBarrett","EKagan",222,68.5,46.4,0.476,22
"BMKavanaugh","SGBreyer",122,67.2,46.6,0.443,20.6
"JGRoberts","SGBreyer",122,66.4,46.4,0.432,20
"KBJackson","NMGorsuch",109,66.1,48.4,0.375,17.7
"BMKavanaugh","SSotomayor",234,65.8,46.3,0.427,19.5
"JGRoberts","SSotomayor",234,65.4,46.5,0.413,18.9
"EKagan","NMGorsuch",232,64.7,47.5,0.368,17.2
"ACBarrett","SSotomayor",222,63.1,46,0.373,17
"KBJackson","SAAlito",108,62,44.8,0.386,17.3
"NMGorsuch","SSotomayor",232,61.2,47.2,0.304,14
"ACBarrett","SGBreyer",110,59.1,45.6,0.305,13.5
"NMGorsuch","SGBreyer",121,58.7,47.7,0.23,11
"CThomas","KBJackson",109,57.8,46.3,0.249,11.5
"CThomas","EKagan",232,57.3,44.2,0.297,13.1
"EKagan","SAAlito",230,55.7,43.4,0.283,12.3
"SAAlito","SGBreyer",120,55,44.6,0.243,10.4
"CThomas","SGBreyer",121,53.7,44.6,0.212,9.2
"SAAlito","SSotomayor",230,53.5,42.5,0.258,11
"CThomas","SSotomayor",232,53,43.6,0.216,9.4
"KBJackson","SGBreyer",0,NA,NA,NA,NA
