"p","n","majority_correct"
0.45,1,0.45
0.45,3,0.4252
0.45,5,0.4069
0.45,9,0.3786
0.45,15,0.3465
0.45,25,0.3063
0.45,51,0.2359
0.45,101,0.1562
0.45,501,0.0124
0.45,1001,8e-04
0.49,1,0.49
0.49,3,0.485
0.49,5,0.4813
0.49,9,0.4754
0.49,15,0.4686
0.49,25,0.4598
0.49,51,0.4429
0.49,101,0.4201
0.49,501,0.3271
0.49,1001,0.2634
0.51,1,0.51
0.51,3,0.515
0.51,5,0.5187
0.51,9,0.5246
0.51,15,0.5314
0.51,25,0.5402
0.51,51,0.5571
0.51,101,0.5799
0.51,501,0.6729
0.51,1001,0.7366
0.55,1,0.55
0.55,3,0.5748
0.55,5,0.5931
0.55,9,0.6214
0.55,15,0.6535
0.55,25,0.6937
0.55,51,0.7641
0.55,101,0.8438
0.55,501,0.9876
0.55,1001,0.9992
0.6,1,0.6
0.6,3,0.648
0.6,5,0.6826
0.6,9,0.7334
0.6,15,0.7869
0.6,25,0.8462
0.6,51,0.9265
0.6,101,0.9791
0.6,501,1
0.6,1001,1
0.7,1,0.7
0.7,3,0.784
0.7,5,0.8369
0.7,9,0.9012
0.7,15,0.95
0.7,25,0.9825
0.7,51,0.9986
0.7,101,1
0.7,501,1
0.7,1001,1
0.8,1,0.8
0.8,3,0.896
0.8,5,0.9421
0.8,9,0.9804
0.8,15,0.9958
0.8,25,0.9996
0.8,51,1
0.8,101,1
0.8,501,1
0.8,1001,1
