# Findings from check-tables.py that have been read and are not defects.
# Delete a line to have it reported again. kind = width | topn | precision
# kind	file	column-or-rows	why it is fine
width	01-census-bureau/regional-shift/data/derived/states.csv	division	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/regional-shift/data/derived/seatchange.csv	division	same Census division names
width	01-census-bureau/regional-shift/data/derived/statemap.csv	division	same Census division names, one row per map vertex
width	01-census-bureau/regional-shift/data/derived/divmap.csv	division	same Census division names, one row per map vertex
width	03-elections/mapping/data/derived/excluded.csv	name	"State House District 10" is complete; 23 is not a round cap
width	01-census-bureau/demographics/data/derived/facts.csv	name	fact identifiers, written in full
topn	01-census-bureau/apportionment/data/derived/apportionment_2020.csv	50	50 states; apportionment excludes DC by statute
topn	03-elections/disenfranchisement/data/derived/states.csv	50	the source table itself has 50 rows and no DC
topn	01-census-bureau/demographics/data/derived/metros.csv	50	the 50 largest metros, stated in the build header
topn	01-census-bureau/migration/data/derived/county_focus.csv	40	head(cfo, 40), stated in the build header
topn	04-political-actors/lobbying/data/derived/entities.csv	40	top 40, stated in the build header and the brief
topn	04-political-actors/independent-expenditures/data/derived/ie_candidates.csv	30	top 30; the build reports what the cut hides
topn	04-political-actors/independent-expenditures/data/derived/ie_committees.csv	25	top 25 spending committees, stated in the build header
precision	01-census-bureau/surnames/data/derived/county_race.csv	18807	cannot be rebuilt: the Census surname source is WAF-blocked. Fix when the file can be fetched again
# (kept as a record, though MIN_ROWS = 50 now suppresses it on size alone)
width	04-political-actors/rank-size/data/derived/zipf.csv	who	three complete Wikipedia titles: same article, different dates, so identical length by coincidence of two fixed-width parts
width	01-census-bureau/chord/data/derived/arcs.csv	from	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/chord/data/derived/arcs.csv	to	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/chord/data/derived/matrix.csv	from	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/chord/data/derived/matrix.csv	to	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/chord/data/derived/pairs.csv	a	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/chord/data/derived/pairs.csv	b	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/chord/data/derived/states.csv	division	"East North Central" is the whole Census division name, not a cut
topn	01-census-bureau/zip-codes/data/derived/cities_big.csv	100	the 100 largest cities, declared in the build header; no brief exists yet, so recheck that the reader is told when one is written
topn	01-census-bureau/surnames/data/derived/surnames_2020_top100.csv	100	the hundred most common 2020 surnames; the cut is in the filename, the build header and the prose ("the top of it")
topn	06-putting-data-together/uncertainty/data/derived/calib.csv	20	20 calibration bins spanning 0-1 in 0.05 steps, a complete table; n descends only because most predictions are low-probability
topn	04-political-actors/follower-counts/data/derived/x_top20.csv	20	the top 20 is the point: the brief prints the first 10 and counts overlapping windows across all 20, and the cut is stated in the text
width	01-census-bureau/demographics/data/derived/us_divisions.csv	division	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/demographics/data/derived/us_maplabels.csv	division	same Census division names
width	01-census-bureau/census-geography/data/derived/us_divisions.csv	division	"East North Central" is the whole Census division name, not a cut
width	01-census-bureau/census-geography/data/derived/us_ids.csv	division	same Census division names
