# Titles flagged by check-layout.py's title-policy check (STYLE.md rule 14)
# that a person has read and judged fine. The heuristic is dumb on purpose --
# no digit, colon, comma or em-dash, and five words or more -- so most of what
# it flags will be fine, and this list is where that judgment is recorded.
# The first field is the exact YAML title. Delete a line to see it again.
# title	why it is fine
Campaign Finance Disclosure Is Not an Audit	names the data and states the chapter thesis
Census Geography and Why Data Will Not Join	names the data and the chapter question
Levels of Aggregation in Election Data	names the concept and the data
Reading the ANES Cumulative File	names the dataset and the activity
Survey Weighting in the Cooperative Election Study	names the method and the dataset
What Election Returns Can and Cannot Show	names the data and the chapter question
What a Census Can and Cannot Do	names the data and the chapter question
What a Survey Can Establish That No Record Can	names the data type and its unique claim
What a Voter File Records, and Why	names the data and the chapter question
What the Roll Call Record Contains	names the record and its scope
Who Held the Seat, and Who Won the Election	names the two records the chapter contrasts
